index_1based,timestamp,sut_version,value
1,2021-09-01 01:09:02,531193,1246.0333333333333
2,2021-09-01 06:09:20,531193,1243.1416666666667
3,2021-09-01 06:09:56,531193,1237.0416666666667
4,2021-09-01 06:09:57,531193,1245.1
5,2021-09-01 07:09:18,531193,1252.5416666666667
6,2021-09-01 07:09:42,531193,1240.0916666666667
7,2021-09-01 08:09:53,531193,1239.0666666666666
8,2021-09-01 08:09:48,531194,1246.9416666666666
9,2021-09-01 11:09:54,531195,1246.6
10,2021-09-01 02:09:23,531197,1251.4583333333333
11,2021-09-01 03:09:01,531197,1254.5916666666667
12,2021-09-01 03:09:59,531197,1248.9
13,2021-09-01 04:09:55,531199,1241.75
14,2021-09-01 05:09:05,531199,1251.6833333333334
15,2021-09-01 05:09:27,531199,1254.125
16,2021-09-01 05:09:29,531199,1254.8916666666667
17,2021-09-01 09:09:33,531204,1257.2666666666667
18,2021-09-01 10:09:34,531204,1261.925
19,2021-09-01 11:09:59,531205,1239.2416666666666
20,2021-09-02 12:09:57,531205,1246.8916666666667
21,2021-09-02 06:09:13,531206,1251.0833333333333
22,2021-09-02 06:09:20,531206,1255.9833333333333
23,2021-09-02 07:09:46,531206,1252.5166666666667
24,2021-09-02 08:09:45,531206,1249.95
25,2021-09-02 02:09:09,531208,1246.2833333333333
26,2021-09-02 10:09:38,531208,1245.4166666666667
27,2021-09-02 10:09:49,531208,1250.1083333333333
28,2021-09-02 11:09:41,531208,1257.675
29,2021-09-02 12:09:58,531208,1239.15
30,2021-09-02 02:09:50,531209,1251.3166666666666
31,2021-09-02 03:09:42,531210,1249.0083333333334
32,2021-09-02 04:09:08,531212,1261.8833333333334
33,2021-09-02 04:09:30,531212,1254.5
34,2021-09-02 05:09:42,531212,1245.1416666666667
35,2021-09-02 06:09:29,531213,1251.675
36,2021-09-02 06:09:44,531213,1262.475
37,2021-09-02 07:09:05,531213,1246.4916666666666
38,2021-09-02 07:09:07,531213,1251.025
39,2021-09-02 08:09:47,531213,1256.7666666666667
40,2021-09-02 08:09:48,531213,1254.625
41,2021-09-03 01:09:34,531217,1250.0666666666666
42,2021-09-03 01:09:41,531217,1255.1416666666667
43,2021-09-03 02:09:20,531217,1244.375
44,2021-09-03 03:09:14,531217,1268.3166666666666
45,2021-09-03 12:09:57,531217,1246.4666666666667
46,2021-09-03 07:09:02,531218,1237.925
47,2021-09-03 09:09:33,531218,1249.9916666666666
48,2021-09-03 10:09:32,531218,1252.675
49,2021-09-03 10:09:51,531218,1245.25
50,2021-09-03 11:09:19,531218,1256.9833333333333
51,2021-09-03 01:09:30,531221,1232.1583333333333
52,2021-09-03 01:09:42,531221,1246.3083333333334
53,2021-09-03 02:09:54,531221,1245.1916666666666
54,2021-09-03 03:09:08,531221,1241.2333333333333
55,2021-09-03 04:09:15,531221,1243.35
56,2021-09-03 04:09:45,531221,1248.2833333333333
57,2021-09-03 04:09:52,531221,1246.0916666666667
58,2021-09-03 06:09:09,531221,1249.275
59,2021-09-03 06:09:22,531221,1253.075
60,2021-09-03 06:09:23,531221,1257.5166666666667
61,2021-09-03 06:09:49,531221,1252.4166666666667
62,2021-09-03 12:09:33,531221,1252.0666666666666
63,2021-09-03 03:09:07,531223,1234.9416666666666
64,2021-09-03 04:09:32,531223,1253.5166666666667
65,2021-09-03 08:09:21,531230,1253.2666666666667
66,2021-09-03 08:09:59,531230,1258.5333333333333
67,2021-09-03 09:09:00,531230,1248.0416666666667
68,2021-09-03 10:09:24,531230,1253.0416666666667
69,2021-09-03 10:09:30,531230,1252.3583333333333
70,2021-09-03 11:09:12,531234,1253.925
71,2021-09-04 01:09:40,531234,1257.55
72,2021-09-05 05:09:41,531234,1247.5166666666667
73,2021-09-05 08:09:53,531234,1261.225
74,2021-09-06 07:09:56,531234,1253.0583333333334
75,2021-09-06 08:09:49,531236,1253.4333333333334
76,2021-09-06 08:09:59,531236,1244.9916666666666
77,2021-09-06 09:09:50,531236,1260.525
78,2021-09-06 11:09:03,531237,1247.55
79,2021-09-06 01:09:51,531238,1258.8916666666667
80,2021-09-06 12:09:45,531238,1237.7833333333333
81,2021-09-06 02:09:08,531239,1255.1
82,2021-09-06 02:09:40,531239,1249.525
83,2021-09-06 04:09:29,531240,1254.9083333333333
84,2021-09-06 04:09:39,531240,1255.0333333333333
85,2021-09-06 04:09:50,531240,1256.825
86,2021-09-06 05:09:48,531244,1248.325
87,2021-09-06 07:09:37,531244,1254.65
88,2021-09-06 08:09:31,531244,1255.1916666666666
89,2021-09-06 09:09:07,531244,1253.1583333333333
90,2021-09-06 09:09:27,531244,1256.6916666666666
91,2021-09-06 09:09:34,531244,1273.2666666666667
92,2021-09-06 11:09:25,531246,1255.7833333333333
93,2021-09-07 12:09:51,531246,1252.3666666666666
94,2021-09-07 06:09:38,531247,1245.2916666666667
95,2021-09-07 06:09:46,531247,1256.8833333333334
96,2021-09-07 06:09:50,531247,1257.5
97,2021-09-07 07:09:20,531247,1249.675
98,2021-09-07 08:09:08,531247,1257.0583333333334
99,2021-09-07 09:09:41,531247,1252.7333333333333
100,2021-09-07 10:09:36,531247,1252.3
101,2021-09-07 10:09:29,531248,1246.8583333333333
102,2021-09-07 01:09:14,531249,1252.0166666666667
103,2021-09-07 12:09:53,531249,1250.1833333333334
104,2021-09-07 01:09:46,531250,1253.3
105,2021-09-07 01:09:47,531250,1253.7416666666666
106,2021-09-07 02:09:52,531250,1260.5
107,2021-09-07 03:09:03,531251,1250.05
108,2021-09-07 03:09:52,531252,1252.0916666666667
109,2021-09-07 04:09:47,531252,1257.5583333333334
110,2021-09-07 05:09:35,531252,1254.5583333333334
111,2021-09-07 08:09:32,531257,1249.2083333333333
112,2021-09-07 09:09:16,531257,1258.0583333333334
113,2021-09-07 09:09:38,531257,1250.725
114,2021-09-07 10:09:04,531258,1246.85
115,2021-09-07 10:09:49,531258,1250.1416666666667
116,2021-09-07 11:09:35,531258,1256.3
117,2021-09-08 12:09:15,531258,1252.6
118,2021-09-08 12:09:46,531259,1253.5333333333333
119,2021-09-08 06:09:20,531260,1254.075
120,2021-09-08 06:09:28,531260,1250.55
121,2021-09-08 06:09:31,531260,1250.6083333333333
122,2021-09-08 07:09:22,531260,1257.3083333333334
123,2021-09-08 01:09:17,531264,1254.2583333333334
124,2021-09-08 01:09:51,531264,1257.0416666666667
125,2021-09-08 02:09:18,531264,1246.625
126,2021-09-08 02:09:26,531264,1250.9333333333334
127,2021-09-08 05:09:34,531267,1246.7083333333333
128,2021-09-08 05:09:35,531267,1246.9916666666666
129,2021-09-08 05:09:42,531267,1250.6416666666667
130,2021-09-08 06:09:56,531267,1260.825
131,2021-09-08 10:09:15,531267,1242.3416666666667
132,2021-09-08 11:09:04,531267,1248.4333333333334
133,2021-09-08 11:09:01,531269,1252.5333333333333
134,2021-09-08 11:09:07,531269,1249.05
135,2021-09-08 11:09:17,531269,1257.975
136,2021-09-08 11:09:19,531269,1253.6666666666667
137,2021-09-09 12:09:02,531269,1253.35
138,2021-09-09 01:09:00,531270,1258.1916666666666
139,2021-09-09 01:09:09,531270,1250.65
140,2021-09-09 01:09:39,531270,1250.5833333333333
141,2021-09-09 02:09:45,531270,1246.35
142,2021-09-09 03:09:35,531270,1248.925
143,2021-09-09 06:09:49,531270,1248.1583333333333
144,2021-09-09 10:09:37,531270,1250.875
145,2021-09-09 11:09:10,531270,1235.4416666666666
146,2021-09-09 11:09:19,531270,1253.55
147,2021-09-09 11:09:21,531270,1240.525
148,2021-09-09 12:09:04,531270,1219.5166666666667
149,2021-09-09 01:09:09,531271,1249.1166666666666
150,2021-09-09 02:09:09,531272,1237.2583333333334
151,2021-09-09 02:09:31,531272,1249.175
152,2021-09-09 02:09:43,531272,1251.1416666666667
153,2021-09-09 02:09:59,531272,1263.8916666666667
154,2021-09-09 04:09:37,531274,1257.8083333333334
155,2021-09-09 05:09:48,531275,1252.5833333333333
156,2021-09-09 06:09:02,531276,1258.35
157,2021-09-09 06:09:59,531276,1235.9
158,2021-09-09 07:09:50,531276,1255.325
159,2021-09-09 07:09:50,531278,1255.7583333333334
160,2021-09-09 08:09:33,531279,1248.175
161,2021-09-09 08:09:09,531280,1252.2416666666666
162,2021-09-09 09:09:39,531280,1259.1
163,2021-09-10 12:09:43,531284,1254.5166666666667
164,2021-09-10 01:09:22,531285,1253.5
165,2021-09-10 02:09:52,531285,1255.3833333333334
166,2021-09-10 04:09:41,531285,1251.475
167,2021-09-10 01:09:56,531286,1253.6916666666666
168,2021-09-10 01:09:58,531286,1246.7333333333333
169,2021-09-10 02:09:00,531286,1237.45
170,2021-09-10 03:09:02,531286,1245.65
171,2021-09-10 03:09:23,531286,1245.8166666666666
172,2021-09-10 03:09:56,531286,1244.125
173,2021-09-10 03:09:59,531286,1244.6583333333333
174,2021-09-10 04:09:33,531286,1254.6
175,2021-09-10 04:09:59,531286,1246.85
176,2021-09-10 05:09:14,531286,1252.95
177,2021-09-10 05:09:33,531286,1244.825
178,2021-09-10 05:09:41,531286,1256.0333333333333
179,2021-09-10 06:09:33,531286,1254.8166666666666
180,2021-09-10 06:09:43,531286,1253.1916666666666
181,2021-09-10 07:09:03,531286,1254.45
182,2021-09-10 07:09:24,531286,1257.4666666666667
183,2021-09-10 07:09:34,531286,1261.9916666666666
184,2021-09-10 09:09:08,531286,1256.1
185,2021-09-10 10:09:37,531286,1255.675
186,2021-09-10 11:09:07,531286,1248.6083333333333
187,2021-09-10 05:09:51,531287,1250.1
188,2021-09-10 06:09:25,531287,1254.7833333333333
189,2021-09-10 07:09:52,531287,1262.375
190,2021-09-10 08:09:53,531289,1260.7666666666667
191,2021-09-13 05:09:10,531291,1266.1916666666666
192,2021-09-11 12:09:01,531293,1251.9583333333333
193,2021-09-11 01:09:44,531294,1248.1333333333334
194,2021-09-11 01:09:48,531295,1250.5333333333333
195,2021-09-11 02:09:30,531298,1254.6083333333333
196,2021-09-11 03:09:25,531298,1263.8333333333333
197,2021-09-11 04:09:30,531299,1247.625
198,2021-09-11 05:09:53,531299,1246.7833333333333
199,2021-09-11 06:09:44,531299,1256.4083333333333
200,2021-09-11 07:09:30,531299,1254.0666666666666
201,2021-09-11 07:09:48,531299,1250.525
202,2021-09-11 08:09:11,531299,1246.225
203,2021-09-11 09:09:15,531299,1248.0083333333334
204,2021-09-12 03:09:25,531300,1249.625
205,2021-09-12 04:09:51,531300,1254.75
