index_1based,timestamp,sut_version,value
1,2021-09-01 01:09:51,531193,38.5245
2,2021-09-01 06:09:06,531193,38.3567
3,2021-09-01 06:09:39,531193,38.4439
4,2021-09-01 06:09:44,531193,38.6541
5,2021-09-01 07:09:01,531193,38.6608
6,2021-09-01 07:09:40,531193,38.972
7,2021-09-01 07:09:45,531193,38.6391
8,2021-09-01 07:09:49,531193,38.3497
9,2021-09-01 08:09:05,531193,38.3442
10,2021-09-01 08:09:29,531193,38.2468
11,2021-09-01 08:09:48,531193,38.3741
12,2021-09-01 08:09:51,531193,38.3539
13,2021-09-01 08:09:30,531194,38.6191
14,2021-09-01 11:09:41,531195,38.6783
15,2021-09-01 02:09:01,531197,38.3624
16,2021-09-01 02:09:40,531197,38.2752
17,2021-09-01 04:09:40,531199,38.3258
18,2021-09-01 04:09:54,531199,38.4071
19,2021-09-01 05:09:36,531199,38.0164
20,2021-09-01 09:09:15,531204,37.8631
21,2021-09-01 11:09:41,531205,38.6653
22,2021-09-02 12:09:41,531205,37.967
23,2021-09-02 06:09:05,531206,37.8386
24,2021-09-02 06:09:56,531206,38.0064
25,2021-09-02 07:09:28,531206,38.3509
26,2021-09-02 07:09:56,531206,37.8019
27,2021-09-02 08:09:29,531206,38.0411
28,2021-09-02 01:09:29,531208,38.3915
29,2021-09-02 01:09:53,531208,38.3214
30,2021-09-02 02:09:47,531208,38.1565
31,2021-09-02 09:09:33,531208,38.3442
32,2021-09-02 10:09:23,531208,38.4123
33,2021-09-02 10:09:25,531208,38.3635
34,2021-09-02 12:09:37,531208,38.6558
35,2021-09-02 02:09:35,531209,38.3634
36,2021-09-02 02:09:28,531210,38.3508
37,2021-09-02 04:09:16,531212,38.2729
38,2021-09-02 04:09:24,531212,38.2248
39,2021-09-02 04:09:51,531212,38.0662
40,2021-09-02 05:09:01,531212,38.1369
41,2021-09-02 05:09:13,531213,38.6034
42,2021-09-02 06:09:52,531213,37.7832
43,2021-09-02 07:09:12,531213,38.2366
44,2021-09-02 08:09:55,531213,37.5363
45,2021-09-02 08:09:57,531213,37.6884
46,2021-09-02 11:09:42,531217,38.3662
47,2021-09-03 01:09:26,531217,38.2431
48,2021-09-03 02:09:03,531217,38.219
49,2021-09-03 02:09:21,531217,37.8949
50,2021-09-03 07:09:43,531218,38.3697
51,2021-09-03 08:09:44,531218,38.1251
52,2021-09-03 09:09:10,531218,38.0138
53,2021-09-03 09:09:18,531218,38.343
54,2021-09-03 10:09:23,531218,38.0182
55,2021-09-03 10:09:30,531218,38.1787
56,2021-09-03 10:09:59,531218,38.1293
57,2021-09-03 11:09:07,531218,37.9697
58,2021-09-03 11:09:08,531218,37.8323
59,2021-09-03 01:09:01,531221,37.9789
60,2021-09-03 01:09:10,531221,38.6296
61,2021-09-03 01:09:21,531221,38.2616
62,2021-09-03 01:09:24,531221,38.1406
63,2021-09-03 02:09:37,531221,38.5658
64,2021-09-03 03:09:53,531221,38.481
65,2021-09-03 12:09:20,531221,38.3138
66,2021-09-03 02:09:48,531223,38.4906
67,2021-09-03 03:09:19,531223,38.3184
68,2021-09-03 07:09:38,531230,38.1856
69,2021-09-03 08:09:01,531230,38.4735
70,2021-09-03 09:09:10,531230,38.1583
71,2021-09-03 10:09:29,531230,38.0133
72,2021-09-03 10:09:34,531230,38.0461
73,2021-09-03 10:09:54,531234,38.3883
74,2021-09-04 01:09:29,531234,38.1697
75,2021-09-05 05:09:28,531234,38.1969
76,2021-09-05 06:09:19,531234,37.4702
77,2021-09-05 08:09:37,531234,38.3062
78,2021-09-06 07:09:40,531234,38.0758
79,2021-09-06 08:09:34,531236,38.0551
80,2021-09-06 08:09:41,531236,38.3443
81,2021-09-06 11:09:48,531237,38.1413
82,2021-09-06 12:09:27,531238,38.413
83,2021-09-06 12:09:34,531238,38.1612
84,2021-09-06 01:09:25,531239,38.2008
85,2021-09-06 03:09:14,531240,38.3071
86,2021-09-06 03:09:31,531240,38.2023
87,2021-09-06 04:09:18,531240,38.2083
88,2021-09-06 04:09:25,531240,38.0877
89,2021-09-06 04:09:52,531240,37.2199
90,2021-09-06 05:09:31,531244,38.2693
91,2021-09-06 07:09:22,531244,38.1204
92,2021-09-06 08:09:17,531244,38.3411
93,2021-09-06 08:09:55,531244,37.9226
94,2021-09-06 11:09:10,531246,38.2679
95,2021-09-06 11:09:31,531246,38.4664
96,2021-09-07 01:09:24,531246,37.8668
97,2021-09-07 01:09:55,531246,37.9106
98,2021-09-07 12:09:15,531246,38.3556
99,2021-09-07 12:09:27,531246,38.3493
100,2021-09-07 06:09:19,531247,38.1347
101,2021-09-07 06:09:26,531247,37.9835
102,2021-09-07 06:09:33,531247,38.1168
103,2021-09-07 07:09:07,531247,38.3729
104,2021-09-07 08:09:21,531247,38.3538
105,2021-09-07 08:09:53,531247,38.1976
106,2021-09-07 09:09:17,531247,38.0591
107,2021-09-07 10:09:07,531248,38.2542
108,2021-09-07 11:09:08,531248,38.2674
109,2021-09-07 12:09:34,531248,38.2734
110,2021-09-07 12:09:46,531248,37.926
111,2021-09-07 01:09:58,531249,37.8886
112,2021-09-07 12:09:35,531249,38.0773
113,2021-09-07 01:09:30,531250,38.1515
114,2021-09-07 01:09:30,531250,37.9767
115,2021-09-07 03:09:49,531251,38.0428
116,2021-09-07 03:09:32,531252,38.0397
117,2021-09-07 03:09:33,531252,37.8797
118,2021-09-07 04:09:42,531252,38.0149
119,2021-09-07 07:09:16,531257,38.2225
120,2021-09-07 08:09:20,531257,38.4143
121,2021-09-07 08:09:21,531257,37.8505
122,2021-09-07 09:09:50,531257,37.844
123,2021-09-07 10:09:33,531258,38.032
124,2021-09-07 10:09:49,531258,38.3687
125,2021-09-07 11:09:15,531258,38.233
126,2021-09-07 11:09:16,531258,38.0884
127,2021-09-07 11:09:59,531258,38.2542
128,2021-09-08 12:09:32,531259,38.3091
129,2021-09-08 06:09:06,531260,37.9546
130,2021-09-08 06:09:12,531260,37.9857
131,2021-09-08 06:09:17,531260,38.1405
132,2021-09-08 07:09:40,531260,37.8925
133,2021-09-08 01:09:01,531264,38.0615
134,2021-09-08 01:09:04,531264,38.2933
135,2021-09-08 01:09:08,531264,38.2073
136,2021-09-08 01:09:36,531264,37.8296
137,2021-09-08 02:09:37,531264,37.9113
138,2021-09-08 03:09:06,531264,38.382
139,2021-09-08 03:09:07,531264,37.8951
140,2021-09-08 03:09:24,531264,38.2114
141,2021-09-08 04:09:26,531267,38.2486
142,2021-09-08 04:09:55,531267,38.3694
143,2021-09-08 05:09:13,531267,37.7655
144,2021-09-08 05:09:25,531267,38.0699
145,2021-09-08 10:09:04,531267,38.3802
146,2021-09-08 11:09:04,531269,38.2085
147,2021-09-08 11:09:49,531269,38.2423
148,2021-09-08 11:09:52,531269,38.4401
149,2021-09-08 11:09:54,531269,38.0894
150,2021-09-09 01:09:38,531269,38.419
151,2021-09-09 12:09:48,531269,38.1137
152,2021-09-09 02:09:29,531270,38.2377
153,2021-09-09 06:09:35,531270,38.3901
154,2021-09-09 10:09:31,531270,38.3427
155,2021-09-09 11:09:03,531270,38.5132
156,2021-09-09 11:09:19,531270,38.1472
157,2021-09-09 11:09:48,531270,38.1807
158,2021-09-09 11:09:59,531270,38.1419
159,2021-09-09 01:09:50,531271,39.0346
160,2021-09-09 02:09:52,531271,38.3129
161,2021-09-09 01:09:52,531272,38.1504
162,2021-09-09 02:09:19,531272,38.2841
