index_1based,timestamp,sut_version,value
1,2021-09-01 01:09:57,531193,7.6577
2,2021-09-01 06:09:14,531193,7.78099
3,2021-09-01 06:09:51,531193,7.69316
4,2021-09-01 06:09:51,531193,7.97624
5,2021-09-01 07:09:12,531193,7.66229
6,2021-09-01 07:09:37,531193,7.89711
7,2021-09-01 08:09:47,531193,7.88033
8,2021-09-01 08:09:42,531194,7.66447
9,2021-09-01 11:09:49,531195,7.71621
10,2021-09-01 02:09:17,531197,7.64414
11,2021-09-01 03:09:53,531197,7.66832
12,2021-09-01 03:09:56,531197,7.47544
13,2021-09-01 04:09:50,531199,8.0365
14,2021-09-01 05:09:00,531199,7.57647
15,2021-09-01 05:09:21,531199,7.66529
16,2021-09-01 05:09:23,531199,7.70329
17,2021-09-01 09:09:27,531204,7.62829
18,2021-09-01 10:09:27,531204,7.48037
19,2021-09-01 11:09:53,531205,7.6535
20,2021-09-02 12:09:51,531205,7.65839
21,2021-09-02 06:09:07,531206,7.7602
22,2021-09-02 06:09:14,531206,7.63045
23,2021-09-02 07:09:41,531206,7.66608
24,2021-09-02 08:09:39,531206,7.51055
25,2021-09-02 02:09:03,531208,7.57915
26,2021-09-02 09:09:44,531208,7.77386
27,2021-09-02 10:09:33,531208,7.67752
28,2021-09-02 11:09:34,531208,7.53346
29,2021-09-02 12:09:51,531208,7.69168
30,2021-09-02 02:09:45,531209,7.73431
31,2021-09-02 03:09:37,531210,7.76386
32,2021-09-02 04:09:02,531212,7.67313
33,2021-09-02 04:09:24,531212,7.67394
34,2021-09-02 05:09:36,531212,7.66923
35,2021-09-02 06:09:24,531213,7.7805
36,2021-09-02 06:09:39,531213,7.55699
37,2021-09-02 07:09:02,531213,7.54314
38,2021-09-02 07:09:59,531213,7.65419
39,2021-09-02 08:09:42,531213,7.8885
40,2021-09-02 08:09:43,531213,7.38785
41,2021-09-03 01:09:36,531217,7.81223
42,2021-09-03 02:09:14,531217,7.61827
43,2021-09-03 03:09:08,531217,7.44869
44,2021-09-03 12:09:27,531217,7.67729
45,2021-09-03 12:09:52,531217,7.8381
46,2021-09-03 07:09:56,531218,7.65684
47,2021-09-03 09:09:28,531218,7.64754
48,2021-09-03 10:09:27,531218,7.5572
49,2021-09-03 10:09:44,531218,7.96079
50,2021-09-03 11:09:13,531218,7.587
51,2021-09-03 01:09:24,531221,7.81376
52,2021-09-03 01:09:36,531221,7.89825
53,2021-09-03 02:09:49,531221,7.71255
54,2021-09-03 03:09:03,531221,7.76872
55,2021-09-03 04:09:09,531221,7.74576
56,2021-09-03 04:09:39,531221,7.71253
57,2021-09-03 04:09:46,531221,7.71401
58,2021-09-03 06:09:03,531221,7.63026
59,2021-09-03 06:09:17,531221,7.67392
60,2021-09-03 06:09:18,531221,7.49909
61,2021-09-03 06:09:43,531221,7.46991
62,2021-09-03 12:09:28,531221,7.63557
63,2021-09-03 02:09:01,531223,7.97874
64,2021-09-03 04:09:26,531223,7.81069
65,2021-09-03 08:09:16,531230,7.7888
66,2021-09-03 08:09:53,531230,7.7046
67,2021-09-03 09:09:54,531230,7.66642
68,2021-09-03 10:09:17,531230,7.68864
69,2021-09-03 10:09:25,531230,7.71228
70,2021-09-03 11:09:06,531234,7.73111
71,2021-09-04 01:09:35,531234,7.62545
72,2021-09-05 05:09:36,531234,7.76644
73,2021-09-05 08:09:47,531234,7.60777
74,2021-09-06 07:09:51,531234,7.55459
75,2021-09-06 08:09:43,531236,7.62392
76,2021-09-06 08:09:52,531236,7.71979
77,2021-09-06 09:09:44,531236,7.60724
78,2021-09-06 11:09:58,531237,7.73313
79,2021-09-06 01:09:45,531238,7.64401
80,2021-09-06 12:09:38,531238,7.96487
81,2021-09-06 02:09:02,531239,7.57986
82,2021-09-06 02:09:35,531239,7.62663
83,2021-09-06 03:09:45,531240,7.9163
84,2021-09-06 04:09:23,531240,7.73855
85,2021-09-06 04:09:35,531240,7.75182
86,2021-09-06 05:09:43,531244,7.77296
87,2021-09-06 07:09:32,531244,7.71158
88,2021-09-06 08:09:02,531244,7.70485
89,2021-09-06 08:09:25,531244,7.80731
90,2021-09-06 09:09:21,531244,7.63963
91,2021-09-06 09:09:28,531244,7.17452
92,2021-09-06 11:09:20,531246,7.72727
93,2021-09-07 12:09:43,531246,7.76573
94,2021-09-07 06:09:31,531247,7.8253
95,2021-09-07 06:09:38,531247,7.61438
96,2021-09-07 06:09:44,531247,7.80872
97,2021-09-07 07:09:15,531247,7.75521
98,2021-09-07 08:09:03,531247,7.60508
