index_1based,timestamp,sut_version,value
1,2021-09-01 01:09:09,531193,0.188807
2,2021-09-01 06:09:03,531193,0.190958
3,2021-09-01 06:09:04,531193,0.226923
4,2021-09-01 06:09:25,531193,0.194463
5,2021-09-01 07:09:24,531193,0.223806
6,2021-09-01 07:09:49,531193,0.209128
7,2021-09-01 08:09:01,531193,0.210211
8,2021-09-01 08:09:54,531194,0.188725
9,2021-09-01 11:09:01,531195,0.178025
10,2021-09-01 02:09:31,531197,0.177517
11,2021-09-01 03:09:03,531197,0.187336
12,2021-09-01 03:09:07,531197,0.197158
13,2021-09-01 04:09:03,531199,0.233372
14,2021-09-01 05:09:11,531199,0.204081
15,2021-09-01 05:09:33,531199,0.204573
16,2021-09-01 05:09:35,531199,0.200176
17,2021-09-01 09:09:38,531204,0.209496
18,2021-09-01 10:09:42,531204,0.203675
19,2021-09-01 11:09:08,531205,0.232133
20,2021-09-02 12:09:02,531205,0.200407
21,2021-09-02 06:09:20,531206,0.193623
22,2021-09-02 06:09:27,531206,0.192782
23,2021-09-02 07:09:53,531206,0.194709
24,2021-09-02 08:09:51,531206,0.209315
25,2021-09-02 02:09:15,531208,0.216155
26,2021-09-02 10:09:43,531208,0.233058
27,2021-09-02 10:09:56,531208,0.181419
28,2021-09-02 11:09:47,531208,0.163269
29,2021-09-02 12:09:07,531208,0.211151
30,2021-09-02 02:09:56,531209,0.19325
31,2021-09-02 03:09:49,531210,0.157354
32,2021-09-02 04:09:14,531212,0.196236
33,2021-09-02 04:09:36,531212,0.204776
34,2021-09-02 05:09:49,531212,0.201695
35,2021-09-02 06:09:35,531213,0.203727
36,2021-09-02 06:09:52,531213,0.214313
37,2021-09-02 07:09:14,531213,0.217883
38,2021-09-02 08:09:11,531213,0.201542
39,2021-09-02 08:09:53,531213,0.193921
40,2021-09-02 08:09:56,531213,0.198461
41,2021-09-03 01:09:39,531217,0.182204
42,2021-09-03 01:09:47,531217,0.205958
43,2021-09-03 02:09:27,531217,0.223062
44,2021-09-03 03:09:20,531217,0.195984
45,2021-09-03 12:09:03,531217,0.223281
46,2021-09-03 07:09:10,531218,0.219497
47,2021-09-03 09:09:40,531218,0.20529
48,2021-09-03 10:09:40,531218,0.197267
49,2021-09-03 10:09:57,531218,0.227572
50,2021-09-03 11:09:24,531218,0.201178
51,2021-09-03 01:09:38,531221,0.218903
52,2021-09-03 01:09:48,531221,0.196957
53,2021-09-03 02:09:59,531221,0.174393
54,2021-09-03 03:09:15,531221,0.206293
55,2021-09-03 04:09:21,531221,0.197071
56,2021-09-03 04:09:50,531221,0.214119
57,2021-09-03 04:09:59,531221,0.209652
58,2021-09-03 06:09:15,531221,0.202895
59,2021-09-03 06:09:29,531221,0.184074
60,2021-09-03 06:09:29,531221,0.182607
61,2021-09-03 06:09:56,531221,0.188178
62,2021-09-03 12:09:41,531221,0.209935
63,2021-09-03 03:09:14,531223,0.25168
64,2021-09-03 04:09:38,531223,0.1933
65,2021-09-03 08:09:05,531230,0.188365
66,2021-09-03 08:09:28,531230,0.225478
67,2021-09-03 09:09:06,531230,0.25034
68,2021-09-03 10:09:31,531230,0.227712
69,2021-09-03 10:09:37,531230,0.194192
70,2021-09-03 11:09:19,531234,0.191398
71,2021-09-04 01:09:46,531234,0.2009
72,2021-09-05 06:09:47,531234,0.216821
73,2021-09-05 08:09:59,531234,0.192859
74,2021-09-06 07:09:03,531234,0.20075
75,2021-09-06 08:09:05,531236,0.204014
76,2021-09-06 09:09:56,531236,0.20555
77,2021-09-06 09:09:56,531236,0.191036
78,2021-09-06 11:09:10,531237,0.222222
79,2021-09-06 01:09:57,531238,0.189718
80,2021-09-06 12:09:53,531238,0.195206
81,2021-09-06 02:09:14,531239,0.211039
82,2021-09-06 02:09:47,531239,0.186547
83,2021-09-06 04:09:34,531240,0.211685
84,2021-09-06 04:09:46,531240,0.191731
85,2021-09-06 04:09:56,531240,0.206134
86,2021-09-06 05:09:55,531244,0.190936
87,2021-09-06 08:09:37,531244,0.186933
88,2021-09-06 08:09:43,531244,0.221614
89,2021-09-06 09:09:14,531244,0.200888
90,2021-09-06 09:09:34,531244,0.187941
91,2021-09-06 09:09:42,531244,0.165358
92,2021-09-06 11:09:31,531246,0.200988
93,2021-09-07 12:09:59,531246,0.198935
94,2021-09-07 06:09:53,531247,0.188602
95,2021-09-07 06:09:56,531247,0.186739
96,2021-09-07 07:09:25,531247,0.203741
97,2021-09-07 07:09:46,531247,0.225254
98,2021-09-07 08:09:15,531247,0.18004
99,2021-09-07 09:09:47,531247,0.194202
100,2021-09-07 10:09:44,531247,0.192829
101,2021-09-07 10:09:35,531248,0.196907
102,2021-09-07 01:09:20,531249,0.21358
103,2021-09-07 12:09:59,531249,0.223524
104,2021-09-07 01:09:53,531250,0.209869
105,2021-09-07 01:09:53,531250,0.208015
106,2021-09-07 02:09:02,531250,0.211868
107,2021-09-07 03:09:08,531251,0.189173
108,2021-09-07 03:09:02,531252,0.177213
109,2021-09-07 04:09:54,531252,0.202754
110,2021-09-07 05:09:41,531252,0.185566
111,2021-09-07 08:09:39,531257,0.179868
112,2021-09-07 09:09:22,531257,0.207423
113,2021-09-07 09:09:46,531257,0.197774
114,2021-09-07 10:09:10,531258,0.196485
115,2021-09-07 11:09:41,531258,0.188726
116,2021-09-07 11:09:54,531258,0.217497
117,2021-09-08 12:09:22,531258,0.228393
118,2021-09-08 12:09:52,531259,0.192858
119,2021-09-08 06:09:26,531260,0.199187
120,2021-09-08 06:09:34,531260,0.198092
121,2021-09-08 06:09:39,531260,0.198063
122,2021-09-08 07:09:28,531260,0.201345
123,2021-09-08 01:09:23,531264,0.202427
124,2021-09-08 01:09:56,531264,0.204345
125,2021-09-08 02:09:25,531264,0.223388
126,2021-09-08 02:09:34,531264,0.216286
127,2021-09-08 05:09:40,531267,0.184645
128,2021-09-08 05:09:41,531267,0.240774
129,2021-09-08 05:09:49,531267,0.199961
130,2021-09-08 06:09:03,531267,0.165671
131,2021-09-08 11:09:10,531267,0.205404
132,2021-09-08 11:09:22,531267,0.222729
133,2021-09-08 11:09:07,531269,0.194107
134,2021-09-08 11:09:13,531269,0.230264
135,2021-09-08 11:09:24,531269,0.201206
136,2021-09-08 11:09:27,531269,0.217869
137,2021-09-09 12:09:11,531269,0.198026
138,2021-09-09 01:09:07,531270,0.194373
139,2021-09-09 01:09:15,531270,0.226369
140,2021-09-09 01:09:44,531270,0.211247
141,2021-09-09 03:09:44,531270,0.200708
142,2021-09-09 03:09:51,531270,0.212554
143,2021-09-09 06:09:56,531270,0.187272
144,2021-09-09 10:09:43,531270,0.22934
145,2021-09-09 11:09:17,531270,0.197734
146,2021-09-09 11:09:25,531270,0.194303
147,2021-09-09 11:09:27,531270,0.18896
148,2021-09-09 12:09:10,531270,0.222595
149,2021-09-09 01:09:16,531271,0.220856
150,2021-09-09 02:09:04,531272,0.203414
151,2021-09-09 02:09:15,531272,0.179714
152,2021-09-09 02:09:36,531272,0.187361
153,2021-09-09 02:09:49,531272,0.222297
154,2021-09-09 04:09:43,531274,0.185267
155,2021-09-09 05:09:54,531275,0.190457
156,2021-09-09 06:09:07,531276,0.20424
157,2021-09-09 06:09:09,531276,0.199356
158,2021-09-09 07:09:56,531276,0.216708
159,2021-09-09 07:09:56,531278,0.214849
160,2021-09-09 08:09:40,531279,0.220212
161,2021-09-09 08:09:16,531280,0.182404
162,2021-09-09 09:09:49,531280,0.162524
163,2021-09-10 12:09:50,531284,0.183854
164,2021-09-10 01:09:28,531285,0.213485
165,2021-09-10 02:09:59,531285,0.212603
166,2021-09-10 04:09:47,531285,0.22003
167,2021-09-10 01:09:03,531286,0.188373
168,2021-09-10 01:09:04,531286,0.20905
169,2021-09-10 02:09:06,531286,0.229634
170,2021-09-10 03:09:06,531286,0.233352
171,2021-09-10 03:09:06,531286,0.186208
172,2021-09-10 03:09:09,531286,0.208713
173,2021-09-10 03:09:29,531286,0.205937
174,2021-09-10 04:09:05,531286,0.201497
175,2021-09-10 04:09:39,531286,0.179901
176,2021-09-10 05:09:20,531286,0.206743
177,2021-09-10 05:09:38,531286,0.203206
178,2021-09-10 05:09:48,531286,0.211353
179,2021-09-10 06:09:39,531286,0.222719
180,2021-09-10 06:09:50,531286,0.228549
181,2021-09-10 07:09:09,531286,0.19347
182,2021-09-10 07:09:39,531286,0.181364
183,2021-09-10 08:09:31,531286,0.221814
184,2021-09-10 09:09:16,531286,0.223254
185,2021-09-10 11:09:13,531286,0.193551
186,2021-09-10 11:09:45,531286,0.223636
187,2021-09-10 06:09:33,531287,0.195603
188,2021-09-10 06:09:58,531287,0.22055
189,2021-09-10 07:09:58,531287,0.201714
190,2021-09-10 08:09:00,531289,0.198417
191,2021-09-13 05:09:16,531291,0.195881
192,2021-09-11 12:09:07,531293,0.208373
193,2021-09-11 01:09:50,531294,0.196854
194,2021-09-11 01:09:54,531295,0.207715
195,2021-09-11 02:09:37,531298,0.200518
196,2021-09-11 03:09:32,531298,0.174452
197,2021-09-11 04:09:38,531299,0.18306
198,2021-09-11 05:09:00,531299,0.192386
199,2021-09-11 06:09:52,531299,0.198769
200,2021-09-11 07:09:42,531299,0.198365
201,2021-09-11 07:09:55,531299,0.203248
202,2021-09-11 08:09:16,531299,0.193815
203,2021-09-11 09:09:22,531299,0.198746
204,2021-09-12 03:09:32,531300,0.205298
205,2021-09-12 04:09:57,531300,0.157965
206,2021-09-12 06:09:33,531300,0.202146
207,2021-09-12 07:09:56,531300,0.199183
208,2021-09-13 06:09:30,531300,0.197448
209,2021-09-13 06:09:40,531300,0.202286
210,2021-09-13 07:09:29,531301,0.210887
211,2021-09-13 11:09:34,531301,0.205839
212,2021-09-13 11:09:57,531301,0.22037
213,2021-09-13 12:09:51,531301,0.195565
214,2021-09-14 10:09:09,531301,0.209194
215,2021-09-14 04:09:49,531306,0.192341
216,2021-09-14 04:09:45,531307,0.214024
217,2021-09-14 06:09:41,531307,0.180397
218,2021-09-14 09:09:22,531307,0.19042
219,2021-09-14 09:09:51,531307,0.216847
220,2021-09-14 10:09:18,531307,0.181212
221,2021-09-14 10:09:32,531307,0.175534
222,2021-09-14 11:09:02,531307,0.234315
223,2021-09-14 11:09:42,531307,0.223863
224,2021-09-14 11:09:39,531308,0.197388
225,2021-09-14 11:09:39,531311,0.17482
226,2021-09-15 01:09:44,531313,0.214826
227,2021-09-15 12:09:04,531313,0.194527
228,2021-09-15 03:09:14,531318,0.1818
229,2021-09-15 04:09:29,531319,0.195235
230,2021-09-15 07:09:59,531319,0.226808
231,2021-09-15 08:09:02,531320,0.221619
232,2021-09-15 09:09:46,531320,0.235024
233,2021-09-15 02:09:40,531321,0.176225
234,2021-09-15 03:09:05,531321,0.186067
235,2021-09-15 03:09:07,531321,0.2009
236,2021-09-15 03:09:52,531321,0.228331
237,2021-09-15 04:09:12,531321,0.171475
238,2021-09-15 04:09:20,531321,0.205731
239,2021-09-15 04:09:32,531321,0.190871
240,2021-09-15 04:09:34,531321,0.198783
241,2021-09-15 04:09:39,531321,0.171411
242,2021-09-15 05:09:27,531321,0.197776
243,2021-09-15 05:09:39,531321,0.19055
244,2021-09-15 06:09:18,531321,0.184292
245,2021-09-15 06:09:18,531321,0.182472
246,2021-09-15 06:09:30,531321,0.204658
247,2021-09-15 06:09:56,531321,0.20811
248,2021-09-15 08:09:01,531321,0.250242
249,2021-09-15 08:09:02,531323,0.184476
250,2021-09-15 08:09:22,531323,0.233676
251,2021-09-15 09:09:00,531323,0.185837
252,2021-09-15 09:09:03,531323,0.203479
253,2021-09-15 09:09:38,531323,0.178426
254,2021-09-15 10:09:30,531323,0.185397
255,2021-09-15 11:09:57,531323,0.1812
256,2021-09-17 08:09:56,531323,0.232539
257,2021-09-15 10:09:04,531324,0.20483
258,2021-09-15 10:09:05,531325,0.228821
259,2021-09-15 11:09:26,531326,0.211695
260,2021-09-16 03:09:05,531329,0.190077
261,2021-09-16 03:09:29,531330,0.200483
262,2021-09-16 05:09:13,531330,0.191759
263,2021-09-16 07:09:09,531333,0.201582
264,2021-09-16 08:09:08,531333,0.181694
265,2021-09-16 07:09:00,531334,0.211461
266,2021-09-16 07:09:51,531334,0.216083
267,2021-09-16 08:09:20,531334,0.242075
268,2021-09-16 09:09:16,531334,0.206327
269,2021-09-16 10:09:08,531334,0.184409
270,2021-09-16 10:09:51,531335,0.209939
271,2021-09-16 10:09:54,531335,0.177054
272,2021-09-16 01:09:17,531336,0.198819
273,2021-09-16 01:09:18,531336,0.196444
274,2021-09-16 01:09:58,531336,0.184825
275,2021-09-16 03:09:30,531336,0.218716
276,2021-09-16 08:09:40,531336,0.167295
277,2021-09-16 10:09:13,531336,0.175631
278,2021-09-16 10:09:52,531336,0.22526
279,2021-09-16 11:09:21,531336,0.221696
280,2021-09-16 11:09:27,531336,0.203344
281,2021-09-16 12:09:59,531336,0.218455
282,2021-09-16 06:09:10,531337,0.197439
283,2021-09-16 06:09:43,531337,0.213379
