index_1based,timestamp,sut_version,value
1,2021-09-01 01:09:09,531193,4080940.0
2,2021-09-01 06:09:03,531193,4037669.0
3,2021-09-01 06:09:04,531193,4034202.0
4,2021-09-01 06:09:25,531193,4052821.0
5,2021-09-01 07:09:24,531193,4074867.0
6,2021-09-01 07:09:49,531193,4063540.0
7,2021-09-01 08:09:01,531193,4038789.0
8,2021-09-01 08:09:54,531194,4061162.0
9,2021-09-01 11:09:01,531195,4081764.0
10,2021-09-01 02:09:31,531197,4080611.0
11,2021-09-01 03:09:03,531197,4075242.0
12,2021-09-01 03:09:07,531197,4104419.0
13,2021-09-01 04:09:03,531199,4027528.0
14,2021-09-01 05:09:11,531199,4069761.0
15,2021-09-01 05:09:33,531199,4102979.0
16,2021-09-01 05:09:35,531199,4040315.0
17,2021-09-01 09:09:38,531204,4064269.0
18,2021-09-01 10:09:42,531204,4089500.0
19,2021-09-01 11:09:08,531205,3966181.0
20,2021-09-02 12:09:02,531205,4074999.0
21,2021-09-02 06:09:20,531206,4065353.0
22,2021-09-02 06:09:27,531206,4067819.0
23,2021-09-02 07:09:53,531206,4091690.0
24,2021-09-02 08:09:51,531206,4084925.0
25,2021-09-02 02:09:15,531208,4063919.0
26,2021-09-02 10:09:43,531208,4068849.0
27,2021-09-02 10:09:56,531208,4063266.0
28,2021-09-02 11:09:47,531208,4074185.0
29,2021-09-02 12:09:07,531208,4065367.0
30,2021-09-02 02:09:56,531209,4065736.0
31,2021-09-02 03:09:49,531210,4076908.0
32,2021-09-02 04:09:14,531212,4075566.0
33,2021-09-02 04:09:36,531212,4064113.0
34,2021-09-02 05:09:49,531212,4056448.0
35,2021-09-02 06:09:35,531213,4073309.0
36,2021-09-02 06:09:52,531213,4116358.0
37,2021-09-02 07:09:14,531213,4113415.0
38,2021-09-02 08:09:11,531213,4048602.0
39,2021-09-02 08:09:53,531213,4044149.0
40,2021-09-02 08:09:56,531213,4107048.0
41,2021-09-03 01:09:39,531217,4089634.0
42,2021-09-03 01:09:47,531217,4104105.0
43,2021-09-03 02:09:27,531217,3991527.0
44,2021-09-03 03:09:20,531217,4128239.0
45,2021-09-03 12:09:03,531217,4063902.0
46,2021-09-03 07:09:10,531218,4050454.0
47,2021-09-03 09:09:40,531218,4056420.0
48,2021-09-03 10:09:40,531218,4088107.0
49,2021-09-03 10:09:57,531218,4074733.0
50,2021-09-03 11:09:24,531218,4087920.0
51,2021-09-03 01:09:38,531221,4035350.0
52,2021-09-03 01:09:48,531221,4039705.0
53,2021-09-03 02:09:59,531221,4075373.0
54,2021-09-03 03:09:15,531221,4071681.0
55,2021-09-03 04:09:21,531221,4073564.0
56,2021-09-03 04:09:50,531221,4070173.0
57,2021-09-03 04:09:59,531221,4051766.0
58,2021-09-03 06:09:15,531221,4071908.0
59,2021-09-03 06:09:29,531221,4062827.0
60,2021-09-03 06:09:29,531221,4090424.0
61,2021-09-03 06:09:56,531221,4109486.0
62,2021-09-03 12:09:41,531221,4057273.0
63,2021-09-03 03:09:14,531223,4017084.0
64,2021-09-03 04:09:38,531223,4024949.0
65,2021-09-03 08:09:05,531230,4105809.0
66,2021-09-03 08:09:28,531230,4054874.0
67,2021-09-03 09:09:06,531230,4063570.0
68,2021-09-03 10:09:31,531230,4095765.0
69,2021-09-03 10:09:37,531230,4095778.0
70,2021-09-03 11:09:19,531234,4066110.0
71,2021-09-04 01:09:46,531234,4113452.0
72,2021-09-05 06:09:47,531234,4076214.0
73,2021-09-05 08:09:59,531234,4101803.0
74,2021-09-06 07:09:03,531234,4097757.0
75,2021-09-06 08:09:05,531236,4074018.0
76,2021-09-06 09:09:56,531236,4104743.0
77,2021-09-06 09:09:56,531236,4041248.0
78,2021-09-06 11:09:10,531237,4088374.0
79,2021-09-06 01:09:57,531238,4133294.0
80,2021-09-06 12:09:53,531238,4009584.0
81,2021-09-06 02:09:14,531239,4091459.0
82,2021-09-06 02:09:47,531239,4073270.0
83,2021-09-06 04:09:34,531240,4092239.0
84,2021-09-06 04:09:46,531240,4066230.0
85,2021-09-06 04:09:56,531240,4096301.0
86,2021-09-06 05:09:55,531244,4051170.0
87,2021-09-06 08:09:37,531244,4090770.0
88,2021-09-06 08:09:43,531244,4056396.0
89,2021-09-06 09:09:14,531244,4007198.0
90,2021-09-06 09:09:34,531244,4079654.0
91,2021-09-06 09:09:42,531244,4120146.0
92,2021-09-06 11:09:31,531246,4077279.0
93,2021-09-07 12:09:59,531246,4085705.0
94,2021-09-07 06:09:53,531247,4093867.0
95,2021-09-07 06:09:56,531247,4038104.0
96,2021-09-07 07:09:25,531247,4093270.0
97,2021-09-07 07:09:46,531247,4070895.0
98,2021-09-07 08:09:15,531247,4084221.0
99,2021-09-07 09:09:47,531247,4073753.0
100,2021-09-07 10:09:44,531247,4081226.0
101,2021-09-07 10:09:35,531248,4063117.0
102,2021-09-07 01:09:20,531249,4082627.0
103,2021-09-07 12:09:59,531249,4080788.0
104,2021-09-07 01:09:53,531250,4080683.0
105,2021-09-07 01:09:53,531250,4087910.0
106,2021-09-07 02:09:02,531250,3655057.0
107,2021-09-07 03:09:08,531251,4066697.0
108,2021-09-07 03:09:02,531252,3991921.0
109,2021-09-07 04:09:54,531252,4097124.0
110,2021-09-07 05:09:41,531252,4075152.0
111,2021-09-07 08:09:39,531257,3981369.0
112,2021-09-07 09:09:22,531257,4091937.0
113,2021-09-07 09:09:46,531257,4083398.0
114,2021-09-07 10:09:10,531258,4081845.0
115,2021-09-07 11:09:41,531258,4070087.0
116,2021-09-07 11:09:54,531258,4063268.0
117,2021-09-08 12:09:22,531258,4068749.0
118,2021-09-08 12:09:52,531259,4085491.0
119,2021-09-08 06:09:26,531260,4084692.0
120,2021-09-08 06:09:34,531260,4100304.0
