index_1based,timestamp,sut_version,value
1,2021-09-01 01:09:12,515219,8075.15
2,2021-09-01 01:09:42,515219,7089.045
3,2021-09-01 02:09:46,515219,8167.393
4,2021-09-01 12:09:10,515219,8408.723
5,2021-09-01 04:09:04,515220,9040.016
6,2021-09-01 05:09:29,515220,8835.021
7,2021-09-01 06:09:49,515220,7878.798
8,2021-09-01 08:09:10,515222,8655.979
9,2021-09-01 09:09:49,515222,6923.436
10,2021-09-01 01:09:02,515224,8239.316
11,2021-09-01 01:09:15,515224,8739.567
12,2021-09-01 01:09:55,515224,6765.264
13,2021-09-01 02:09:21,515224,6991.171
14,2021-09-01 02:09:47,515224,7124.837
15,2021-09-01 02:09:49,515224,7481.929
16,2021-09-01 11:09:16,515224,9625.845
17,2021-09-01 11:09:27,515224,7568.779
18,2021-09-01 11:09:27,515224,6624.622
19,2021-09-01 11:09:47,515224,6869.618
20,2021-09-01 12:09:54,515224,8250.276
21,2021-09-01 12:09:54,515224,7374.589
22,2021-09-01 01:09:12,515225,6883.819
23,2021-09-01 01:09:21,515225,7802.601
24,2021-09-01 01:09:46,515225,8893.569
25,2021-09-01 03:09:38,515228,7628.409
26,2021-09-01 04:09:16,515230,7488.1
27,2021-09-01 09:09:34,515238,7192.873
28,2021-09-02 01:09:43,515240,8155.378
29,2021-09-02 12:09:03,515240,8918.319
30,2021-09-02 05:09:03,515242,7506.439
31,2021-09-02 06:09:05,515242,8788.347
32,2021-09-02 06:09:46,515242,8503.474
33,2021-09-02 08:09:30,515243,8996.09
34,2021-09-02 09:09:43,515243,6913.534
35,2021-09-02 09:09:48,515243,9299.551
36,2021-09-02 09:09:59,515243,6819.141
37,2021-09-02 11:09:15,515243,8210.412
38,2021-09-02 11:09:43,515243,7549.407
39,2021-09-02 12:09:19,515244,8300.196
40,2021-09-02 12:09:33,515244,8122.528
41,2021-09-02 12:09:48,515244,8230.189
42,2021-09-02 12:09:56,515244,6831.709
43,2021-09-02 12:09:59,515244,7426.915
44,2021-09-02 02:09:31,515246,7642.957
45,2021-09-02 03:09:31,515247,8732.13
46,2021-09-02 03:09:59,515248,8330.429
47,2021-09-02 06:09:34,515251,7889.224
48,2021-09-02 07:09:08,515251,8253.801
49,2021-09-02 07:09:40,515251,8189.101
50,2021-09-02 07:09:25,515252,7203.878
51,2021-09-02 07:09:39,515254,8070.504
52,2021-09-02 09:09:12,515257,6736.146
53,2021-09-03 01:09:41,515260,7162.801
54,2021-09-03 12:09:43,515260,9034.234
55,2021-09-03 12:09:44,515260,8541.569
56,2021-09-03 06:09:57,515262,8570.142
57,2021-09-03 07:09:23,515262,7583.278
58,2021-09-03 09:09:07,515263,8153.458
59,2021-09-03 09:09:21,515263,7498.511
60,2021-09-03 09:09:26,515263,6790.743
61,2021-09-03 09:09:30,515263,7751.849
62,2021-09-03 10:09:54,515263,8845.878
63,2021-09-03 10:09:43,515264,9254.732
64,2021-09-03 12:09:06,515265,6479.995
65,2021-09-03 01:09:00,515266,6863.102
66,2021-09-03 01:09:38,515266,7978.797
67,2021-09-03 03:09:18,515268,7787.187
68,2021-09-03 04:09:08,515268,7533.405
69,2021-09-03 04:09:39,515268,7969.149
70,2021-09-03 04:09:17,515269,7194.356
71,2021-09-03 06:09:19,515272,6169.854
72,2021-09-03 10:09:51,515275,10334.38
73,2021-09-03 11:09:07,515275,8557.724
74,2021-09-03 11:09:23,515277,7189.225
75,2021-09-04 01:09:12,515277,6925.962
76,2021-09-04 01:09:16,515277,6998.553
