index_1based,timestamp,sut_version,value
1,2021-09-01 01:09:01,531193,696779.0
2,2021-09-01 05:09:26,531193,705862.0
3,2021-09-01 06:09:11,531193,718886.0
4,2021-09-01 06:09:28,531193,713401.0
5,2021-09-01 06:09:54,531193,689535.0
6,2021-09-01 07:09:32,531193,715113.0
7,2021-09-01 08:09:14,531194,680661.0
8,2021-09-01 11:09:36,531195,778556.0
9,2021-09-01 12:09:41,531195,721299.0
10,2021-09-01 02:09:47,531197,724804.0
11,2021-09-01 02:09:59,531197,714352.0
12,2021-09-01 04:09:17,531199,698876.0
13,2021-09-01 04:09:51,531199,757675.0
14,2021-09-01 05:09:45,531199,688295.0
15,2021-09-01 09:09:36,531204,728772.0
16,2021-09-01 11:09:01,531205,724871.0
17,2021-09-02 05:09:11,531206,710471.0
18,2021-09-02 06:09:18,531206,692929.0
19,2021-09-02 07:09:10,531206,722312.0
20,2021-09-02 08:09:54,531206,743310.0
21,2021-09-02 01:09:50,531208,673324.0
22,2021-09-02 09:09:27,531208,768114.0
23,2021-09-02 10:09:16,531208,724848.0
24,2021-09-02 10:09:35,531208,692200.0
25,2021-09-02 12:09:55,531208,728361.0
26,2021-09-02 01:09:49,531209,717925.0
27,2021-09-02 02:09:32,531210,707518.0
28,2021-09-02 04:09:01,531212,712223.0
29,2021-09-02 04:09:18,531212,679501.0
30,2021-09-02 04:09:42,531212,731417.0
31,2021-09-02 05:09:42,531213,709350.0
32,2021-09-02 06:09:41,531213,743064.0
33,2021-09-02 11:09:43,531217,727794.0
34,2021-09-03 01:09:07,531217,759463.0
35,2021-09-03 02:09:31,531217,750109.0
36,2021-09-03 02:09:39,531217,733568.0
37,2021-09-03 06:09:31,531218,698644.0
38,2021-09-03 09:09:06,531218,745468.0
39,2021-09-03 09:09:38,531218,736752.0
40,2021-09-03 09:09:44,531218,723068.0
41,2021-09-03 02:09:40,531221,705438.0
42,2021-09-03 12:09:17,531221,740693.0
43,2021-09-03 12:09:43,531221,674014.0
44,2021-09-03 12:09:59,531221,735750.0
45,2021-09-03 02:09:32,531223,702995.0
46,2021-09-03 07:09:40,531230,716821.0
47,2021-09-03 08:09:50,531230,719888.0
48,2021-09-03 10:09:18,531234,739579.0
49,2021-09-04 01:09:30,531234,704968.0
50,2021-09-05 05:09:07,531234,743896.0
51,2021-09-05 07:09:58,531234,737002.0
52,2021-09-06 07:09:52,531234,720064.0
53,2021-09-06 07:09:51,531236,725414.0
54,2021-09-06 08:09:29,531236,744748.0
55,2021-09-06 10:09:33,531237,741621.0
56,2021-09-06 11:09:18,531238,738809.0
57,2021-09-06 01:09:42,531239,680841.0
58,2021-09-06 03:09:05,531240,692075.0
59,2021-09-06 03:09:41,531240,706427.0
60,2021-09-06 03:09:44,531240,761103.0
61,2021-09-06 04:09:51,531240,750419.0
62,2021-09-06 05:09:18,531244,723212.0
63,2021-09-06 07:09:12,531244,745733.0
64,2021-09-06 07:09:52,531244,741234.0
65,2021-09-06 08:09:49,531244,752848.0
66,2021-09-06 11:09:34,531246,770087.0
67,2021-09-06 11:09:41,531246,753476.0
68,2021-09-07 12:09:49,531246,661519.0
69,2021-09-07 05:09:28,531247,753504.0
70,2021-09-07 06:09:22,531247,745171.0
71,2021-09-07 06:09:57,531247,707870.0
72,2021-09-07 07:09:50,531247,751022.0
73,2021-09-07 08:09:48,531247,730527.0
74,2021-09-07 09:09:46,531247,747525.0
75,2021-09-07 09:09:51,531247,731518.0
76,2021-09-07 10:09:46,531248,742607.0
77,2021-09-07 12:09:13,531249,715401.0
78,2021-09-07 12:09:27,531249,701131.0
79,2021-09-07 01:09:11,531250,668418.0
80,2021-09-07 01:09:13,531250,711671.0
81,2021-09-07 02:09:12,531251,709241.0
82,2021-09-07 02:09:12,531252,710980.0
83,2021-09-07 03:09:08,531252,733768.0
84,2021-09-07 07:09:48,531257,723215.0
85,2021-09-07 08:09:44,531257,703631.0
86,2021-09-07 10:09:36,531258,717376.0
87,2021-09-07 10:09:49,531258,743647.0
88,2021-09-07 11:09:28,531258,693926.0
89,2021-09-07 11:09:42,531258,714251.0
90,2021-09-08 12:09:48,531259,706943.0
91,2021-09-08 05:09:17,531260,683737.0
92,2021-09-08 05:09:31,531260,722693.0
93,2021-09-08 06:09:00,531260,715482.0
94,2021-09-08 01:09:03,531264,697439.0
95,2021-09-08 01:09:14,531264,693239.0
96,2021-09-08 01:09:19,531264,732728.0
97,2021-09-08 01:09:39,531264,703373.0
98,2021-09-08 04:09:02,531267,692086.0
99,2021-09-08 04:09:24,531267,708657.0
100,2021-09-08 04:09:47,531267,734239.0
101,2021-09-08 10:09:41,531267,741417.0
102,2021-09-08 10:09:12,531269,709607.0
103,2021-09-08 10:09:24,531269,731049.0
104,2021-09-08 11:09:34,531269,754311.0
105,2021-09-08 11:09:38,531269,713361.0
106,2021-09-08 11:09:46,531269,742302.0
107,2021-09-09 02:09:10,531270,726933.0
108,2021-09-09 05:09:52,531270,720705.0
109,2021-09-09 09:09:59,531270,743590.0
110,2021-09-09 10:09:41,531270,748643.0
111,2021-09-09 11:09:28,531270,786078.0
112,2021-09-09 11:09:59,531270,695607.0
113,2021-09-09 12:09:21,531270,749171.0
114,2021-09-09 01:09:15,531271,685153.0
115,2021-09-09 01:09:17,531272,740682.0
116,2021-09-09 01:09:40,531272,667430.0
117,2021-09-09 02:09:19,531272,722853.0
118,2021-09-09 04:09:01,531274,694569.0
119,2021-09-09 05:09:59,531275,755736.0
120,2021-09-09 05:09:18,531276,692517.0
121,2021-09-09 05:09:25,531276,711410.0
122,2021-09-09 07:09:24,531278,728617.0
123,2021-09-09 08:09:00,531279,734062.0
124,2021-09-09 08:09:46,531280,732808.0
125,2021-09-09 08:09:50,531280,714356.0
126,2021-09-09 11:09:15,531284,736869.0
127,2021-09-10 02:09:02,531285,728932.0
128,2021-09-10 02:09:19,531285,689114.0
129,2021-09-10 01:09:37,531286,727396.0
130,2021-09-10 01:09:47,531286,709166.0
131,2021-09-10 02:09:22,531286,747921.0
132,2021-09-10 02:09:44,531286,645114.0
133,2021-09-10 02:09:56,531286,720072.0
134,2021-09-10 03:09:15,531286,719311.0
