index_1based,timestamp,sut_version,value
1,2021-09-01 12:09:38,515218,2076.662063598633
2,2021-09-01 01:09:13,515219,1990.994930267334
3,2021-09-01 01:09:21,515219,2077.7058601379395
4,2021-09-01 01:09:22,515219,2041.7499542236328
5,2021-09-01 01:09:35,515219,2038.769006729126
6,2021-09-01 12:09:12,515219,2019.684076309204
7,2021-09-01 12:09:35,515219,2097.4860191345215
8,2021-09-01 12:09:42,515219,2068.9210891723633
9,2021-09-01 03:09:16,515220,2077.22806930542
10,2021-09-01 04:09:28,515220,2077.0699977874756
11,2021-09-01 05:09:34,515220,2022.8300094604492
12,2021-09-01 05:09:46,515220,2062.0980262756348
13,2021-09-01 08:09:34,515222,2108.3970069885254
14,2021-09-01 01:09:58,515224,1998.525857925415
15,2021-09-01 10:09:30,515224,2011.2910270690918
16,2021-09-01 10:09:48,515224,1988.7070655822754
17,2021-09-01 11:09:11,515224,2015.3250694274902
18,2021-09-01 11:09:43,515224,1982.8441143035889
19,2021-09-01 12:09:04,515224,1994.840145111084
20,2021-09-01 12:09:16,515224,1965.9528732299805
21,2021-09-01 12:09:35,515224,2031.93998336792
22,2021-09-01 12:09:40,515224,1992.6388263702393
23,2021-09-01 12:09:55,515224,2119.4441318511963
24,2021-09-01 01:09:06,515225,1938.3440017700195
25,2021-09-01 01:09:26,515225,1971.3091850280762
26,2021-09-01 01:09:48,515225,2034.4421863555908
27,2021-09-01 02:09:18,515225,1959.378957748413
28,2021-09-01 02:09:27,515225,1997.7929592132568
29,2021-09-01 03:09:12,515228,2036.2370014190674
30,2021-09-01 04:09:54,515228,1977.9059886932373
31,2021-09-01 04:09:46,515230,1960.460901260376
32,2021-09-01 05:09:55,515230,2005.011796951294
33,2021-09-01 09:09:30,515238,2057.101011276245
34,2021-09-01 11:09:23,515240,2111.1650466918945
35,2021-09-02 05:09:13,515242,2042.104959487915
36,2021-09-02 05:09:26,515242,2018.476963043213
37,2021-09-02 05:09:35,515242,1975.1720428466797
38,2021-09-02 06:09:18,515242,1999.7859001159668
39,2021-09-02 07:09:43,515243,1995.5780506134033
40,2021-09-02 09:09:21,515243,2029.3149948120117
41,2021-09-02 09:09:28,515243,1994.3790435791016
42,2021-09-02 11:09:06,515243,1982.8040599822998
43,2021-09-02 11:09:23,515243,2004.9629211425781
44,2021-09-02 11:09:32,515244,2012.139081954956
45,2021-09-02 11:09:51,515244,1953.4270763397217
46,2021-09-02 12:09:19,515244,2022.8610038757324
47,2021-09-02 12:09:45,515244,1956.0909271240234
48,2021-09-02 12:09:55,515244,2047.6861000061035
49,2021-09-02 02:09:36,515246,1991.091012954712
50,2021-09-02 03:09:53,515246,2023.2439041137695
51,2021-09-02 02:09:46,515247,1993.044137954712
52,2021-09-02 03:09:11,515248,2010.9858512878418
53,2021-09-02 05:09:41,515251,1988.745927810669
54,2021-09-02 06:09:16,515251,2007.4279308319092
55,2021-09-02 06:09:09,515252,1985.579013824463
56,2021-09-02 07:09:59,515254,1933.4161281585693
57,2021-09-02 08:09:00,515257,1982.362985610962
58,2021-09-03 01:09:51,515260,1995.4569339752197
59,2021-09-03 12:09:45,515260,1978.5130023956299
60,2021-09-03 12:09:53,515260,1930.2070140838623
61,2021-09-03 05:09:53,515262,1955.2950859069824
62,2021-09-03 07:09:00,515262,1959.8679542541504
63,2021-09-03 09:09:13,515263,1974.7669696807861
64,2021-09-03 09:09:43,515263,1917.1440601348877
65,2021-09-03 09:09:51,515263,2011.3270282745361
66,2021-09-03 09:09:53,515263,1980.8189868927002
67,2021-09-03 09:09:53,515264,1955.3089141845703
68,2021-09-03 12:09:40,515265,1979.888916015625
69,2021-09-03 01:09:18,515266,2021.9190120697021
70,2021-09-03 12:09:08,515266,1993.1509494781494
71,2021-09-03 03:09:40,515268,1981.323003768921
72,2021-09-03 03:09:44,515268,1986.2148761749268
73,2021-09-03 04:09:27,515269,1968.1310653686523
74,2021-09-03 05:09:29,515272,1930.9592247009277
75,2021-09-03 10:09:56,515275,2021.8398571014404
76,2021-09-03 11:09:06,515277,1957.8790664672852
77,2021-09-03 11:09:54,515277,1948.6579895019531
78,2021-09-04 01:09:09,515277,1948.8458633422852
79,2021-09-04 01:09:35,515277,1997.164011001587
80,2021-09-04 01:09:39,515277,1907.8118801116943
81,2021-09-04 12:09:30,515277,1968.0230617523193
82,2021-09-04 12:09:32,515277,1964.4160270690918
83,2021-09-04 02:09:25,515278,1988.0328178405762
84,2021-09-04 03:09:55,515278,1948.3489990234375
85,2021-09-04 05:09:03,515279,1908.038854598999
86,2021-09-04 05:09:17,515279,1974.4718074798584
87,2021-09-04 10:09:05,515281,2004.4782161712646
88,2021-09-05 04:09:52,515282,1940.9780502319336
89,2021-09-05 07:09:59,515282,2023.5791206359863
90,2021-09-06 05:09:34,515282,1925.732135772705
91,2021-09-06 08:09:15,515282,2017.0400142669678
92,2021-09-06 08:09:42,515282,1990.2570247650146
93,2021-09-06 08:09:43,515282,1956.3710689544678
94,2021-09-06 10:09:36,515282,1921.111822128296
95,2021-09-06 11:09:11,515282,1967.1411514282227
96,2021-09-06 11:09:11,515282,1935.441017150879
97,2021-09-06 11:09:21,515282,1970.5641269683838
98,2021-09-06 11:09:54,515282,1992.933988571167
99,2021-09-06 12:09:15,515282,1919.5520877838135
100,2021-09-06 12:09:05,515283,1984.3919277191162
101,2021-09-06 01:09:45,515284,1917.2759056091309
102,2021-09-06 01:09:29,515285,1962.2390270233154
103,2021-09-06 03:09:20,515286,1914.3860340118408
104,2021-09-06 03:09:48,515286,2012.8531455993652
105,2021-09-06 03:09:54,515286,1983.6468696594238
106,2021-09-06 05:09:49,515290,1901.3519287109375
107,2021-09-06 06:09:24,515290,1979.301929473877
108,2021-09-06 07:09:12,515291,1990.8690452575684
109,2021-09-06 08:09:28,515292,2105.419158935547
110,2021-09-06 08:09:22,515293,1957.1950435638428
111,2021-09-06 09:09:11,515293,1974.5960235595703
112,2021-09-06 09:09:09,515294,1959.975004196167
113,2021-09-06 09:09:18,515294,1980.3590774536133
114,2021-09-06 09:09:57,515294,2033.2388877868652
115,2021-09-06 10:09:26,515294,1982.6359748840332
116,2021-09-06 10:09:39,515295,1943.7289237976074
117,2021-09-06 11:09:50,515295,1962.6131057739258
118,2021-09-07 12:09:53,515296,1948.725938796997
119,2021-09-07 01:09:39,515297,1946.8350410461426
120,2021-09-07 05:09:47,515303,1951.9598484039307
121,2021-09-07 06:09:33,515303,2003.5710334777832
122,2021-09-07 05:09:18,515304,1969.5188999176025
123,2021-09-07 06:09:00,515304,2009.1907978057861
124,2021-09-07 06:09:39,515304,1926.5151023864746
125,2021-09-07 08:09:06,515304,2014.2948627471924
126,2021-09-07 10:09:46,515308,1982.4938774108887
127,2021-09-07 10:09:59,515308,1988.966941833496
128,2021-09-07 11:09:46,515308,1971.2328910827637
129,2021-09-07 01:09:13,515309,1926.8269538879395
130,2021-09-07 01:09:14,515309,1943.7050819396973
131,2021-09-07 01:09:29,515309,1994.5650100708008
132,2021-09-07 01:09:36,515309,1930.4840564727783
133,2021-09-07 12:09:32,515309,2100.2089977264404
134,2021-09-07 01:09:38,515310,2113.6739253997803
135,2021-09-07 02:09:59,515310,1974.1849899291992
136,2021-09-07 03:09:46,515310,2036.573886871338
137,2021-09-07 02:09:07,515311,1906.4538478851318
138,2021-09-07 02:09:37,515311,1973.4280109405518
139,2021-09-07 02:09:57,515311,1933.5970878601074
140,2021-09-07 03:09:41,515311,1953.2651901245117
141,2021-09-07 04:09:36,515313,1998.2938766479492
142,2021-09-07 05:09:34,515313,1966.1989212036133
143,2021-09-07 05:09:37,515313,1955.6059837341309
144,2021-09-07 06:09:06,515313,1990.515947341919
145,2021-09-07 06:09:15,515313,1943.6509609222412
146,2021-09-07 07:09:42,515314,1956.8297863006592
147,2021-09-07 08:09:05,515314,2017.5368785858154
148,2021-09-07 08:09:24,515314,1990.4870986938477
149,2021-09-07 08:09:31,515314,1965.3561115264893
150,2021-09-07 10:09:12,515314,1935.4400634765625
151,2021-09-07 10:09:49,515314,1878.101110458374
152,2021-09-07 11:09:10,515314,1945.6520080566406
153,2021-09-07 11:09:52,515317,1907.3500633239746
154,2021-09-08 01:09:34,515318,1969.994068145752
155,2021-09-08 05:09:03,515318,1974.5361804962158
156,2021-09-08 06:09:10,515318,1973.7040996551514
157,2021-09-08 06:09:10,515318,1917.794942855835
158,2021-09-08 06:09:14,515318,1964.4010066986084
159,2021-09-08 07:09:18,515318,1960.3850841522217
160,2021-09-08 10:09:07,515318,1895.6148624420166
161,2021-09-08 11:09:18,515318,1955.8420181274414
162,2021-09-08 11:09:23,515318,1999.5648860931396
163,2021-09-08 11:09:36,515318,1968.885898590088
164,2021-09-08 11:09:41,515318,2005.9239864349365
165,2021-09-08 11:09:50,515318,2022.434949874878
166,2021-09-08 12:09:05,515318,1902.9018878936768
167,2021-09-08 12:09:06,515318,1983.4778308868408
168,2021-09-08 12:09:38,515318,1953.848123550415
169,2021-09-08 02:09:07,515320,1946.7449188232422
170,2021-09-08 02:09:35,515320,1895.547866821289
171,2021-09-08 03:09:33,515320,1892.085075378418
172,2021-09-08 02:09:02,515321,1993.730068206787
173,2021-09-08 02:09:32,515321,2059.743881225586
174,2021-09-08 02:09:37,515321,2131.88099861145
175,2021-09-08 02:09:52,515321,2074.953079223633
176,2021-09-08 03:09:30,515321,2051.3908863067627
177,2021-09-08 04:09:21,515321,2022.8121280670166
178,2021-09-08 04:09:57,515321,2060.2190494537354
179,2021-09-08 04:09:23,515323,1935.7450008392334
180,2021-09-08 05:09:01,515323,1996.3510036468506
181,2021-09-08 05:09:32,515323,1938.7550354003906
182,2021-09-08 05:09:13,515324,1982.3830127716064
183,2021-09-08 05:09:25,515324,2003.3869743347168
184,2021-09-08 05:09:36,515324,1964.7390842437744
185,2021-09-08 05:09:42,515324,1919.5530414581299
186,2021-09-08 06:09:57,515325,1962.1901512145996
187,2021-09-08 10:09:30,515325,1987.7820014953613
188,2021-09-08 10:09:44,515325,1925.6560802459717
189,2021-09-08 11:09:15,515326,1981.961965560913
190,2021-09-08 11:09:21,515326,1999.0739822387695
191,2021-09-08 11:09:33,515327,1988.102912902832
192,2021-09-09 12:09:02,515327,1908.5030555725098
193,2021-09-09 02:09:00,515334,1998.0978965759277
194,2021-09-09 03:09:24,515334,1977.7319431304932
195,2021-09-09 02:09:19,515335,1930.4819107055664
196,2021-09-09 03:09:21,515336,1922.8639602661133
197,2021-09-09 03:09:49,515336,1982.7330112457275
198,2021-09-09 04:09:30,515336,2007.0619583129883
199,2021-09-09 05:09:55,515337,1958.636999130249
200,2021-09-09 07:09:34,515337,1924.0989685058594
201,2021-09-09 06:09:47,515338,1928.7631511688232
202,2021-09-09 08:09:36,515338,1949.2721557617188
203,2021-09-09 09:09:06,515341,1996.6578483581543
204,2021-09-09 09:09:06,515341,1952.3210525512695
205,2021-09-09 09:09:37,515341,1960.6621265411377
206,2021-09-09 10:09:35,515341,1982.4268817901611
207,2021-09-09 10:09:57,515341,1982.2020530700684
208,2021-09-09 11:09:10,515341,1928.926944732666
209,2021-09-09 11:09:26,515341,1916.363000869751
210,2021-09-09 11:09:58,515341,1930.8099746704102
211,2021-09-09 12:09:21,515341,1950.3288269042969
212,2021-09-09 12:09:23,515341,1936.3679885864258
213,2021-09-09 12:09:45,515341,2000.5309581756592
214,2021-09-09 01:09:21,515342,2012.0360851287842
215,2021-09-09 02:09:01,515342,2016.834020614624
216,2021-09-09 03:09:03,515344,1940.3469562530518
217,2021-09-09 03:09:49,515344,1903.3949375152588
218,2021-09-09 04:09:28,515344,1987.4131679534912
219,2021-09-09 05:09:51,515344,1927.8039932250977
220,2021-09-09 05:09:25,515345,1952.4919986724854
221,2021-09-09 07:09:21,515347,1976.3548374176025
222,2021-09-09 09:09:06,515348,2001.4140605926514
223,2021-09-09 10:09:04,515350,1986.3390922546387
224,2021-09-09 10:09:23,515350,1985.9001636505127
225,2021-09-09 11:09:05,515351,1953.2139301300049
226,2021-09-09 11:09:12,515351,1873.7270832061768
227,2021-09-09 11:09:36,515351,2002.5839805603027
228,2021-09-10 12:09:51,515351,1960.1080417633057
229,2021-09-10 01:09:09,515352,2015.683889389038
230,2021-09-10 01:09:52,515352,1953.233003616333
231,2021-09-10 12:09:23,515352,1926.241159439087
232,2021-09-10 12:09:31,515352,2008.2969665527344
233,2021-09-10 12:09:35,515352,1998.0478286743164
234,2021-09-10 02:09:29,515356,1868.994951248169
235,2021-09-10 03:09:31,515356,1939.1260147094727
236,2021-09-10 03:09:46,515356,1912.8551483154297
237,2021-09-10 04:09:02,515357,1934.859037399292
238,2021-09-10 05:09:58,515357,1906.4459800720215
239,2021-09-10 05:09:03,515358,1920.3109741210938
240,2021-09-10 06:09:15,515358,1968.0418968200684
241,2021-09-10 06:09:11,515362,1917.8440570831299
242,2021-09-10 06:09:55,515364,1878.087043762207
243,2021-09-10 07:09:40,515364,1902.343988418579
244,2021-09-10 08:09:48,515364,1933.4330558776855
245,2021-09-10 09:09:11,515364,1960.4318141937256
246,2021-09-10 09:09:58,515364,1902.7979373931885
247,2021-09-10 01:09:08,515366,1935.1511001586914
248,2021-09-10 01:09:28,515366,1892.74001121521
249,2021-09-10 01:09:31,515366,1950.087070465088
250,2021-09-10 01:09:43,515366,1968.526840209961
251,2021-09-10 01:09:45,515366,1918.2758331298828
252,2021-09-10 01:09:56,515366,1863.1799221038818
253,2021-09-10 02:09:09,515366,1938.8649463653564
254,2021-09-10 02:09:10,515366,1873.5179901123047
255,2021-09-10 02:09:17,515366,1939.2750263214111
256,2021-09-10 02:09:19,515366,1864.5799160003662
257,2021-09-10 02:09:37,515366,1888.4739875793457
258,2021-09-10 08:09:24,515366,1900.3159999847412
259,2021-09-10 08:09:25,515366,1953.5140991210938
260,2021-09-10 09:09:56,515366,1898.1249332427979
261,2021-09-10 10:09:35,515366,1960.433006286621
262,2021-09-10 10:09:53,515366,1871.6280460357666
263,2021-09-10 10:09:53,515366,1884.4869136810303
264,2021-09-10 10:09:53,515366,1935.1699352264404
265,2021-09-10 02:09:17,515367,1930.0799369812012
266,2021-09-10 02:09:33,515367,1880.6209564208984
267,2021-09-10 02:09:41,515367,1953.8378715515137
268,2021-09-10 03:09:06,515367,1875.6389617919922
269,2021-09-10 02:09:27,515368,2001.966953277588
270,2021-09-10 04:09:50,515369,1946.5880393981934
271,2021-09-10 06:09:35,515369,1933.7480068206787
272,2021-09-10 05:09:08,515371,1914.703130722046
273,2021-09-10 05:09:58,515373,1929.8770427703857
274,2021-09-13 04:09:50,515375,1906.5709114074707
275,2021-09-10 09:09:09,515377,1921.8411445617676
