index_1based,timestamp,sut_version,value
1,2021-09-01 12:09:33,515218,57.29799747467041
2,2021-09-01 01:09:45,515219,58.613739013671875
3,2021-09-01 02:09:05,515219,56.785993576049805
4,2021-09-01 12:09:12,515219,55.83451509475708
5,2021-09-01 12:09:17,515219,56.85880661010742
6,2021-09-01 12:09:33,515219,56.740686893463135
7,2021-09-01 12:09:57,515219,57.49643564224243
8,2021-09-01 03:09:22,515220,57.755234241485596
9,2021-09-01 04:09:20,515220,55.17947196960449
10,2021-09-01 05:09:35,515220,57.75336027145386
11,2021-09-01 06:09:36,515220,56.30734205245972
12,2021-09-01 06:09:41,515220,58.05238962173462
13,2021-09-01 08:09:10,515222,57.361764907836914
14,2021-09-01 01:09:10,515224,59.85229015350342
15,2021-09-01 01:09:57,515224,55.21140813827515
16,2021-09-01 10:09:47,515224,57.517526149749756
17,2021-09-01 10:09:51,515224,58.510448932647705
18,2021-09-01 11:09:23,515224,58.60912084579468
19,2021-09-01 11:09:31,515224,56.4088249206543
20,2021-09-01 11:09:53,515224,57.5102162361145
21,2021-09-01 12:09:21,515224,57.86616325378418
22,2021-09-01 12:09:27,515224,58.23673486709595
23,2021-09-01 12:09:28,515224,59.00369644165039
24,2021-09-01 12:09:59,515224,59.17475461959839
25,2021-09-01 01:09:05,515225,56.385366916656494
26,2021-09-01 01:09:08,515225,60.04699468612671
27,2021-09-01 01:09:37,515225,57.80528545379639
28,2021-09-01 02:09:05,515225,56.76483631134033
29,2021-09-01 02:09:14,515225,55.987632274627686
30,2021-09-01 02:09:21,515225,57.40514516830444
31,2021-09-01 02:09:21,515225,61.826674938201904
32,2021-09-01 03:09:41,515228,58.580307960510254
33,2021-09-01 04:09:14,515230,58.49892616271973
34,2021-09-01 09:09:32,515238,55.85723876953125
35,2021-09-01 11:09:07,515240,58.68480443954468
36,2021-09-02 05:09:35,515242,58.024752140045166
37,2021-09-02 05:09:43,515242,56.62421464920044
38,2021-09-02 05:09:50,515242,57.78308868408203
39,2021-09-02 06:09:26,515242,58.71628284454346
40,2021-09-02 06:09:26,515242,57.75623798370361
41,2021-09-02 06:09:58,515242,57.03956127166748
42,2021-09-02 06:09:59,515242,58.88601064682007
43,2021-09-02 07:09:46,515243,56.66612386703491
44,2021-09-02 09:09:06,515243,57.3694372177124
45,2021-09-02 09:09:33,515243,58.223421573638916
46,2021-09-02 10:09:12,515243,55.499632358551025
47,2021-09-02 10:09:12,515243,56.753528118133545
48,2021-09-02 10:09:26,515243,59.610559940338135
49,2021-09-02 11:09:14,515243,57.245519161224365
50,2021-09-02 11:09:49,515243,57.65554428100586
51,2021-09-02 12:09:07,515243,58.4570837020874
52,2021-09-02 01:09:37,515244,57.72484064102173
53,2021-09-02 01:09:47,515244,56.2224817276001
54,2021-09-02 01:09:59,515244,57.979021072387695
55,2021-09-02 11:09:03,515244,59.06336784362793
56,2021-09-02 11:09:43,515244,57.97220230102539
57,2021-09-02 12:09:03,515244,59.27412986755371
58,2021-09-02 12:09:10,515244,55.03277540206909
59,2021-09-02 12:09:10,515244,59.03950214385986
60,2021-09-02 12:09:11,515244,59.6571946144104
61,2021-09-02 12:09:41,515244,58.583993911743164
62,2021-09-02 02:09:07,515246,56.84017896652222
63,2021-09-02 03:09:29,515246,57.30954885482788
64,2021-09-02 03:09:38,515246,57.99259901046753
65,2021-09-02 03:09:47,515246,57.77834177017212
66,2021-09-02 02:09:16,515247,55.0171160697937
67,2021-09-02 04:09:15,515247,59.103944301605225
68,2021-09-02 04:09:34,515247,58.124706745147705
69,2021-09-02 04:09:44,515247,58.67835760116577
70,2021-09-02 03:09:57,515248,59.26882266998291
71,2021-09-02 04:09:45,515248,59.408018589019775
72,2021-09-02 05:09:05,515251,59.890406131744385
73,2021-09-02 06:09:50,515251,58.34683179855347
74,2021-09-02 06:09:55,515251,58.51271390914917
75,2021-09-02 07:09:50,515251,59.25819158554077
76,2021-09-02 08:09:04,515251,56.4499306678772
77,2021-09-02 08:09:42,515251,56.50144338607788
78,2021-09-02 06:09:35,515252,59.2095160484314
79,2021-09-02 07:09:04,515252,57.93015241622925
80,2021-09-02 07:09:04,515254,58.77579689025879
81,2021-09-02 08:09:32,515254,57.85968542098999
82,2021-09-02 08:09:48,515254,56.78770065307617
83,2021-09-02 08:09:56,515254,57.368361949920654
84,2021-09-02 08:09:54,515257,57.444868087768555
85,2021-09-03 02:09:06,515260,56.909053325653076
86,2021-09-03 12:09:37,515260,59.37063217163086
87,2021-09-03 12:09:47,515260,58.19772005081177
88,2021-09-03 12:09:52,515260,59.39256191253662
89,2021-09-03 05:09:23,515262,56.68282985687256
90,2021-09-03 06:09:45,515262,58.9218807220459
91,2021-09-03 07:09:03,515262,59.52751398086548
92,2021-09-03 07:09:30,515262,59.24698352813721
93,2021-09-03 07:09:45,515262,57.32292175292969
94,2021-09-03 07:09:52,515262,56.560962200164795
95,2021-09-03 09:09:12,515263,58.29415798187256
96,2021-09-03 09:09:25,515263,59.92267370223999
97,2021-09-03 09:09:31,515263,58.89650583267212
98,2021-09-03 09:09:39,515263,58.88822317123413
99,2021-09-03 10:09:26,515263,59.6492862701416
100,2021-09-03 10:09:34,515263,57.813570499420166
101,2021-09-03 10:09:39,515263,58.05387735366821
102,2021-09-03 09:09:23,515264,59.62507486343384
103,2021-09-03 10:09:06,515264,60.548129081726074
104,2021-09-03 12:09:54,515265,58.790059089660645
105,2021-09-03 01:09:05,515266,60.3272819519043
106,2021-09-03 12:09:47,515266,49.96100187301636
107,2021-09-03 03:09:21,515268,58.69114875793457
108,2021-09-03 03:09:53,515268,56.80743455886841
109,2021-09-03 04:09:22,515268,55.64139127731323
110,2021-09-03 04:09:01,515269,59.788784980773926
111,2021-09-03 05:09:30,515272,60.963287353515625
112,2021-09-03 10:09:11,515275,57.559874057769775
113,2021-09-03 11:09:57,515277,58.686933517456055
114,2021-09-04 01:09:00,515277,56.93274259567261
115,2021-09-04 01:09:21,515277,55.58591604232788
116,2021-09-04 01:09:33,515277,58.52391242980957
117,2021-09-04 02:09:37,515277,59.832563400268555
118,2021-09-04 12:09:24,515277,57.5650691986084
119,2021-09-04 12:09:45,515277,58.33480358123779
120,2021-09-04 02:09:38,515278,57.37844705581665
121,2021-09-04 05:09:15,515279,59.58507061004639
122,2021-09-04 05:09:53,515279,56.67478561401367
123,2021-09-04 10:09:04,515281,58.14770698547363
124,2021-09-04 11:09:48,515281,56.70970439910889
125,2021-09-05 04:09:23,515282,57.1904182434082
126,2021-09-05 07:09:17,515282,58.042664527893066
127,2021-09-05 08:09:46,515282,59.45977449417114
128,2021-09-06 05:09:51,515282,58.89233350753784
129,2021-09-06 08:09:29,515282,60.16986846923828
130,2021-09-06 08:09:38,515282,57.216527462005615
131,2021-09-06 08:09:59,515282,58.026204109191895
132,2021-09-06 09:09:25,515282,63.13040494918823
133,2021-09-06 10:09:43,515282,59.00502920150757
134,2021-09-06 11:09:06,515282,58.00208330154419
135,2021-09-06 11:09:38,515282,60.69899082183838
136,2021-09-06 11:09:51,515282,55.898752212524414
137,2021-09-06 12:09:15,515282,58.22641849517822
138,2021-09-06 12:09:04,515283,57.76342153549194
139,2021-09-06 01:09:22,515284,60.61101198196411
140,2021-09-06 01:09:00,515285,54.16938304901123
141,2021-09-06 03:09:06,515286,57.07792282104492
142,2021-09-06 03:09:39,515286,59.73626136779785
143,2021-09-06 03:09:51,515286,57.71919012069702
144,2021-09-06 04:09:56,515286,61.016552448272705
145,2021-09-06 06:09:01,515290,59.20731782913208
146,2021-09-06 06:09:08,515290,58.29082012176514
147,2021-09-06 06:09:59,515290,58.14053773880005
148,2021-09-06 07:09:06,515290,58.518009185791016
149,2021-09-06 07:09:59,515291,59.65575456619263
150,2021-09-06 08:09:41,515292,59.70630168914795
151,2021-09-06 08:09:40,515293,57.23759174346924
152,2021-09-06 09:09:52,515293,56.73846483230591
153,2021-09-06 10:09:51,515293,59.84132766723633
154,2021-09-06 10:09:52,515293,58.31801176071167
155,2021-09-06 09:09:18,515294,54.84985828399658
156,2021-09-06 09:09:34,515294,59.10656452178955
157,2021-09-06 09:09:37,515294,59.31668043136597
158,2021-09-06 10:09:54,515295,60.048112869262695
159,2021-09-06 11:09:06,515295,58.86765003204346
160,2021-09-06 11:09:10,515295,57.364399433135986
161,2021-09-07 12:09:18,515295,57.127323150634766
162,2021-09-07 12:09:51,515295,57.24832057952881
163,2021-09-07 12:09:30,515296,56.39018535614014
164,2021-09-07 01:09:59,515297,57.51910448074341
165,2021-09-07 04:09:03,515303,59.78277921676636
166,2021-09-07 05:09:50,515304,57.06594705581665
167,2021-09-07 06:09:50,515304,57.27170705795288
168,2021-09-07 08:09:15,515304,58.03844928741455
169,2021-09-07 08:09:18,515304,58.92548084259033
170,2021-09-07 10:09:37,515308,55.91726541519165
