index_1based,timestamp,sut_version,value
1,2021-09-01 01:09:28,515219,1063737.555556
2,2021-09-01 01:09:56,515219,1084325.6
3,2021-09-01 12:09:05,515219,1091705.711111
4,2021-09-01 12:09:28,515219,1071710.844444
5,2021-09-01 12:09:37,515219,994710.244444
6,2021-09-01 03:09:21,515220,1043980.177778
7,2021-09-01 04:09:46,515220,1036576.955556
8,2021-09-01 06:09:20,515220,1061580.422222
9,2021-09-01 08:09:48,515222,1073059.688889
10,2021-09-01 01:09:42,515224,1021417.955556
11,2021-09-01 02:09:43,515224,1100524.644444
12,2021-09-01 10:09:23,515224,1032571.088889
13,2021-09-01 10:09:51,515224,1064311.333333
14,2021-09-01 11:09:02,515224,1086694.044444
15,2021-09-01 11:09:47,515224,1061990.022222
16,2021-09-01 12:09:04,515224,1060971.511111
17,2021-09-01 12:09:12,515224,1021863.4
18,2021-09-01 12:09:28,515224,1013346.488889
19,2021-09-01 12:09:32,515224,1082503.4
20,2021-09-01 01:09:00,515225,1101377.311111
21,2021-09-01 01:09:19,515225,1044558.022222
22,2021-09-01 01:09:48,515225,1024737.844444
23,2021-09-01 03:09:16,515228,1052133.511111
24,2021-09-01 04:09:11,515228,1067632.8
25,2021-09-01 04:09:05,515230,1075076.355556
26,2021-09-01 09:09:38,515238,1059083.311111
27,2021-09-01 10:09:05,515238,1098627.2
28,2021-09-01 11:09:10,515240,1058714.0
29,2021-09-02 05:09:10,515242,1079102.222222
30,2021-09-02 05:09:30,515242,1110319.555556
31,2021-09-02 05:09:59,515242,1109926.333333
32,2021-09-02 06:09:59,515242,1048988.355556
33,2021-09-02 08:09:30,515243,1016898.111111
34,2021-09-02 09:09:39,515243,1080308.511111
35,2021-09-02 09:09:44,515243,1084384.466667
36,2021-09-02 11:09:25,515243,1057082.866667
37,2021-09-02 11:09:34,515243,1039112.688889
38,2021-09-02 01:09:17,515244,1168863.911111
39,2021-09-02 01:09:33,515244,1107027.111111
40,2021-09-02 01:09:37,515244,1062337.688889
41,2021-09-02 11:09:32,515244,1095005.0
42,2021-09-02 12:09:12,515244,1100843.2
43,2021-09-02 12:09:23,515244,1100436.155556
44,2021-09-02 12:09:33,515244,1059078.044444
45,2021-09-02 12:09:43,515244,1099719.955556
46,2021-09-02 12:09:53,515244,1012757.177778
47,2021-09-02 02:09:33,515246,1106366.288889
48,2021-09-02 03:09:44,515247,1103046.911111
49,2021-09-02 03:09:12,515248,1069224.244444
50,2021-09-02 04:09:08,515248,1088980.933333
51,2021-09-02 05:09:30,515251,1059101.488889
52,2021-09-02 06:09:31,515251,1094199.644444
53,2021-09-02 06:09:55,515252,1076859.466667
54,2021-09-02 07:09:43,515254,1109162.444444
55,2021-09-02 08:09:15,515257,1043150.044444
56,2021-09-03 01:09:03,515260,1135050.466667
57,2021-09-03 01:09:31,515260,1046196.555556
58,2021-09-03 01:09:51,515260,1028610.955556
59,2021-09-03 12:09:06,515260,1109558.8
60,2021-09-03 12:09:07,515260,1083341.133333
61,2021-09-03 05:09:26,515262,1091062.4
62,2021-09-03 07:09:16,515262,1103994.688889
63,2021-09-03 09:09:28,515263,1097278.2
64,2021-09-03 09:09:34,515263,1018656.733333
65,2021-09-03 09:09:53,515263,1085472.155556
66,2021-09-03 09:09:55,515263,1102603.777778
67,2021-09-03 10:09:20,515263,996327.466667
