index_1based,timestamp,sut_version,value
1,2021-09-01 02:09:13,515219,18683.20081665039
2,2021-09-01 12:09:10,515219,18881.095261230465
3,2021-09-01 12:09:29,515219,18272.602411499018
4,2021-09-01 12:09:59,515219,18600.522695312502
5,2021-09-01 03:09:12,515220,18752.428569946285
6,2021-09-01 05:09:13,515220,18275.03077453613
7,2021-09-01 05:09:33,515220,19226.545361328135
8,2021-09-01 06:09:16,515220,19413.997981567398
9,2021-09-01 07:09:58,515220,18943.8954095459
10,2021-09-01 08:09:34,515222,18553.634718627945
11,2021-09-01 01:09:42,515224,19053.616351928707
12,2021-09-01 02:09:16,515224,19281.803704223636
13,2021-09-01 03:09:39,515224,20525.34134277344
14,2021-09-01 04:09:12,515224,18198.981066894536
15,2021-09-01 04:09:52,515224,18485.903505859373
16,2021-09-01 11:09:18,515224,18727.71046325684
17,2021-09-01 11:09:21,515224,18460.879080200197
18,2021-09-01 11:09:25,515224,18452.427783203137
19,2021-09-01 11:09:33,515224,18572.303479614267
20,2021-09-01 12:09:20,515224,18380.33938354492
21,2021-09-01 12:09:39,515224,18499.787630004877
22,2021-09-01 12:09:47,515224,18399.29294372559
23,2021-09-01 01:09:08,515225,18324.1693109131
24,2021-09-01 01:09:22,515225,18799.416157836913
25,2021-09-01 01:09:47,515225,18821.00526062011
26,2021-09-01 03:09:35,515228,18764.70509948731
27,2021-09-01 04:09:09,515230,18898.265700073225
28,2021-09-01 10:09:58,515238,19040.069679565426
29,2021-09-02 12:09:01,515240,18887.173327026372
30,2021-09-02 05:09:08,515242,19720.080932617195
31,2021-09-02 06:09:11,515242,18284.23153808595
32,2021-09-02 06:09:15,515242,19021.046862792973
33,2021-09-02 06:09:24,515242,19452.11015625
34,2021-09-02 06:09:46,515242,18358.591270141602
35,2021-09-02 06:09:47,515242,19291.843179931635
36,2021-09-02 06:09:59,515242,18719.348288574212
37,2021-09-02 08:09:03,515243,18590.20076721191
38,2021-09-02 09:09:00,515243,19221.44787658692
39,2021-09-02 09:09:37,515243,19825.78582519533
40,2021-09-02 10:09:24,515243,18276.94471435546
41,2021-09-02 10:09:52,515243,18845.627453002915
42,2021-09-02 11:09:00,515243,21427.15185668945
43,2021-09-02 11:09:07,515243,18657.743143310552
44,2021-09-02 12:09:28,515243,18681.964103393548
45,2021-09-02 11:09:18,515244,19745.96263610839
46,2021-09-02 12:09:25,515244,18615.0478527832
47,2021-09-02 12:09:31,515244,18684.962664794926
48,2021-09-02 12:09:43,515244,18651.537612304688
49,2021-09-02 12:09:54,515244,18507.179072875977
50,2021-09-02 12:09:55,515244,18573.887410278323
51,2021-09-02 02:09:22,515246,18602.01264709473
52,2021-09-02 03:09:53,515247,19331.221353149405
53,2021-09-02 04:09:10,515247,18263.62166564941
54,2021-09-02 03:09:56,515248,18639.587323608408
55,2021-09-02 05:09:45,515251,19224.256248168946
56,2021-09-02 06:09:03,515251,19309.52158752442
57,2021-09-02 06:09:15,515251,18612.329860229493
58,2021-09-02 07:09:04,515251,18114.464323120123
59,2021-09-02 07:09:46,515251,18599.23868713379
60,2021-09-02 06:09:11,515252,18685.697498168942
61,2021-09-02 07:09:54,515254,18700.471498413084
62,2021-09-02 09:09:14,515257,18929.563883666986
63,2021-09-03 01:09:37,515260,18274.169508666997
64,2021-09-03 12:09:08,515260,19121.57513427735
65,2021-09-03 12:09:31,515260,18865.700809326176
66,2021-09-03 05:09:34,515262,19143.03625793457
67,2021-09-03 07:09:02,515262,18755.756458129887
68,2021-09-03 09:09:08,515263,17841.585908203117
69,2021-09-03 09:09:30,515263,18867.615161132802
70,2021-09-03 09:09:42,515263,18675.24137023926
71,2021-09-03 09:09:58,515263,19093.264733886714
72,2021-09-03 10:09:42,515264,19348.42549255371
73,2021-09-03 10:09:49,515264,19375.250535278326
74,2021-09-03 11:09:00,515264,19279.710417480477
75,2021-09-03 11:09:37,515264,18131.915242919924
76,2021-09-03 12:09:28,515265,18659.710049438472
77,2021-09-03 01:09:07,515266,18638.73438476563
78,2021-09-03 01:09:25,515266,18594.877080078124
79,2021-09-03 01:09:40,515266,19207.73695190431
80,2021-09-03 03:09:34,515268,18549.787248535144
81,2021-09-03 04:09:33,515268,19108.874366455086
82,2021-09-03 04:09:50,515269,18446.763386840827
83,2021-09-03 06:09:49,515272,18553.124161376956
84,2021-09-03 10:09:48,515275,18519.647072753913
85,2021-09-03 11:09:14,515277,19251.715650634764
86,2021-09-04 01:09:11,515277,18452.344425659183
87,2021-09-04 01:09:26,515277,18547.637268066406
88,2021-09-04 12:09:24,515277,18622.29122192384
89,2021-09-04 12:09:49,515277,18273.67861511231
90,2021-09-04 12:09:49,515277,18432.702505493162
91,2021-09-04 02:09:09,515278,18405.90895324707
92,2021-09-04 06:09:30,515279,18942.39642272948
93,2021-09-04 06:09:38,515279,19064.42352722167
94,2021-09-04 10:09:19,515281,19327.595770874024
95,2021-09-04 11:09:45,515281,19109.14149230957
96,2021-09-05 04:09:52,515282,18630.33656433105
97,2021-09-05 07:09:50,515282,19251.116431884755
98,2021-09-05 08:09:02,515282,18005.701475219732
99,2021-09-06 01:09:20,515282,19007.481641845705
100,2021-09-06 05:09:41,515282,18856.360917358394
101,2021-09-06 08:09:24,515282,18752.880183715817
102,2021-09-06 08:09:42,515282,18775.36278503418
103,2021-09-06 09:09:20,515282,19376.74335144044
104,2021-09-06 09:09:35,515282,18681.533928833007
105,2021-09-06 10:09:11,515282,18953.240780639666
106,2021-09-06 11:09:00,515282,19204.27400146484
107,2021-09-06 11:09:04,515282,18710.545467529297
108,2021-09-06 11:09:40,515282,18943.49502868653
109,2021-09-06 12:09:18,515282,19358.613798828115
110,2021-09-06 12:09:58,515282,18961.55663818358
111,2021-09-06 12:09:13,515283,18726.93970031738
112,2021-09-06 01:09:56,515284,18291.84170532227
113,2021-09-06 01:09:00,515285,18875.970120239253
114,2021-09-06 03:09:07,515286,18416.123745727542
115,2021-09-06 03:09:43,515286,18526.712659912107
116,2021-09-06 03:09:51,515286,19274.888580932617
117,2021-09-06 04:09:44,515286,18756.43944580078
118,2021-09-06 06:09:00,515290,18777.98927246093
119,2021-09-06 06:09:01,515290,18590.867025146486
120,2021-09-06 07:09:30,515291,18390.16934570312
121,2021-09-06 08:09:15,515292,18561.7718536377
122,2021-09-06 08:09:32,515293,18459.905987548827
123,2021-09-06 09:09:41,515293,18342.022019653323
124,2021-09-06 09:09:14,515294,20122.831318359375
125,2021-09-06 10:09:31,515294,18563.96582885742
126,2021-09-06 10:09:39,515294,18522.958962402332
127,2021-09-06 10:09:52,515294,19230.01036499023
128,2021-09-06 10:09:52,515294,18386.839042968735
129,2021-09-06 10:09:20,515295,18444.409573974615
130,2021-09-07 12:09:23,515295,18995.92717224121
131,2021-09-07 12:09:06,515296,18686.69443908691
132,2021-09-07 02:09:43,515297,19413.32540100098
133,2021-09-07 03:09:26,515297,18917.772791748048
134,2021-09-07 03:09:53,515297,19375.54505859375
135,2021-09-07 04:09:26,515297,18267.263245849605
136,2021-09-07 06:09:07,515303,19237.01039978027
137,2021-09-07 06:09:58,515303,18414.02377502441
138,2021-09-07 06:09:13,515304,18520.61621398925
139,2021-09-07 06:09:29,515304,19083.283653564453
140,2021-09-07 08:09:48,515304,18473.33101745605
141,2021-09-07 10:09:19,515308,18031.39690124511
142,2021-09-07 10:09:42,515308,18521.206782226553
143,2021-09-07 01:09:03,515309,18862.09380737305
144,2021-09-07 01:09:29,515309,18702.362455444327
145,2021-09-07 01:09:58,515309,18970.683667602545
146,2021-09-07 02:09:00,515309,18554.435077514645
147,2021-09-07 02:09:17,515309,18514.55906494141
148,2021-09-07 02:09:46,515309,19759.121039428723
149,2021-09-07 01:09:39,515310,18746.23701477052
150,2021-09-07 02:09:43,515310,19502.89279907227
151,2021-09-07 03:09:10,515310,19026.98252685547
152,2021-09-07 02:09:00,515311,18576.589553222642
153,2021-09-07 03:09:20,515311,18599.980720825195
154,2021-09-07 03:09:36,515311,19569.12231079101
155,2021-09-07 03:09:45,515311,19448.26000671388
156,2021-09-07 04:09:20,515311,19703.228266601564
157,2021-09-07 04:09:38,515311,18476.15595520019
158,2021-09-07 05:09:21,515311,19534.75848388673
159,2021-09-07 05:09:56,515311,18259.908056030283
160,2021-09-07 05:09:37,515313,18560.112144165036
161,2021-09-07 06:09:21,515313,18627.642384643543
162,2021-09-07 06:09:24,515313,18549.34876464843
163,2021-09-07 06:09:28,515313,18449.396953125004
164,2021-09-07 06:09:45,515313,18696.961408691408
165,2021-09-07 07:09:18,515314,18818.721279907226
166,2021-09-07 08:09:45,515314,18637.496995239257
167,2021-09-07 08:09:47,515314,18776.590175781243
168,2021-09-07 10:09:12,515314,19291.71474975585
169,2021-09-07 10:09:59,515314,18991.837356567383
170,2021-09-07 11:09:57,515314,18444.766945190422
171,2021-09-08 12:09:56,515317,18447.810094604483
172,2021-09-08 01:09:41,515318,18408.983494262695
173,2021-09-08 06:09:05,515318,19028.41652893066
174,2021-09-08 06:09:55,515318,19087.75398986816
175,2021-09-08 07:09:30,515318,18482.873361816404
176,2021-09-08 07:09:41,515318,18621.1833404541
177,2021-09-08 07:09:50,515318,18605.998505249023
178,2021-09-08 10:09:07,515318,18966.80977355958
179,2021-09-08 11:09:03,515318,18902.29428344727
180,2021-09-08 11:09:26,515318,19128.654489135737
181,2021-09-08 11:09:46,515318,18644.424869384762
182,2021-09-08 11:09:48,515318,19513.368458862304
183,2021-09-08 12:09:24,515318,19059.173968505875
184,2021-09-08 12:09:47,515318,18685.612483520516
185,2021-09-08 02:09:21,515320,19414.363468017564
186,2021-09-08 02:09:48,515320,19387.757454223643
187,2021-09-08 03:09:06,515320,19137.684085693356
188,2021-09-08 03:09:27,515320,19046.239895629882
189,2021-09-08 02:09:44,515321,18776.056207275404
190,2021-09-08 02:09:49,515321,19052.682027587893
191,2021-09-08 02:09:54,515321,18900.907707519535
192,2021-09-08 03:09:29,515321,18418.36310424804
193,2021-09-08 04:09:27,515323,19639.937526245118
194,2021-09-08 05:09:07,515323,19220.069098510743
195,2021-09-08 05:09:33,515323,18701.764055175787
196,2021-09-08 06:09:22,515323,18411.736744384765
197,2021-09-08 05:09:14,515324,18611.64589294434
198,2021-09-08 05:09:25,515324,18821.759502563487
199,2021-09-08 05:09:26,515324,18953.18968688965
200,2021-09-08 06:09:32,515325,18801.29706970216
201,2021-09-08 10:09:36,515325,18981.59606140137
202,2021-09-08 11:09:28,515325,18486.560621337892
203,2021-09-08 11:09:00,515326,18608.138696289065
204,2021-09-08 11:09:52,515326,20152.483535766594
205,2021-09-09 12:09:13,515326,19085.864590454097
206,2021-09-09 12:09:44,515327,18393.25435180664
207,2021-09-09 02:09:43,515334,19269.16340759278
208,2021-09-09 03:09:24,515334,18628.85532592774
209,2021-09-09 03:09:44,515334,19231.05922790527
210,2021-09-09 03:09:48,515334,18957.72268432617
211,2021-09-09 03:09:39,515335,19185.559641723652
212,2021-09-09 03:09:21,515336,19878.11193420411
213,2021-09-09 03:09:28,515336,18916.95497009277
214,2021-09-09 04:09:15,515336,18327.147311401357
215,2021-09-09 06:09:05,515337,18803.806918945313
216,2021-09-09 07:09:05,515338,18911.560734252926
217,2021-09-09 01:09:28,515341,18743.75545837402
218,2021-09-09 09:09:18,515341,18787.797768554687
219,2021-09-09 09:09:22,515341,19186.769693603525
220,2021-09-09 09:09:53,515341,18855.853830566408
221,2021-09-09 11:09:25,515341,18829.6895098877
222,2021-09-09 11:09:32,515341,19459.092190551743
223,2021-09-09 11:09:47,515341,18549.359616699214
224,2021-09-09 11:09:52,515341,18877.88728637696
225,2021-09-09 12:09:16,515341,19260.699337768547
226,2021-09-09 12:09:36,515341,19039.64236633302
227,2021-09-09 12:09:50,515341,18448.784080810547
228,2021-09-09 01:09:52,515342,18517.332680053707
229,2021-09-09 04:09:43,515344,19216.965131835947
230,2021-09-09 04:09:53,515344,18481.391983642578
231,2021-09-09 04:09:56,515344,19052.92194824219
232,2021-09-09 04:09:58,515344,18639.26859680175
233,2021-09-09 05:09:51,515345,18567.166970825205
234,2021-09-09 07:09:03,515347,18727.330772094723
235,2021-09-09 09:09:54,515348,18381.7318786621
236,2021-09-09 11:09:35,515350,18361.363771362307
237,2021-09-09 11:09:35,515350,19164.357075805663
238,2021-09-09 11:09:26,515351,18584.7278894043
239,2021-09-09 11:09:41,515351,19011.756923217767
240,2021-09-09 11:09:58,515351,17829.206956787115
241,2021-09-10 01:09:20,515352,18678.23376831054
242,2021-09-10 01:09:31,515352,18592.78448791504
243,2021-09-10 12:09:27,515352,18579.15957824708
244,2021-09-10 02:09:09,515356,18719.807815551754
245,2021-09-10 03:09:58,515356,19170.749796142565
246,2021-09-10 03:09:59,515356,19537.364525756835
247,2021-09-10 04:09:25,515356,19386.7275366211
248,2021-09-10 05:09:14,515356,18670.353630981434
249,2021-09-10 05:09:50,515356,18920.109033203127
250,2021-09-10 04:09:22,515357,19050.817114868158
251,2021-09-10 05:09:01,515358,19316.731340942384
252,2021-09-10 06:09:05,515358,18641.344853515606
253,2021-09-10 06:09:27,515362,19224.363267211902
254,2021-09-10 07:09:44,515362,18476.747169189464
255,2021-09-10 07:09:06,515364,18426.82040161133
256,2021-09-10 07:09:28,515364,18657.721602172838
257,2021-09-10 01:09:00,515366,18983.380720214845
258,2021-09-10 01:09:05,515366,19151.706801757813
259,2021-09-10 01:09:15,515366,18406.43475219727
260,2021-09-10 01:09:37,515366,19081.26475585938
261,2021-09-10 02:09:03,515366,18893.15594543457
262,2021-09-10 02:09:09,515366,18652.056506958008
263,2021-09-10 02:09:16,515366,18888.996569824216
264,2021-09-10 02:09:29,515366,18236.565532226574
265,2021-09-10 08:09:21,515366,20919.81288452147
266,2021-09-10 09:09:31,515366,18470.113936767575
267,2021-09-10 09:09:53,515366,18178.653549194325
268,2021-09-10 11:09:12,515366,18646.91880981447
269,2021-09-10 02:09:18,515367,18499.96682556152
270,2021-09-10 03:09:11,515367,18560.201141357426
271,2021-09-10 03:09:56,515367,19307.579497070317
272,2021-09-10 04:09:02,515367,19532.063217163082
273,2021-09-10 05:09:05,515367,18191.24513671875
274,2021-09-10 05:09:44,515367,19052.290369262704
275,2021-09-10 03:09:00,515368,18463.187250976567
276,2021-09-10 05:09:51,515369,18974.45853515625
277,2021-09-10 05:09:58,515371,18724.66400756836
278,2021-09-10 06:09:52,515373,19235.56898620605
279,2021-09-10 07:09:34,515373,19141.029223632817
280,2021-09-13 04:09:35,515375,18595.14765869141
281,2021-09-10 09:09:01,515377,18789.45997192382
282,2021-09-10 11:09:32,515378,18885.20983886718
283,2021-09-11 12:09:07,515379,18591.43648132325
284,2021-09-11 12:09:12,515379,19888.805004882823
285,2021-09-11 12:09:49,515379,18140.11083618164
286,2021-09-11 01:09:22,515380,19334.132882080088
287,2021-09-11 01:09:48,515380,18530.511851806634
288,2021-09-11 01:09:58,515380,18739.028102417
289,2021-09-11 01:09:51,515381,18843.22377990721
290,2021-09-11 02:09:33,515381,19080.072728881838
291,2021-09-13 05:09:10,515381,19690.976796875006
292,2021-09-13 05:09:24,515381,19589.78020996094
293,2021-09-13 09:09:09,515381,18651.346009521483
294,2021-09-13 09:09:22,515381,18593.069017944355
295,2021-09-13 06:09:11,515382,18498.05292053223
296,2021-09-11 02:09:28,515385,19016.719057006827
297,2021-09-11 06:09:04,515387,18533.76317321777
298,2021-09-11 12:09:11,515388,18389.237265014646
299,2021-09-11 08:09:41,515389,18344.972429809575
300,2021-09-12 05:09:57,515390,19151.85747436523
301,2021-09-12 03:09:00,515391,19017.6258001709
302,2021-09-13 04:09:25,515391,18980.735366210938
303,2021-09-13 05:09:35,515391,19306.697734375
304,2021-09-13 06:09:00,515391,18606.42337280274
305,2021-09-13 06:09:03,515391,18705.91967773438
306,2021-09-13 06:09:29,515391,18530.758078002935
307,2021-09-13 06:09:29,515391,18576.87065307617
308,2021-09-13 07:09:04,515391,18882.685426635755
309,2021-09-13 07:09:16,515391,19282.59489868164
310,2021-09-13 09:09:17,515391,18573.333657226565
311,2021-09-13 01:09:54,515393,18233.104806518553
312,2021-09-13 10:09:47,515393,18740.60268737793
313,2021-09-13 11:09:42,515393,18035.760167236338
314,2021-09-13 11:09:58,515393,18275.664034423822
315,2021-09-13 01:09:13,515394,19544.50234436035
316,2021-09-13 01:09:34,515394,18949.176495361324
317,2021-09-13 11:09:01,515394,18686.67029174805
318,2021-09-13 11:09:26,515394,19485.5980053711
319,2021-09-14 01:09:44,515396,18953.02470153809
320,2021-09-14 09:09:20,515396,19426.876631469717
321,2021-09-14 11:09:19,515396,18644.957486572246
322,2021-09-14 01:09:28,515397,18650.727194824216
323,2021-09-14 01:09:43,515397,18939.23289794923
324,2021-09-14 02:09:07,515397,19467.045329589844
325,2021-09-14 07:09:58,515397,18556.223694458007
326,2021-09-13 03:09:35,515398,18575.291894531256
327,2021-09-14 07:09:42,515398,18992.65411987304
328,2021-09-14 09:09:30,515399,19331.740344848637
329,2021-09-14 12:09:39,515399,18766.075767822265
330,2021-09-14 09:09:21,515401,18645.304622192387
331,2021-09-14 02:09:27,515403,19394.700756225586
332,2021-09-14 06:09:57,515403,18885.18094726562
333,2021-09-14 09:09:20,515403,19360.22878601075
334,2021-09-14 09:09:45,515403,18548.81538635254
335,2021-09-14 09:09:46,515403,18561.474271850588
336,2021-09-14 11:09:06,515403,18625.2243762207
337,2021-09-14 11:09:07,515403,18417.170878295896
338,2021-09-14 11:09:14,515403,19021.433580322264
339,2021-09-14 11:09:21,515403,19044.454912719728
340,2021-09-14 05:09:32,515405,19169.05844970703
341,2021-09-14 06:09:31,515405,18697.163900146494
342,2021-09-14 07:09:05,515405,18869.081881713857
343,2021-09-14 07:09:45,515405,19254.39903991699
344,2021-09-14 07:09:48,515405,18543.305462036147
345,2021-09-14 08:09:03,515405,18660.999855346676
346,2021-09-14 08:09:22,515405,19425.137744750973
347,2021-09-14 09:09:31,515405,18304.637675170896
348,2021-09-15 11:09:04,515405,18718.2776763916
349,2021-09-14 08:09:07,515406,18422.134111938467
350,2021-09-14 09:09:22,515406,18583.820922241208
351,2021-09-14 09:09:31,515406,18960.979964599606
352,2021-09-14 09:09:50,515406,19035.304167480463
