index_1based,timestamp,sut_version,value
1,2021-09-01 01:09:14,531193,28412.32
2,2021-09-01 02:09:45,531193,24495.39
3,2021-09-01 06:09:10,531193,31191.52
4,2021-09-01 06:09:14,531193,27972.81
5,2021-09-01 06:09:32,531193,27606.77
6,2021-09-01 07:09:36,531193,29310.04
7,2021-09-01 07:09:51,531193,24617.2
8,2021-09-01 08:09:19,531193,30159.54
9,2021-09-01 08:09:45,531193,22335.39
10,2021-09-01 08:09:57,531194,27870.68
11,2021-09-01 09:09:48,531194,21931.75
12,2021-09-01 11:09:03,531195,26142.42
13,2021-09-01 12:09:36,531195,25959.19
14,2021-09-01 02:09:19,531197,25643.0
15,2021-09-01 03:09:12,531197,29294.59
16,2021-09-01 03:09:20,531197,26648.19
17,2021-09-01 03:09:25,531197,23289.94
18,2021-09-01 04:09:15,531199,27447.64
19,2021-09-01 04:09:49,531199,25806.45
20,2021-09-01 05:09:51,531199,27731.56
21,2021-09-01 05:09:53,531199,26917.9
22,2021-09-01 09:09:25,531204,30409.0
23,2021-09-01 10:09:16,531204,28203.18
24,2021-09-01 11:09:16,531205,30438.62
25,2021-09-02 06:09:06,531206,29439.47
26,2021-09-02 06:09:34,531206,25156.6
27,2021-09-02 07:09:18,531206,28619.67
28,2021-09-02 07:09:35,531206,25489.4
29,2021-09-02 08:09:10,531206,26237.08
30,2021-09-02 01:09:15,531208,29995.8
31,2021-09-02 09:09:44,531208,31207.09
32,2021-09-02 10:09:38,531208,29626.12
33,2021-09-02 11:09:37,531208,25938.32
34,2021-09-02 12:09:24,531208,28998.12
35,2021-09-02 02:09:51,531209,28242.21
36,2021-09-02 03:09:11,531209,27150.3
37,2021-09-02 02:09:25,531210,25743.34
38,2021-09-02 04:09:27,531212,30721.02
39,2021-09-02 04:09:29,531212,29999.4
40,2021-09-02 04:09:39,531212,28030.83
41,2021-09-02 05:09:30,531212,27426.57
42,2021-09-02 05:09:51,531212,25664.06
43,2021-09-02 05:09:30,531213,30061.63
44,2021-09-02 06:09:39,531213,25633.14
45,2021-09-02 06:09:39,531213,26632.58
46,2021-09-02 07:09:51,531213,25084.66
47,2021-09-03 01:09:24,531217,29808.04
48,2021-09-03 01:09:56,531217,27861.36
49,2021-09-03 02:09:12,531217,29300.59
50,2021-09-03 12:09:58,531217,29067.23
51,2021-09-03 07:09:54,531218,25201.61
52,2021-09-03 09:09:03,531218,29630.51
53,2021-09-03 09:09:26,531218,28802.67
54,2021-09-03 10:09:45,531218,25837.79
55,2021-09-03 01:09:21,531221,24236.55
56,2021-09-03 01:09:41,531221,28339.85
57,2021-09-03 01:09:43,531221,25067.68
58,2021-09-03 02:09:33,531221,29289.44
59,2021-09-03 03:09:16,531221,28920.96
60,2021-09-03 04:09:00,531221,24615.99
61,2021-09-03 12:09:14,531221,29364.26
62,2021-09-03 02:09:16,531223,24970.04
63,2021-09-03 07:09:59,531230,30413.63
64,2021-09-03 08:09:19,531230,22431.08
65,2021-09-03 09:09:27,531230,22012.86
66,2021-09-03 10:09:27,531234,31250.0
67,2021-09-04 01:09:53,531234,28840.88
68,2021-09-04 02:09:58,531234,26106.25
69,2021-09-05 05:09:57,531234,28773.67
70,2021-09-05 06:09:07,531234,25652.21
71,2021-09-05 08:09:18,531234,30157.72
72,2021-09-06 07:09:31,531234,27595.34
73,2021-09-06 08:09:32,531236,26594.33
74,2021-09-06 08:09:54,531236,29946.4
75,2021-09-06 09:09:04,531236,25271.03
76,2021-09-06 11:09:28,531237,27990.82
77,2021-09-06 12:09:48,531238,23099.49
78,2021-09-06 01:09:08,531239,25484.2
79,2021-09-06 02:09:38,531239,25990.23
80,2021-09-06 03:09:16,531240,27703.9
81,2021-09-06 03:09:52,531240,26023.37
82,2021-09-06 04:09:44,531240,26240.52
83,2021-09-06 04:09:59,531240,23337.77
84,2021-09-06 05:09:54,531244,26788.11
85,2021-09-06 07:09:49,531244,29733.59
