index_1based,timestamp,sut_version,value
1,2021-09-01 01:09:36,531193,321156.59118351084
2,2021-09-01 06:09:00,531193,319759.82889450254
3,2021-09-01 06:09:35,531193,333703.66243161215
4,2021-09-01 06:09:51,531193,338262.03605195787
5,2021-09-01 07:09:32,531193,318163.0041824204
6,2021-09-01 08:09:01,531193,330965.5886315425
7,2021-09-01 08:09:22,531194,315104.17265804036
8,2021-09-01 11:09:58,531195,321164.7527560102
9,2021-09-01 02:09:51,531197,326225.14267196436
10,2021-09-01 03:09:22,531197,311494.95002467866
11,2021-09-01 03:09:58,531197,331179.66969150177
12,2021-09-01 04:09:01,531199,318407.526082451
13,2021-09-01 05:09:36,531199,330822.46154450154
14,2021-09-01 09:09:54,531204,310690.07703363744
15,2021-09-01 11:09:07,531205,337314.5184505613
16,2021-09-02 06:09:15,531206,319388.6842202382
17,2021-09-02 06:09:19,531206,328784.15132940013
18,2021-09-02 07:09:48,531206,324504.93228447286
19,2021-09-02 08:09:31,531206,331297.392954849
20,2021-09-02 01:09:39,531208,315680.5702335036
21,2021-09-02 09:09:07,531208,328884.1839786168
22,2021-09-02 10:09:24,531208,325619.3445478069
23,2021-09-02 12:09:07,531208,319163.1760543387
24,2021-09-02 02:09:32,531209,322312.44271571084
25,2021-09-02 03:09:23,531210,326974.0920685235
26,2021-09-02 04:09:06,531212,329032.7837095532
27,2021-09-02 04:09:08,531212,318638.96469698695
28,2021-09-02 05:09:50,531212,315780.3360846986
29,2021-09-02 06:09:09,531213,333693.56798665127
30,2021-09-02 06:09:51,531213,313700.87420245894
31,2021-09-03 01:09:05,531217,324687.17814530997
32,2021-09-03 02:09:31,531217,318662.0814860964
33,2021-09-03 12:09:16,531217,328922.78706740745
34,2021-09-03 07:09:21,531218,324413.6286633999
35,2021-09-03 09:09:04,531218,311696.90192826866
36,2021-09-03 10:09:12,531218,329852.5284067839
37,2021-09-03 10:09:26,531218,333474.1617678744
38,2021-09-03 01:09:27,531221,316407.4209203087
39,2021-09-03 01:09:30,531221,335060.3718052304
40,2021-09-03 03:09:36,531221,320410.4985499358
41,2021-09-03 12:09:42,531221,322603.5244523754
42,2021-09-03 02:09:14,531223,328068.5993647729
43,2021-09-03 07:09:47,531230,330865.6033654413
44,2021-09-03 08:09:11,531230,324073.88520900905
45,2021-09-03 11:09:26,531234,324898.3549502046
46,2021-09-04 01:09:21,531234,321729.19233090745
47,2021-09-05 05:09:49,531234,321825.3055841435
48,2021-09-05 08:09:56,531234,328119.39623353403
49,2021-09-06 07:09:11,531234,325080.5504846416
50,2021-09-06 08:09:21,531236,315531.7673665758
51,2021-09-06 08:09:25,531236,333898.68268216547
52,2021-09-06 11:09:58,531237,318661.8161903168
53,2021-09-06 12:09:15,531238,325275.3672065504
54,2021-09-06 01:09:33,531239,328474.6061148166
55,2021-09-06 03:09:45,531240,316309.3983994555
56,2021-09-06 04:09:12,531240,328237.6197877344
57,2021-09-06 04:09:17,531240,332939.3390454549
58,2021-09-06 05:09:57,531244,322907.7179603924
59,2021-09-06 07:09:32,531244,324073.51059567946
60,2021-09-06 08:09:31,531244,318587.5703193
61,2021-09-06 08:09:37,531244,324115.1512556492
62,2021-09-06 11:09:39,531246,332276.6854790677
63,2021-09-07 12:09:18,531246,324220.1889392731
64,2021-09-07 12:09:25,531246,319044.90308223094
65,2021-09-07 06:09:23,531247,329211.4803327844
66,2021-09-07 06:09:47,531247,330151.7788312187
67,2021-09-07 07:09:44,531247,327643.70706391125
68,2021-09-07 08:09:36,531247,329072.59875871986
69,2021-09-07 08:09:38,531247,325451.3221494496
70,2021-09-07 09:09:48,531247,327555.8268361697
71,2021-09-07 10:09:19,531247,311106.6346749955
72,2021-09-07 10:09:38,531248,314419.74029824836
73,2021-09-07 01:09:16,531249,323778.2316711838
74,2021-09-07 12:09:33,531249,320748.86622054526
75,2021-09-07 01:09:57,531250,326224.2050356327
76,2021-09-07 01:09:58,531250,329362.6219849377
77,2021-09-07 03:09:44,531251,327707.1399416579
78,2021-09-07 03:09:01,531252,321388.9756873569
79,2021-09-07 04:09:08,531252,329492.07604912476
80,2021-09-07 08:09:07,531257,327758.99365251657
81,2021-09-07 08:09:32,531257,317129.2583143998
82,2021-09-07 10:09:32,531258,319670.1902776487
83,2021-09-07 10:09:42,531258,320827.3120576947
84,2021-09-07 11:09:37,531258,321154.4570801336
85,2021-09-08 12:09:10,531258,327084.253357127
86,2021-09-08 12:09:33,531259,313115.89193256426
87,2021-09-08 06:09:15,531260,304463.4090667936
88,2021-09-08 06:09:37,531260,332321.9276601058
89,2021-09-08 06:09:49,531260,330249.3613412448
90,2021-09-08 07:09:35,531260,324766.71000616567
91,2021-09-08 01:09:00,531264,324910.94020974933
92,2021-09-08 01:09:38,531264,325265.11163415806
93,2021-09-08 01:09:40,531264,324763.65114528313
94,2021-09-08 02:09:18,531264,328758.03065538284
95,2021-09-08 04:09:06,531267,317465.598177265
96,2021-09-08 04:09:49,531267,312527.17843437084
97,2021-09-08 05:09:50,531267,327653.40361678414
98,2021-09-08 10:09:47,531267,317292.30492053425
99,2021-09-08 11:09:09,531269,318099.1661105866
100,2021-09-08 11:09:26,531269,320205.4621467871
101,2021-09-08 11:09:57,531269,322128.984647314
102,2021-09-08 11:09:59,531269,318117.5139543062
103,2021-09-09 12:09:31,531269,331411.025575044
104,2021-09-09 02:09:32,531270,316473.1633023165
105,2021-09-09 06:09:39,531270,331240.5449355326
106,2021-09-09 10:09:06,531270,317338.0658316338
107,2021-09-09 11:09:12,531270,319085.9900852544
108,2021-09-09 11:09:23,531270,329802.2256123756
109,2021-09-09 12:09:33,531270,330745.21602652024
110,2021-09-09 01:09:27,531271,330930.8493681141
