index_1based,timestamp,sut_version,value
1,2021-09-01 01:09:25,531193,3341320.0
2,2021-09-01 06:09:33,531193,3343039.0
3,2021-09-01 06:09:55,531193,3320740.0
4,2021-09-01 07:09:10,531193,3310049.0
5,2021-09-01 07:09:31,531193,3346099.0
6,2021-09-01 07:09:54,531193,3404151.0
7,2021-09-01 08:09:24,531193,3310858.0
8,2021-09-01 08:09:57,531193,3333479.0
9,2021-09-01 08:09:23,531194,3362220.0
10,2021-09-01 11:09:30,531195,3379230.0
11,2021-09-01 03:09:03,531197,3355910.0
12,2021-09-01 03:09:25,531197,3348180.0
13,2021-09-01 04:09:34,531199,3368730.0
14,2021-09-01 05:09:36,531199,3403400.0
15,2021-09-01 09:09:59,531204,3390090.0
16,2021-09-01 11:09:32,531205,3353050.0
17,2021-09-02 06:09:49,531206,3374159.0
18,2021-09-02 06:09:52,531206,3380150.0
19,2021-09-02 07:09:25,531206,3386419.0
20,2021-09-02 09:09:14,531206,3327331.0
21,2021-09-02 02:09:45,531208,3397459.0
22,2021-09-02 10:09:12,531208,3348249.0
23,2021-09-02 10:09:24,531208,3457010.0
24,2021-09-02 12:09:44,531208,3375391.0
25,2021-09-02 02:09:34,531209,3390710.0
26,2021-09-02 03:09:21,531210,3410451.0
27,2021-09-02 04:09:43,531212,3378070.0
28,2021-09-02 05:09:10,531212,3362321.0
29,2021-09-02 05:09:48,531212,3344151.0
30,2021-09-02 06:09:56,531213,3332870.0
31,2021-09-02 07:09:33,531213,3355960.0
32,2021-09-03 01:09:05,531217,3354340.0
33,2021-09-03 02:09:41,531217,3300380.0
34,2021-09-03 12:09:21,531217,3345590.0
35,2021-09-03 07:09:39,531218,3358410.0
36,2021-09-03 10:09:07,531218,3358010.0
37,2021-09-03 10:09:13,531218,3365770.0
38,2021-09-03 10:09:31,531218,3410279.0
39,2021-09-03 01:09:10,531221,3356830.0
40,2021-09-03 01:09:10,531221,3362020.0
41,2021-09-03 01:09:10,531221,3377361.0
42,2021-09-03 03:09:39,531221,3323791.0
43,2021-09-03 03:09:52,531223,3375989.0
44,2021-09-03 08:09:24,531230,3410730.0
45,2021-09-03 09:09:01,531230,3359831.0
46,2021-09-03 11:09:41,531234,3446979.0
47,2021-09-04 02:09:06,531234,3390900.0
48,2021-09-05 06:09:10,531234,3365569.0
49,2021-09-05 08:09:17,531234,3356471.0
