index_1based,timestamp,sut_version,value
1,2021-09-01 01:09:25,531193,55.72
2,2021-09-01 06:09:33,531193,55.78
3,2021-09-01 06:09:56,531193,55.33
4,2021-09-01 07:09:11,531193,55.11
5,2021-09-01 07:09:31,531193,55.79
6,2021-09-01 07:09:54,531193,56.77
7,2021-09-01 08:09:24,531193,55.29
8,2021-09-01 08:09:57,531193,55.57
9,2021-09-01 08:09:23,531194,56.02
10,2021-09-01 11:09:30,531195,56.41
11,2021-09-01 03:09:03,531197,55.99
12,2021-09-01 03:09:25,531197,55.81
13,2021-09-01 04:09:34,531199,56.17
14,2021-09-01 05:09:36,531199,56.84
15,2021-09-01 09:09:59,531204,56.46
16,2021-09-01 11:09:32,531205,55.87
17,2021-09-02 06:09:49,531206,56.28
18,2021-09-02 06:09:52,531206,56.4
19,2021-09-02 07:09:25,531206,56.43
20,2021-09-02 09:09:14,531206,55.56
21,2021-09-02 02:09:45,531208,56.67
22,2021-09-02 10:09:12,531208,55.8
23,2021-09-02 10:09:24,531208,57.76
24,2021-09-02 12:09:44,531208,56.32
25,2021-09-02 02:09:34,531209,56.55
26,2021-09-02 03:09:21,531210,56.88
27,2021-09-02 04:09:43,531212,56.32
28,2021-09-02 05:09:10,531212,56.01
29,2021-09-02 05:09:48,531212,55.73
30,2021-09-02 06:09:56,531213,55.63
31,2021-09-02 07:09:33,531213,55.88
32,2021-09-03 01:09:05,531217,55.98
33,2021-09-03 02:09:41,531217,54.97
34,2021-09-03 12:09:21,531217,55.77
35,2021-09-03 07:09:39,531218,56.13
36,2021-09-03 10:09:07,531218,56.05
37,2021-09-03 10:09:13,531218,56.13
38,2021-09-03 10:09:31,531218,56.91
39,2021-09-03 01:09:10,531221,56.04
40,2021-09-03 01:09:10,531221,56.07
41,2021-09-03 01:09:10,531221,56.3
42,2021-09-03 03:09:39,531221,55.46
43,2021-09-03 03:09:52,531223,56.18
44,2021-09-03 08:09:24,531230,56.9
45,2021-09-03 09:09:01,531230,56.02
46,2021-09-03 11:09:41,531234,57.4
47,2021-09-04 02:09:06,531234,56.5
48,2021-09-05 06:09:10,531234,56.09
49,2021-09-05 08:09:17,531234,56.01
50,2021-09-06 08:09:32,531234,56.76
51,2021-09-06 08:09:28,531236,56.3
52,2021-09-06 09:09:22,531236,55.36
53,2021-09-06 11:09:45,531237,56.81
54,2021-09-06 12:09:23,531238,55.83
55,2021-09-06 02:09:18,531239,55.54
56,2021-09-06 04:09:23,531240,56.7
57,2021-09-06 04:09:33,531240,55.93
58,2021-09-06 04:09:53,531240,55.65
59,2021-09-06 06:09:14,531244,55.32
60,2021-09-06 08:09:12,531244,55.44
61,2021-09-06 08:09:57,531244,55.4
62,2021-09-06 09:09:32,531244,55.31
63,2021-09-06 11:09:52,531246,56.33
64,2021-09-07 12:09:28,531246,56.05
65,2021-09-07 06:09:17,531247,56.01
66,2021-09-07 07:09:20,531247,55.9
67,2021-09-07 07:09:26,531247,56.71
68,2021-09-07 07:09:48,531247,54.96
69,2021-09-07 09:09:11,531247,55.23
70,2021-09-07 09:09:49,531247,55.12
71,2021-09-07 10:09:20,531247,56.37
72,2021-09-07 10:09:50,531248,55.25
73,2021-09-07 01:09:47,531249,54.72
74,2021-09-07 12:09:36,531249,55.95
75,2021-09-07 01:09:09,531250,55.97
76,2021-09-07 01:09:26,531250,56.44
77,2021-09-07 03:09:27,531251,55.65
78,2021-09-07 03:09:31,531252,55.52
79,2021-09-07 04:09:25,531252,55.65
80,2021-09-07 08:09:02,531257,55.73
81,2021-09-07 09:09:11,531257,54.91
82,2021-09-07 10:09:37,531258,56.06
83,2021-09-07 11:09:04,531258,55.85
84,2021-09-07 11:09:33,531258,57.6
85,2021-09-07 11:09:37,531258,57.85
86,2021-09-08 12:09:44,531258,55.52
87,2021-09-08 12:09:14,531259,55.77
88,2021-09-08 06:09:53,531260,56.84
89,2021-09-08 06:09:58,531260,56.16
90,2021-09-08 07:09:47,531260,55.28
91,2021-09-08 01:09:15,531264,56.03
92,2021-09-08 02:09:02,531264,56.32
93,2021-09-08 02:09:07,531264,55.98
94,2021-09-08 02:09:49,531264,55.35
95,2021-09-08 05:09:10,531267,57.31
96,2021-09-08 05:09:25,531267,56.73
97,2021-09-08 05:09:59,531267,56.42
98,2021-09-08 11:09:42,531267,56.41
99,2021-09-08 11:09:01,531269,55.94
100,2021-09-08 11:09:39,531269,54.89
101,2021-09-08 11:09:47,531269,56.14
102,2021-09-09 12:09:39,531269,56.79
103,2021-09-09 12:09:41,531269,55.76
104,2021-09-09 03:09:11,531270,55.28
105,2021-09-09 06:09:20,531270,55.8
106,2021-09-09 10:09:08,531270,56.17
107,2021-09-09 11:09:04,531270,56.98
108,2021-09-09 11:09:49,531270,56.71
109,2021-09-09 12:09:32,531270,56.14
110,2021-09-09 01:09:58,531271,55.55
111,2021-09-09 02:09:13,531272,56.91
112,2021-09-09 02:09:45,531272,55.55
113,2021-09-09 03:09:11,531272,55.71
114,2021-09-09 03:09:48,531272,56.88
115,2021-09-09 05:09:06,531274,56.14
116,2021-09-09 05:09:21,531275,58.89
117,2021-09-09 06:09:27,531276,56.63
118,2021-09-09 06:09:29,531276,56.46
119,2021-09-09 08:09:27,531278,56.64
120,2021-09-09 09:09:07,531279,56.7
121,2021-09-09 08:09:39,531280,55.74
122,2021-09-09 09:09:13,531280,55.66
123,2021-09-10 12:09:26,531284,55.98
124,2021-09-10 01:09:00,531285,56.81
125,2021-09-10 03:09:27,531285,57.0
126,2021-09-10 01:09:37,531286,55.16
127,2021-09-10 02:09:34,531286,55.01
128,2021-09-10 02:09:43,531286,55.25
129,2021-09-10 03:09:01,531286,56.71
130,2021-09-10 03:09:29,531286,54.35
131,2021-09-10 03:09:32,531286,56.33
132,2021-09-10 04:09:10,531286,55.78
133,2021-09-10 04:09:22,531286,54.83
134,2021-09-10 05:09:00,531286,56.9
135,2021-09-10 05:09:36,531286,55.8
136,2021-09-10 06:09:03,531286,56.05
137,2021-09-10 06:09:24,531286,56.37
138,2021-09-10 06:09:53,531286,54.89
139,2021-09-10 07:09:27,531286,55.7
140,2021-09-10 08:09:10,531286,58.02
141,2021-09-10 08:09:22,531286,57.42
142,2021-09-10 08:09:26,531286,56.94
143,2021-09-10 08:09:50,531286,56.26
144,2021-09-10 11:09:30,531286,56.3
145,2021-09-10 11:09:33,531286,56.15
146,2021-09-10 06:09:10,531287,56.42
147,2021-09-10 06:09:15,531287,57.18
148,2021-09-10 08:09:28,531289,55.61
149,2021-09-13 05:09:35,531291,56.94
150,2021-09-11 01:09:30,531293,57.24
151,2021-09-11 01:09:15,531294,55.75
152,2021-09-11 02:09:25,531295,56.08
153,2021-09-11 02:09:05,531298,56.8
154,2021-09-11 04:09:10,531299,56.38
155,2021-09-11 06:09:32,531299,56.98
156,2021-09-11 08:09:15,531299,55.79
157,2021-09-12 03:09:20,531300,57.23
158,2021-09-12 06:09:05,531300,55.9
159,2021-09-13 06:09:15,531300,55.79
160,2021-09-13 06:09:14,531301,58.23
161,2021-09-13 07:09:58,531301,56.53
162,2021-09-13 11:09:01,531301,56.31
163,2021-09-13 11:09:27,531301,56.29
164,2021-09-13 12:09:37,531301,56.86
165,2021-09-14 11:09:39,531301,56.62
166,2021-09-14 04:09:15,531306,56.18
167,2021-09-14 05:09:01,531306,57.89
168,2021-09-14 04:09:09,531307,55.7
169,2021-09-14 06:09:45,531307,56.06
170,2021-09-14 07:09:19,531307,56.12
171,2021-09-14 09:09:14,531307,56.14
172,2021-09-14 09:09:50,531307,56.56
173,2021-09-14 10:09:52,531307,57.04
174,2021-09-14 11:09:04,531307,58.26
175,2021-09-14 11:09:11,531308,57.32
176,2021-09-14 11:09:08,531311,57.52
177,2021-09-15 12:09:38,531313,56.26
178,2021-09-15 03:09:49,531318,56.05
179,2021-09-15 04:09:57,531319,56.04
180,2021-09-15 08:09:21,531320,56.5
181,2021-09-15 02:09:14,531321,56.36
182,2021-09-15 03:09:16,531321,56.25
183,2021-09-15 03:09:40,531321,55.54
184,2021-09-15 03:09:49,531321,56.17
185,2021-09-15 04:09:03,531321,56.33
186,2021-09-15 04:09:03,531321,56.71
187,2021-09-15 04:09:40,531321,56.08
188,2021-09-15 05:09:34,531321,55.93
189,2021-09-15 05:09:49,531321,56.75
190,2021-09-15 05:09:52,531321,56.36
191,2021-09-15 05:09:56,531321,55.86
192,2021-09-15 06:09:37,531321,56.18
193,2021-09-15 06:09:43,531321,55.79
194,2021-09-15 07:09:12,531321,56.02
195,2021-09-15 07:09:47,531321,56.98
196,2021-09-15 08:09:41,531321,57.73
197,2021-09-15 08:09:00,531323,56.53
198,2021-09-15 08:09:32,531323,56.5
199,2021-09-15 09:09:04,531323,56.5
200,2021-09-15 09:09:38,531323,57.19
201,2021-09-15 10:09:31,531323,56.52
202,2021-09-15 10:09:59,531323,56.72
203,2021-09-15 11:09:45,531323,58.07
204,2021-09-17 08:09:27,531323,56.24
205,2021-09-15 10:09:29,531324,56.83
