index_1based,timestamp,sut_version,value
1,2021-09-01 01:09:18,531193,5816.0
2,2021-09-01 02:09:05,531193,5490.0
3,2021-09-01 06:09:12,531193,8297.0
4,2021-09-01 06:09:35,531193,8969.0
5,2021-09-01 06:09:46,531193,8878.0
6,2021-09-01 06:09:56,531193,9785.0
7,2021-09-01 07:09:09,531193,10107.0
8,2021-09-01 07:09:09,531193,7426.0
9,2021-09-01 07:09:22,531193,9792.0
10,2021-09-01 07:09:35,531193,5843.0
11,2021-09-01 08:09:27,531193,5228.0
12,2021-09-01 08:09:31,531193,5360.0
13,2021-09-01 08:09:32,531193,6245.0
14,2021-09-01 08:09:35,531193,9850.0
15,2021-09-01 08:09:30,531194,9201.0
16,2021-09-01 09:09:51,531194,7496.0
17,2021-09-01 11:09:42,531195,8410.0
18,2021-09-01 12:09:53,531195,8315.0
19,2021-09-01 02:09:22,531197,5943.0
20,2021-09-01 03:09:56,531197,9243.0
21,2021-09-01 04:09:23,531199,7069.0
22,2021-09-01 05:09:27,531199,5826.0
23,2021-09-01 05:09:48,531199,5766.0
24,2021-09-01 09:09:42,531204,8877.0
25,2021-09-01 10:09:48,531204,8342.0
26,2021-09-01 11:09:09,531205,10047.0
27,2021-09-02 06:09:25,531206,8733.0
28,2021-09-02 06:09:58,531206,8911.0
29,2021-09-02 07:09:00,531206,8831.0
30,2021-09-02 07:09:25,531206,8969.0
31,2021-09-02 07:09:28,531206,9067.0
32,2021-09-02 07:09:28,531206,5767.0
33,2021-09-02 07:09:29,531206,8294.0
34,2021-09-02 08:09:32,531206,6380.0
35,2021-09-02 09:09:21,531206,9130.0
36,2021-09-02 01:09:55,531208,9101.0
37,2021-09-02 02:09:47,531208,8443.0
38,2021-09-02 09:09:43,531208,8926.0
39,2021-09-02 10:09:31,531208,8176.0
40,2021-09-02 10:09:35,531208,8476.0
41,2021-09-02 12:09:53,531208,5829.0
42,2021-09-02 02:09:25,531209,5883.0
43,2021-09-02 02:09:56,531209,5923.0
44,2021-09-02 03:09:42,531210,5866.0
45,2021-09-02 04:09:54,531210,8582.0
