index_1based,timestamp,sut_version,value
1,2021-09-01 01:09:17,515219,1156.701871
2,2021-09-01 12:09:01,515219,1001.357945
3,2021-09-01 12:09:16,515219,1042.907195
4,2021-09-01 12:09:45,515219,1259.997579
5,2021-09-01 03:09:16,515220,1038.729217
6,2021-09-01 04:09:02,515220,1000.01131
7,2021-09-01 06:09:13,515220,1029.191181
8,2021-09-01 06:09:24,515220,1112.814165
9,2021-09-01 08:09:48,515222,1203.316626
10,2021-09-01 01:09:06,515224,1133.852146
11,2021-09-01 02:09:26,515224,1293.721293
12,2021-09-01 11:09:28,515224,976.58037
13,2021-09-01 11:09:28,515224,1234.503065
14,2021-09-01 11:09:31,515224,1136.87966
15,2021-09-01 11:09:37,515224,915.408029
16,2021-09-01 12:09:44,515224,679.929553
17,2021-09-01 12:09:47,515224,1095.675925
18,2021-09-01 12:09:53,515224,1499.355456
19,2021-09-01 12:09:54,515224,1109.877849
20,2021-09-01 01:09:30,515225,1027.486296
21,2021-09-01 01:09:30,515225,1045.176208
22,2021-09-01 01:09:54,515225,932.920431
23,2021-09-01 03:09:45,515228,1724.497212
24,2021-09-01 04:09:10,515228,1119.431223
25,2021-09-01 04:09:21,515230,1290.203374
26,2021-09-01 10:09:06,515238,960.714814
27,2021-09-01 11:09:55,515240,994.553136
28,2021-09-02 05:09:10,515242,1950.643571
29,2021-09-02 05:09:30,515242,973.886486
30,2021-09-02 05:09:32,515242,886.941649
31,2021-09-02 06:09:54,515242,965.423822
32,2021-09-02 08:09:10,515243,1337.94123
33,2021-09-02 09:09:52,515243,1009.010675
34,2021-09-02 09:09:58,515243,1103.914211
35,2021-09-02 11:09:01,515243,1186.918522
36,2021-09-02 11:09:20,515243,990.503493
37,2021-09-02 11:09:21,515244,1031.62081
38,2021-09-02 12:09:12,515244,1100.765546
39,2021-09-02 12:09:44,515244,1006.183234
40,2021-09-02 12:09:47,515244,1139.766455
41,2021-09-02 12:09:57,515244,1002.310938
42,2021-09-02 02:09:26,515246,971.28062
43,2021-09-02 02:09:09,515247,1027.261174
44,2021-09-02 03:09:15,515248,698.651093
45,2021-09-02 05:09:00,515251,1038.415803
46,2021-09-02 05:09:18,515251,1154.074197
47,2021-09-02 06:09:18,515252,1257.315045
48,2021-09-02 07:09:11,515254,1234.735653
49,2021-09-02 08:09:35,515254,1026.607843
50,2021-09-02 08:09:25,515257,857.699587
51,2021-09-03 01:09:40,515260,1064.587142
52,2021-09-03 12:09:19,515260,984.967536
53,2021-09-03 12:09:39,515260,964.122793
54,2021-09-03 05:09:39,515262,1062.36507
55,2021-09-03 07:09:11,515262,992.103939
56,2021-09-03 08:09:19,515262,1376.401624
57,2021-09-03 09:09:10,515263,1267.803413
58,2021-09-03 09:09:12,515263,1031.040214
59,2021-09-03 09:09:35,515263,1116.32653
60,2021-09-03 09:09:57,515263,858.599325
61,2021-09-03 09:09:58,515264,1033.301604
62,2021-09-03 12:09:30,515265,1010.97912
63,2021-09-03 01:09:24,515266,1066.898226
64,2021-09-03 12:09:55,515266,956.912309
65,2021-09-03 03:09:34,515268,1014.943217
66,2021-09-03 03:09:46,515268,944.967179
67,2021-09-03 04:09:08,515269,998.658716
68,2021-09-03 05:09:56,515272,892.562418
69,2021-09-03 10:09:46,515275,1185.400074
70,2021-09-03 11:09:22,515277,1120.964437
71,2021-09-04 01:09:26,515277,963.540892
72,2021-09-04 01:09:40,515277,869.227787
73,2021-09-04 12:09:29,515277,1330.418819
74,2021-09-04 12:09:46,515277,1041.614048
75,2021-09-04 02:09:08,515278,1238.448519
76,2021-09-04 03:09:22,515278,968.334695
77,2021-09-04 06:09:13,515279,11224.906873
78,2021-09-04 06:09:13,515279,1030.629533
79,2021-09-04 06:09:31,515279,1219.092483
80,2021-09-04 10:09:33,515281,1297.40535
81,2021-09-05 04:09:03,515282,982.876778
82,2021-09-05 07:09:44,515282,1166.40321
83,2021-09-06 05:09:42,515282,1204.786909
84,2021-09-06 08:09:20,515282,1476.130064
85,2021-09-06 08:09:34,515282,1142.177153
86,2021-09-06 08:09:44,515282,1102.873059
87,2021-09-06 09:09:39,515282,1102.812348
88,2021-09-06 10:09:16,515282,1441.281504
89,2021-09-06 11:09:03,515282,1218.677693
90,2021-09-06 11:09:12,515282,1132.448148
91,2021-09-06 11:09:32,515282,1070.376336
92,2021-09-06 12:09:20,515282,1410.760537
93,2021-09-06 12:09:36,515282,1119.901495
94,2021-09-06 12:09:14,515283,1026.387581
95,2021-09-06 01:09:59,515284,922.766519
96,2021-09-06 01:09:02,515285,920.524322
97,2021-09-06 03:09:08,515286,908.90256
98,2021-09-06 03:09:46,515286,981.768487
99,2021-09-06 03:09:55,515286,1020.727827
100,2021-09-06 06:09:05,515290,903.030027
101,2021-09-06 06:09:07,515290,990.991986
102,2021-09-06 07:09:43,515291,998.799851
103,2021-09-06 08:09:23,515292,1150.917347
104,2021-09-06 08:09:34,515293,1003.723088
105,2021-09-06 09:09:52,515293,1218.766709
106,2021-09-06 09:09:03,515294,984.89016
107,2021-09-06 09:09:08,515294,1378.488406
108,2021-09-06 09:09:45,515294,1166.083534
109,2021-09-06 10:09:52,515294,991.172961
110,2021-09-06 10:09:31,515295,1055.01246
111,2021-09-06 11:09:20,515295,997.924967
112,2021-09-07 12:09:08,515296,900.974158
113,2021-09-07 02:09:47,515297,982.033747
114,2021-09-07 05:09:23,515303,981.01737
115,2021-09-07 05:09:20,515304,925.150341
