index_1based,timestamp,sut_version,value
1,2021-09-01 12:09:31,515218,69434.55
2,2021-09-01 01:09:01,515219,76735.8
3,2021-09-01 01:09:01,515219,75595.85
4,2021-09-01 01:09:02,515219,74885.58
5,2021-09-01 01:09:15,515219,72837.18
6,2021-09-01 01:09:28,515219,51952.9
7,2021-09-01 02:09:24,515219,71680.63
8,2021-09-01 02:09:30,515219,62407.97
9,2021-09-01 02:09:53,515219,73707.58
10,2021-09-01 03:09:12,515219,73497.44
11,2021-09-01 03:09:50,515219,74027.0
12,2021-09-01 12:09:00,515219,62263.87
13,2021-09-01 12:09:06,515219,75722.74
14,2021-09-01 12:09:16,515219,66249.47
15,2021-09-01 12:09:55,515219,54135.68
16,2021-09-01 03:09:18,515220,72539.89
17,2021-09-01 04:09:33,515220,66607.49
18,2021-09-01 04:09:36,515220,77746.26
19,2021-09-01 05:09:12,515220,74570.58
20,2021-09-01 06:09:14,515220,77048.32
21,2021-09-01 06:09:30,515220,74077.65
22,2021-09-01 08:09:29,515222,71222.17
23,2021-09-01 09:09:41,515222,58387.1
24,2021-09-01 01:09:17,515224,74209.66
25,2021-09-01 02:09:32,515224,75174.35
26,2021-09-01 10:09:07,515224,76772.63
27,2021-09-01 11:09:01,515224,59336.19
28,2021-09-01 11:09:24,515224,68154.28
29,2021-09-01 11:09:51,515224,74787.7
30,2021-09-01 11:09:57,515224,69798.15
31,2021-09-01 12:09:02,515224,76150.44
32,2021-09-01 12:09:03,515224,66196.5
33,2021-09-01 12:09:08,515224,76969.11
34,2021-09-01 12:09:10,515224,63152.23
35,2021-09-01 12:09:15,515224,79665.7
36,2021-09-01 12:09:26,515224,76572.99
37,2021-09-01 12:09:28,515224,64356.89
38,2021-09-01 12:09:29,515224,71238.75
39,2021-09-01 01:09:00,515225,75892.59
40,2021-09-01 01:09:53,515225,70489.55
41,2021-09-01 01:09:58,515225,78141.62
42,2021-09-01 02:09:21,515225,70054.52
43,2021-09-01 02:09:32,515225,77262.32
44,2021-09-01 02:09:38,515225,62456.16
45,2021-09-01 02:09:51,515225,71699.61
46,2021-09-01 02:09:55,515225,80050.81
47,2021-09-01 03:09:52,515228,67935.86
48,2021-09-01 04:09:56,515228,73155.93
49,2021-09-01 04:09:02,515230,71998.89
50,2021-09-01 05:09:43,515230,66306.27
51,2021-09-01 09:09:43,515238,74241.76
52,2021-09-01 10:09:29,515238,76639.7
53,2021-09-01 11:09:40,515240,74716.24
54,2021-09-02 05:09:26,515242,75918.78
55,2021-09-02 05:09:48,515242,77597.96
56,2021-09-02 05:09:52,515242,66383.2
57,2021-09-02 06:09:34,515242,68759.56
58,2021-09-02 01:09:18,515243,65352.52
59,2021-09-02 01:09:52,515243,71967.23
60,2021-09-02 08:09:06,515243,67545.3
61,2021-09-02 08:09:59,515243,76638.87
62,2021-09-02 09:09:25,515243,75431.37
63,2021-09-02 09:09:50,515243,75981.9
64,2021-09-02 10:09:24,515243,70500.85
65,2021-09-02 10:09:31,515243,70650.18
66,2021-09-02 11:09:11,515243,76427.47
67,2021-09-02 11:09:32,515243,67914.22
68,2021-09-02 12:09:53,515243,56815.59
69,2021-09-02 01:09:11,515244,75553.65
70,2021-09-02 01:09:27,515244,78559.44
71,2021-09-02 01:09:29,515244,70175.37
72,2021-09-02 01:09:56,515244,63411.7
73,2021-09-02 11:09:36,515244,64754.81
74,2021-09-02 12:09:08,515244,62987.19
75,2021-09-02 12:09:23,515244,76384.34
76,2021-09-02 12:09:29,515244,68962.36
77,2021-09-02 12:09:35,515244,71937.07
78,2021-09-02 12:09:47,515244,77650.19
79,2021-09-02 02:09:11,515246,73948.44
80,2021-09-02 03:09:37,515246,63062.82
81,2021-09-02 02:09:01,515247,69595.91
82,2021-09-02 03:09:32,515247,60552.26
83,2021-09-02 04:09:19,515247,68869.91
84,2021-09-02 04:09:21,515247,69749.03
85,2021-09-02 03:09:31,515248,66464.7
86,2021-09-02 05:09:15,515251,71663.84
87,2021-09-02 05:09:30,515251,78417.63
88,2021-09-02 06:09:45,515251,75207.28
89,2021-09-02 07:09:45,515251,61359.47
90,2021-09-02 06:09:24,515252,72197.57
91,2021-09-02 07:09:34,515254,76513.89
92,2021-09-02 08:09:28,515254,68172.1
93,2021-09-02 08:09:27,515257,76930.4
94,2021-09-02 09:09:16,515257,67184.85
95,2021-09-03 01:09:06,515260,76150.44
96,2021-09-03 01:09:30,515260,70820.81
97,2021-09-03 01:09:57,515260,69984.16
98,2021-09-03 02:09:50,515260,71206.31
99,2021-09-03 12:09:00,515260,47099.18
100,2021-09-03 12:09:00,515260,69156.17
101,2021-09-03 05:09:10,515262,79075.81
102,2021-09-03 07:09:07,515262,77034.82
103,2021-09-03 07:09:36,515262,62658.56
104,2021-09-03 09:09:00,515263,68988.73
105,2021-09-03 09:09:12,515263,65761.05
106,2021-09-03 09:09:37,515263,68743.44
107,2021-09-03 09:09:43,515263,62367.6
108,2021-09-03 10:09:02,515263,74701.18
109,2021-09-03 10:09:34,515263,67950.94
110,2021-09-03 10:09:41,515263,75348.19
111,2021-09-03 10:09:49,515263,78795.16
112,2021-09-03 09:09:33,515264,74839.4
113,2021-09-03 10:09:57,515264,72643.21
114,2021-09-03 01:09:00,515265,78207.62
115,2021-09-03 12:09:03,515265,69047.61
116,2021-09-03 01:09:04,515266,71692.31
117,2021-09-03 01:09:47,515266,72896.03
118,2021-09-03 02:09:02,515266,69106.6
119,2021-09-03 12:09:19,515266,77719.65
120,2021-09-03 03:09:00,515268,67315.3
121,2021-09-03 03:09:16,515268,74504.26
122,2021-09-03 04:09:21,515268,69313.51
123,2021-09-03 04:09:30,515269,72930.02
124,2021-09-03 05:09:50,515269,62626.22
125,2021-09-03 06:09:30,515272,74590.33
126,2021-09-03 06:09:59,515272,76969.11
127,2021-09-03 10:09:09,515275,67946.35
128,2021-09-03 11:09:05,515277,79175.45
129,2021-09-04 01:09:09,515277,62773.69
130,2021-09-04 01:09:18,515277,76802.79
131,2021-09-04 01:09:20,515277,77185.21
132,2021-09-04 01:09:46,515277,69766.32
133,2021-09-04 01:09:59,515277,71394.12
134,2021-09-04 02:09:26,515277,60496.57
135,2021-09-04 12:09:03,515277,79702.69
136,2021-09-04 12:09:15,515277,65984.24
137,2021-09-04 12:09:27,515277,71561.82
138,2021-09-04 12:09:29,515277,71572.01
139,2021-09-04 02:09:35,515278,73528.15
140,2021-09-04 03:09:35,515278,79252.12
141,2021-09-04 05:09:19,515279,78385.32
142,2021-09-04 06:09:10,515279,64061.64
143,2021-09-04 06:09:16,515279,75400.66
144,2021-09-04 07:09:31,515279,64483.07
145,2021-09-04 07:09:50,515279,77186.9
146,2021-09-06 08:09:02,515279,70469.79
147,2021-09-06 08:09:03,515279,78605.06
148,2021-09-06 08:09:21,515279,60681.22
149,2021-09-06 08:09:36,515279,67527.15
150,2021-09-04 10:09:35,515281,70836.49
151,2021-09-04 11:09:47,515281,76950.59
152,2021-09-05 04:09:57,515282,69054.39
153,2021-09-05 05:09:14,515282,67297.92
154,2021-09-05 07:09:09,515282,62533.85
155,2021-09-05 08:09:23,515282,70090.1
156,2021-09-06 01:09:45,515282,77486.04
157,2021-09-06 05:09:12,515282,73915.82
158,2021-09-06 08:09:04,515282,67075.99
159,2021-09-06 08:09:05,515282,78342.56
160,2021-09-06 08:09:53,515282,76969.11
161,2021-09-06 09:09:14,515282,71863.61
162,2021-09-06 09:09:25,515282,62210.48
163,2021-09-06 09:09:42,515282,79889.97
164,2021-09-06 10:09:45,515282,60617.46
165,2021-09-06 11:09:37,515282,67408.14
166,2021-09-06 11:09:39,515282,72257.62
167,2021-09-06 11:09:57,515282,77712.78
168,2021-09-06 12:09:00,515282,79486.64
169,2021-09-06 12:09:03,515282,57528.96
170,2021-09-06 12:09:47,515282,73652.04
171,2021-09-06 12:09:57,515282,66909.55
172,2021-09-06 01:09:32,515283,79488.44
173,2021-09-06 12:09:09,515283,75497.73
174,2021-09-06 01:09:50,515284,75673.07
175,2021-09-06 01:09:57,515285,76121.61
176,2021-09-06 03:09:03,515286,78917.98
177,2021-09-06 03:09:54,515286,78741.38
178,2021-09-06 03:09:56,515286,78305.95
179,2021-09-06 04:09:10,515286,70347.93
180,2021-09-06 04:09:33,515286,62135.78
181,2021-09-06 04:09:45,515286,66126.22
182,2021-09-06 06:09:03,515290,71969.44
183,2021-09-06 06:09:12,515290,68255.41
184,2021-09-06 06:09:28,515290,75781.45
185,2021-09-06 06:09:47,515290,63406.56
186,2021-09-06 07:09:16,515291,74247.24
187,2021-09-06 08:09:44,515291,76434.94
188,2021-09-06 08:09:10,515292,79809.34
189,2021-09-06 09:09:52,515292,70446.51
190,2021-09-06 08:09:57,515293,72885.46
191,2021-09-06 09:09:55,515293,70019.67
192,2021-09-06 10:09:23,515293,68503.22
193,2021-09-06 09:09:00,515294,71973.12
194,2021-09-06 09:09:28,515294,78996.81
195,2021-09-06 09:09:30,515294,76643.88
196,2021-09-06 10:09:11,515294,62002.76
197,2021-09-06 10:09:18,515294,72655.96
198,2021-09-06 10:09:40,515294,64249.37
199,2021-09-06 11:09:22,515294,51218.63
200,2021-09-06 11:09:30,515294,65807.78
201,2021-09-06 10:09:22,515295,75570.69
202,2021-09-06 11:09:00,515295,76437.43
203,2021-09-06 11:09:12,515295,63818.81
204,2021-09-07 12:09:06,515295,79288.73
205,2021-09-07 01:09:24,515296,76604.67
206,2021-09-07 12:09:11,515296,71404.27
207,2021-09-07 02:09:08,515297,73475.19
208,2021-09-07 02:09:35,515297,70662.95
209,2021-09-07 05:09:45,515303,77446.82
210,2021-09-07 06:09:10,515303,75500.97
211,2021-09-07 05:09:59,515304,80493.03
212,2021-09-07 06:09:49,515304,79529.76
213,2021-09-07 07:09:25,515304,64135.19
214,2021-09-07 08:09:55,515304,62527.18
215,2021-09-07 09:09:36,515304,75187.2
216,2021-09-07 10:09:07,515308,77500.55
217,2021-09-07 10:09:20,515308,79347.73
218,2021-09-07 11:09:15,515308,69246.67
219,2021-09-07 01:09:09,515309,70090.8
220,2021-09-07 01:09:17,515309,64235.88
221,2021-09-07 01:09:34,515309,77596.25
222,2021-09-07 02:09:03,515309,71959.87
223,2021-09-07 02:09:05,515309,77205.53
224,2021-09-07 02:09:14,515309,78098.27
225,2021-09-07 02:09:22,515309,62107.27
226,2021-09-07 02:09:39,515309,63623.23
227,2021-09-07 02:09:40,515309,57341.46
228,2021-09-07 12:09:49,515309,76798.6
229,2021-09-07 02:09:11,515310,69458.54
230,2021-09-07 03:09:31,515310,64565.9
231,2021-09-07 12:09:19,515310,78333.84
232,2021-09-07 02:09:04,515311,79603.52
233,2021-09-07 02:09:23,515311,76008.16
234,2021-09-07 03:09:13,515311,63014.26
235,2021-09-07 03:09:32,515311,73606.59
236,2021-09-07 03:09:35,515311,77904.62
237,2021-09-07 04:09:26,515311,78414.14
238,2021-09-07 04:09:54,515311,76610.5
239,2021-09-07 05:09:17,515313,79259.27
240,2021-09-07 05:09:43,515313,56585.36
241,2021-09-07 06:09:09,515313,60922.33
242,2021-09-07 06:09:31,515313,62552.75
243,2021-09-07 06:09:38,515313,75447.55
244,2021-09-07 06:09:42,515313,69775.31
245,2021-09-07 07:09:10,515313,78145.96
246,2021-09-07 07:09:32,515313,65478.38
247,2021-09-07 07:09:47,515313,76609.67
248,2021-09-07 08:09:37,515313,71211.36
249,2021-09-07 07:09:24,515314,77617.65
250,2021-09-07 08:09:10,515314,74574.53
251,2021-09-07 08:09:24,515314,70132.71
252,2021-09-07 08:09:31,515314,69302.59
253,2021-09-07 09:09:00,515314,76017.19
254,2021-09-07 10:09:08,515314,73250.35
255,2021-09-07 10:09:42,515314,63009.74
256,2021-09-07 11:09:38,515314,67386.2
257,2021-09-07 11:09:58,515314,73705.26
258,2021-09-07 11:09:06,515317,77403.38
259,2021-09-08 12:09:25,515317,77622.78
260,2021-09-08 01:09:06,515318,77834.83
261,2021-09-08 02:09:18,515318,60266.55
262,2021-09-08 06:09:17,515318,59430.39
263,2021-09-08 06:09:20,515318,76864.87
