index_1based,timestamp,sut_version,value
1,2021-09-01 01:09:09,515218,2920.564
2,2021-09-01 01:09:58,515218,223.961
3,2021-09-01 12:09:16,515218,5236.913
4,2021-09-01 01:09:08,515219,5840.249
5,2021-09-01 01:09:42,515219,1968.271
6,2021-09-01 02:09:38,515219,2667.113
7,2021-09-01 02:09:40,515219,578.858
8,2021-09-01 02:09:41,515219,3580.95
9,2021-09-01 12:09:12,515219,3925.061
10,2021-09-01 12:09:38,515219,319.97
11,2021-09-01 12:09:39,515219,1296.907
12,2021-09-01 12:09:56,515219,3697.95
13,2021-09-01 03:09:04,515220,178.808
14,2021-09-01 04:09:03,515220,292.997
15,2021-09-01 04:09:29,515220,128.502
16,2021-09-01 06:09:42,515220,3172.408
17,2021-09-01 06:09:55,515220,2477.452
18,2021-09-01 07:09:41,515220,4514.797
19,2021-09-01 08:09:47,515222,1488.234
20,2021-09-01 01:09:02,515224,2756.612
21,2021-09-01 01:09:20,515224,2860.045
22,2021-09-01 01:09:33,515224,2125.775
23,2021-09-01 02:09:54,515224,195.715
24,2021-09-01 11:09:20,515224,720.892
25,2021-09-01 11:09:21,515224,168.527
26,2021-09-01 11:09:24,515224,1812.222
27,2021-09-01 11:09:36,515224,742.166
28,2021-09-01 12:09:06,515224,2936.418
29,2021-09-01 12:09:08,515224,675.198
30,2021-09-01 12:09:37,515224,1227.169
31,2021-09-01 12:09:41,515224,3547.951
32,2021-09-01 12:09:51,515224,1293.99
33,2021-09-01 12:09:58,515224,1878.816
34,2021-09-01 01:09:12,515225,3754.047
35,2021-09-01 01:09:15,515225,1984.228
36,2021-09-01 01:09:32,515225,3975.144
37,2021-09-01 02:09:38,515225,716.448
38,2021-09-01 03:09:18,515228,3165.497
39,2021-09-01 04:09:08,515230,1051.263
40,2021-09-01 10:09:32,515238,250.465
41,2021-09-01 11:09:05,515238,2709.773
42,2021-09-01 11:09:44,515240,400.816
43,2021-09-02 01:09:21,515240,3670.878
44,2021-09-02 05:09:33,515242,633.07
45,2021-09-02 05:09:54,515242,2622.067
46,2021-09-02 06:09:25,515242,1855.17
47,2021-09-02 08:09:12,515243,2200.045
48,2021-09-02 08:09:38,515243,3306.893
49,2021-09-02 09:09:04,515243,2274.474
50,2021-09-02 09:09:45,515243,824.216
51,2021-09-02 11:09:03,515243,3186.682
52,2021-09-02 11:09:36,515243,216.239
53,2021-09-02 12:09:21,515243,3458.908
54,2021-09-02 01:09:27,515244,3038.89
55,2021-09-02 01:09:29,515244,1618.237
56,2021-09-02 01:09:32,515244,2209.766
57,2021-09-02 01:09:38,515244,1384.934
58,2021-09-02 11:09:48,515244,4169.641
59,2021-09-02 12:09:00,515244,367.595
60,2021-09-02 12:09:01,515244,966.926
61,2021-09-02 12:09:21,515244,990.984
62,2021-09-02 12:09:31,515244,1285.301
63,2021-09-02 12:09:36,515244,2354.537
64,2021-09-02 02:09:17,515246,1747.991
65,2021-09-02 03:09:53,515247,1388.338
66,2021-09-02 04:09:13,515247,340.513
67,2021-09-02 03:09:38,515248,2609.805
68,2021-09-02 05:09:11,515251,753.062
69,2021-09-02 05:09:47,515251,1627.865
70,2021-09-02 06:09:56,515251,1298.554
71,2021-09-02 07:09:47,515251,1064.161
72,2021-09-02 06:09:43,515252,3026.643
73,2021-09-02 07:09:25,515254,808.323
74,2021-09-02 08:09:18,515257,100.303
75,2021-09-02 09:09:30,515257,2207.344
76,2021-09-03 01:09:47,515260,908.542
77,2021-09-03 01:09:47,515260,232.497
78,2021-09-03 01:09:55,515260,314.938
79,2021-09-03 02:09:27,515260,318.786
80,2021-09-03 12:09:36,515260,4880.945
81,2021-09-03 12:09:39,515260,1416.417
82,2021-09-03 05:09:20,515262,2403.104
83,2021-09-03 07:09:27,515262,688.925
84,2021-09-03 09:09:03,515263,6719.297
85,2021-09-03 09:09:25,515263,1392.77
86,2021-09-03 09:09:30,515263,825.239
87,2021-09-03 09:09:33,515263,356.523
88,2021-09-03 10:09:13,515263,1729.304
89,2021-09-03 10:09:36,515263,1975.767
90,2021-09-03 10:09:23,515264,176.696
91,2021-09-03 10:09:48,515264,3667.864
92,2021-09-03 12:09:56,515265,2216.718
93,2021-09-03 01:09:21,515266,2371.036
94,2021-09-03 02:09:13,515266,5040.38
95,2021-09-03 12:09:51,515266,3105.897
96,2021-09-03 03:09:07,515268,280.686
97,2021-09-03 03:09:29,515268,3636.237
98,2021-09-03 04:09:51,515268,227.448
99,2021-09-03 04:09:02,515269,378.804
100,2021-09-03 05:09:19,515269,266.076
101,2021-09-03 06:09:48,515272,2844.897
102,2021-09-03 10:09:43,515275,1913.136
103,2021-09-03 11:09:48,515277,2797.11
104,2021-09-04 01:09:25,515277,3129.414
105,2021-09-04 01:09:59,515277,2320.498
106,2021-09-04 02:09:32,515277,1581.821
107,2021-09-04 12:09:15,515277,4700.335
108,2021-09-04 12:09:16,515277,147.36
109,2021-09-04 12:09:19,515277,1720.551
110,2021-09-04 12:09:29,515277,349.236
111,2021-09-04 02:09:51,515278,2752.175
112,2021-09-04 03:09:43,515278,382.267
113,2021-09-04 05:09:17,515279,2330.884
114,2021-09-04 06:09:36,515279,773.954
115,2021-09-04 06:09:37,515279,1325.525
116,2021-09-04 10:09:56,515281,1686.726
117,2021-09-04 11:09:16,515281,2942.983
118,2021-09-05 04:09:37,515282,754.416
119,2021-09-05 05:09:53,515282,4835.454
120,2021-09-05 07:09:23,515282,2503.899
121,2021-09-06 05:09:29,515282,134.935
122,2021-09-06 06:09:09,515282,4382.096
123,2021-09-06 08:09:01,515282,4659.06
124,2021-09-06 08:09:12,515282,1702.253
125,2021-09-06 08:09:21,515282,2315.431
126,2021-09-06 09:09:38,515282,4219.184
127,2021-09-06 09:09:46,515282,2566.433
128,2021-09-06 10:09:01,515282,332.587
129,2021-09-06 10:09:28,515282,612.95
130,2021-09-06 11:09:20,515282,3608.233
131,2021-09-06 11:09:30,515282,3434.451
132,2021-09-06 11:09:39,515282,2233.653
133,2021-09-06 11:09:42,515282,2677.775
134,2021-09-06 12:09:44,515282,1740.553
135,2021-09-06 12:09:52,515283,2803.703
136,2021-09-06 01:09:54,515284,2332.333
137,2021-09-06 01:09:28,515285,560.246
138,2021-09-06 02:09:51,515285,5428.136
139,2021-09-06 03:09:07,515286,2489.159
140,2021-09-06 03:09:26,515286,737.1
141,2021-09-06 03:09:50,515286,1326.413
142,2021-09-06 04:09:04,515286,1906.588
143,2021-09-06 04:09:35,515286,3116.91
144,2021-09-06 04:09:51,515286,3179.685
145,2021-09-06 06:09:36,515290,3982.869
146,2021-09-06 06:09:37,515290,2542.057
147,2021-09-06 07:09:38,515290,2659.343
148,2021-09-06 07:09:45,515291,4075.73
149,2021-09-06 08:09:47,515291,3935.105
150,2021-09-06 08:09:20,515292,233.468
151,2021-09-06 08:09:02,515293,2206.3
152,2021-09-06 09:09:20,515293,2379.793
153,2021-09-06 10:09:07,515293,2818.521
154,2021-09-06 09:09:35,515294,2355.082
155,2021-09-06 09:09:51,515294,2160.18
156,2021-09-06 10:09:09,515294,2883.502
157,2021-09-06 10:09:30,515294,2062.884
158,2021-09-06 11:09:22,515294,577.491
159,2021-09-06 10:09:04,515295,137.08
160,2021-09-06 11:09:44,515295,1710.251
