index_1based,timestamp,sut_version,value
1,2021-09-01 12:09:07,515218,455758.0
2,2021-09-01 12:09:39,515218,444396.0
3,2021-09-01 01:09:37,515219,445406.0
4,2021-09-01 01:09:46,515219,444408.0
5,2021-09-01 02:09:38,515219,440504.0
6,2021-09-01 02:09:40,515219,441470.0
7,2021-09-01 12:09:54,515219,442120.0
8,2021-09-01 04:09:00,515220,439310.0
9,2021-09-01 04:09:54,515220,438674.0
10,2021-09-01 05:09:16,515220,442856.0
11,2021-09-01 06:09:44,515220,446680.0
12,2021-09-01 08:09:54,515222,435356.0
13,2021-09-01 01:09:07,515224,446476.0
14,2021-09-01 01:09:40,515224,438326.0
15,2021-09-01 01:09:54,515224,437748.0
16,2021-09-01 01:09:54,515224,444348.0
17,2021-09-01 02:09:00,515224,446956.0
18,2021-09-01 02:09:17,515224,443014.0
19,2021-09-01 02:09:48,515224,448292.0
20,2021-09-01 11:09:02,515224,446150.0
21,2021-09-01 11:09:19,515224,446344.0
22,2021-09-01 11:09:27,515224,443282.0
23,2021-09-01 12:09:49,515224,449040.0
24,2021-09-01 12:09:50,515224,447934.0
25,2021-09-01 01:09:13,515225,438988.0
26,2021-09-01 01:09:58,515225,448038.0
27,2021-09-01 02:09:34,515225,446800.0
28,2021-09-01 03:09:32,515228,442904.0
29,2021-09-01 05:09:11,515230,444102.0
30,2021-09-01 10:09:13,515238,445628.0
31,2021-09-02 12:09:49,515240,439750.0
32,2021-09-02 05:09:51,515242,448602.0
33,2021-09-02 06:09:45,515242,444044.0
34,2021-09-02 06:09:57,515242,444494.0
35,2021-09-02 08:09:17,515243,446866.0
36,2021-09-02 09:09:25,515243,444964.0
37,2021-09-02 09:09:46,515243,446722.0
38,2021-09-02 09:09:50,515243,447126.0
39,2021-09-02 11:09:10,515243,438974.0
40,2021-09-02 12:09:32,515243,443608.0
41,2021-09-02 01:09:58,515244,440688.0
42,2021-09-02 12:09:11,515244,438372.0
43,2021-09-02 12:09:24,515244,444482.0
44,2021-09-02 12:09:28,515244,449012.0
45,2021-09-02 12:09:36,515244,444290.0
46,2021-09-02 12:09:42,515244,441296.0
47,2021-09-02 02:09:19,515246,439370.0
48,2021-09-02 03:09:13,515247,442250.0
49,2021-09-02 04:09:54,515248,440678.0
50,2021-09-02 06:09:38,515251,434682.0
51,2021-09-02 07:09:19,515251,445228.0
52,2021-09-02 07:09:19,515252,450268.0
53,2021-09-02 07:09:39,515254,446342.0
54,2021-09-02 08:09:29,515254,441128.0
55,2021-09-02 09:09:53,515257,446658.0
56,2021-09-03 01:09:28,515260,446552.0
57,2021-09-03 01:09:30,515260,439350.0
58,2021-09-03 12:09:29,515260,441026.0
59,2021-09-03 06:09:10,515262,452430.0
60,2021-09-03 06:09:47,515262,446278.0
61,2021-09-03 07:09:15,515262,445622.0
62,2021-09-03 09:09:18,515263,449480.0
63,2021-09-03 09:09:41,515263,448318.0
64,2021-09-03 10:09:11,515263,439146.0
65,2021-09-03 10:09:13,515263,449158.0
66,2021-09-03 10:09:38,515264,434282.0
