index_1based,timestamp,sut_version,value
1,2021-09-01 12:09:03,515218,1532698.0
2,2021-09-01 12:09:33,515218,1601015.0
3,2021-09-01 01:09:32,515219,1657860.0
4,2021-09-01 01:09:41,515219,1648715.0
5,2021-09-01 02:09:32,515219,1568441.0
6,2021-09-01 02:09:34,515219,1566406.0
7,2021-09-01 12:09:48,515219,1576256.0
8,2021-09-01 04:09:47,515220,1560576.0
9,2021-09-01 04:09:54,515220,1390130.0
10,2021-09-01 05:09:11,515220,1531601.0
11,2021-09-01 06:09:38,515220,1640621.0
12,2021-09-01 08:09:47,515222,1578193.0
13,2021-09-01 01:09:02,515224,1573020.0
14,2021-09-01 01:09:33,515224,1565566.0
15,2021-09-01 01:09:51,515224,1643427.0
16,2021-09-01 01:09:51,515224,1461708.0
17,2021-09-01 02:09:12,515224,1517325.0
18,2021-09-01 02:09:42,515224,1580248.0
19,2021-09-01 02:09:56,515224,1580040.0
20,2021-09-01 11:09:14,515224,1591430.0
21,2021-09-01 11:09:20,515224,1606679.0
22,2021-09-01 11:09:56,515224,1617532.0
23,2021-09-01 12:09:45,515224,1652795.0
24,2021-09-01 12:09:46,515224,1586918.0
25,2021-09-01 01:09:53,515225,1596829.0
26,2021-09-01 02:09:07,515225,1616997.0
27,2021-09-01 02:09:29,515225,1632268.0
28,2021-09-01 03:09:26,515228,1611619.0
29,2021-09-01 05:09:06,515230,1677968.0
30,2021-09-01 10:09:07,515238,1612334.0
31,2021-09-02 12:09:43,515240,1547351.0
32,2021-09-02 05:09:47,515242,1616332.0
33,2021-09-02 06:09:38,515242,1547588.0
34,2021-09-02 06:09:52,515242,1604967.0
35,2021-09-02 08:09:11,515243,1615376.0
36,2021-09-02 09:09:40,515243,1648253.0
37,2021-09-02 09:09:44,515243,1596054.0
38,2021-09-02 10:09:19,515243,1545692.0
39,2021-09-02 11:09:04,515243,1566487.0
40,2021-09-02 12:09:26,515243,1584656.0
41,2021-09-02 01:09:51,515244,1583342.0
42,2021-09-02 12:09:05,515244,1529189.0
43,2021-09-02 12:09:18,515244,1626404.0
44,2021-09-02 12:09:24,515244,1513814.0
45,2021-09-02 12:09:30,515244,1595548.0
46,2021-09-02 12:09:35,515244,1582773.0
47,2021-09-02 02:09:13,515246,1567811.0
48,2021-09-02 03:09:09,515247,1594275.0
49,2021-09-02 04:09:49,515248,1620983.0
50,2021-09-02 06:09:32,515251,1588936.0
51,2021-09-02 07:09:14,515251,1609388.0
52,2021-09-02 07:09:14,515252,1672659.0
53,2021-09-02 07:09:34,515254,1624455.0
54,2021-09-02 08:09:23,515254,1590180.0
55,2021-09-02 09:09:48,515257,1625065.0
56,2021-09-03 01:09:22,515260,1556658.0
57,2021-09-03 01:09:24,515260,1602607.0
58,2021-09-03 12:09:23,515260,1589158.0
59,2021-09-03 06:09:06,515262,1536129.0
60,2021-09-03 06:09:43,515262,1627422.0
61,2021-09-03 07:09:09,515262,1577732.0
62,2021-09-03 09:09:13,515263,1655366.0
63,2021-09-03 09:09:36,515263,1580289.0
64,2021-09-03 10:09:05,515263,1601599.0
65,2021-09-03 10:09:09,515263,1641649.0
66,2021-09-03 10:09:32,515264,1586583.0
67,2021-09-03 12:09:53,515265,1562941.0
68,2021-09-03 01:09:39,515266,1609253.0
69,2021-09-03 02:09:22,515266,1571624.0
70,2021-09-03 03:09:57,515268,1623625.0
71,2021-09-03 04:09:20,515268,1601248.0
72,2021-09-03 05:09:49,515269,1637157.0
73,2021-09-03 06:09:14,515272,1600966.0
74,2021-09-03 07:09:06,515272,1521011.0
75,2021-09-03 10:09:29,515275,1599471.0
76,2021-09-03 11:09:55,515277,1546649.0
77,2021-09-04 01:09:01,515277,1579074.0
78,2021-09-04 01:09:56,515277,1617155.0
79,2021-09-04 12:09:17,515277,1578911.0
80,2021-09-04 12:09:42,515277,1604017.0
81,2021-09-04 02:09:19,515278,1581151.0
82,2021-09-04 06:09:11,515279,1581782.0
83,2021-09-04 06:09:42,515279,1573117.0
84,2021-09-04 07:09:09,515279,1552131.0
85,2021-09-04 10:09:43,515281,1592607.0
86,2021-09-05 05:09:52,515282,1578043.0
87,2021-09-05 07:09:27,515282,1578625.0
88,2021-09-06 06:09:42,515282,1574765.0
89,2021-09-06 08:09:09,515282,1601115.0
90,2021-09-06 09:09:23,515282,1585020.0
91,2021-09-06 09:09:51,515282,1561863.0
92,2021-09-06 11:09:36,515282,1587227.0
93,2021-09-06 11:09:41,515282,1578611.0
94,2021-09-06 11:09:48,515282,1585371.0
95,2021-09-06 12:09:08,515282,1617416.0
96,2021-09-06 12:09:11,515282,1612456.0
97,2021-09-06 12:09:50,515282,1600391.0
98,2021-09-06 01:09:06,515283,1600293.0
99,2021-09-06 02:09:06,515284,1556427.0
100,2021-09-06 02:09:37,515284,1473888.0
101,2021-09-06 02:09:56,515285,1547895.0
102,2021-09-06 03:09:37,515286,1585477.0
103,2021-09-06 04:09:04,515286,1519357.0
104,2021-09-06 04:09:54,515286,1557190.0
105,2021-09-06 04:09:56,515286,1616523.0
106,2021-09-06 06:09:16,515290,1564557.0
107,2021-09-06 06:09:59,515290,1586553.0
108,2021-09-06 07:09:23,515291,1610194.0
109,2021-09-06 08:09:47,515292,1584411.0
110,2021-09-06 09:09:02,515293,1599419.0
111,2021-09-06 09:09:24,515293,1575952.0
112,2021-09-06 10:09:01,515294,1550602.0
113,2021-09-06 10:09:07,515294,1561845.0
114,2021-09-06 10:09:17,515294,1539253.0
115,2021-09-06 10:09:59,515294,1594730.0
116,2021-09-06 10:09:13,515295,1609209.0
117,2021-09-06 11:09:00,515295,1584207.0
118,2021-09-07 01:09:31,515295,1518785.0
119,2021-09-07 01:09:45,515295,1524121.0
120,2021-09-07 12:09:13,515295,1525189.0
121,2021-09-07 12:09:07,515296,1603574.0
122,2021-09-07 02:09:00,515297,1578803.0
123,2021-09-07 06:09:23,515303,1586831.0
124,2021-09-07 06:09:43,515304,1558592.0
125,2021-09-07 07:09:09,515304,1523159.0
126,2021-09-07 08:09:06,515304,1494646.0
127,2021-09-07 08:09:33,515304,1471061.0
128,2021-09-07 08:09:41,515304,1594474.0
129,2021-09-07 08:09:57,515304,1510465.0
130,2021-09-07 09:09:10,515304,1475342.0
131,2021-09-07 10:09:34,515308,1534687.0
132,2021-09-07 10:09:43,515308,1564421.0
133,2021-09-07 12:09:05,515308,1521048.0
134,2021-09-07 01:09:00,515309,1597352.0
135,2021-09-07 01:09:21,515309,1510983.0
136,2021-09-07 02:09:04,515309,1504836.0
137,2021-09-07 02:09:05,515309,1584209.0
138,2021-09-07 02:09:10,515309,1643785.0
139,2021-09-07 03:09:39,515309,1592085.0
140,2021-09-07 02:09:21,515310,1558288.0
141,2021-09-07 02:09:29,515310,1612276.0
142,2021-09-07 02:09:05,515311,1624479.0
143,2021-09-07 03:09:48,515311,1601237.0
144,2021-09-07 04:09:17,515311,1618688.0
145,2021-09-07 04:09:32,515311,1633808.0
146,2021-09-07 04:09:57,515311,1550161.0
147,2021-09-07 05:09:46,515313,1553960.0
148,2021-09-07 06:09:31,515313,1616460.0
149,2021-09-07 06:09:37,515313,1602134.0
150,2021-09-07 06:09:40,515313,1599767.0
151,2021-09-07 08:09:04,515313,1487624.0
152,2021-09-07 08:09:15,515313,1603930.0
153,2021-09-07 08:09:31,515314,1597201.0
154,2021-09-07 09:09:44,515314,1609470.0
155,2021-09-07 09:09:54,515314,1547728.0
156,2021-09-07 10:09:26,515314,1542306.0
157,2021-09-07 11:09:17,515314,1616436.0
158,2021-09-08 12:09:51,515317,1574972.0
159,2021-09-08 01:09:48,515318,1514056.0
160,2021-09-08 02:09:09,515318,1576927.0
161,2021-09-08 02:09:13,515318,1472503.0
162,2021-09-08 06:09:31,515318,1556960.0
163,2021-09-08 07:09:08,515318,1476687.0
164,2021-09-08 07:09:16,515318,1587824.0
165,2021-09-08 07:09:19,515318,1555162.0
166,2021-09-08 07:09:34,515318,1568542.0
167,2021-09-08 07:09:38,515318,1661619.0
168,2021-09-08 07:09:46,515318,1561689.0
169,2021-09-08 11:09:26,515318,1569848.0
170,2021-09-08 11:09:49,515318,1624231.0
171,2021-09-08 11:09:54,515318,1560440.0
172,2021-09-08 12:09:18,515318,1581858.0
173,2021-09-08 12:09:21,515318,1602070.0
174,2021-09-08 12:09:30,515318,1607168.0
175,2021-09-08 12:09:31,515318,1537497.0
176,2021-09-08 02:09:22,515320,1575462.0
177,2021-09-08 02:09:52,515320,1515271.0
178,2021-09-08 03:09:10,515321,1603597.0
179,2021-09-08 03:09:20,515321,1603186.0
180,2021-09-08 03:09:24,515321,1542728.0
181,2021-09-08 03:09:39,515321,1594314.0
182,2021-09-08 03:09:54,515321,1560128.0
183,2021-09-08 05:09:27,515323,1624338.0
184,2021-09-08 05:09:36,515323,1609290.0
185,2021-09-08 05:09:03,515324,1604694.0
186,2021-09-08 06:09:21,515324,1615527.0
187,2021-09-08 06:09:27,515324,1560797.0
188,2021-09-08 06:09:10,515325,1603481.0
189,2021-09-08 10:09:45,515325,1648732.0
190,2021-09-08 11:09:53,515325,1639718.0
191,2021-09-09 12:09:52,515325,1645012.0
192,2021-09-08 11:09:26,515326,1618354.0
193,2021-09-09 12:09:27,515326,1578253.0
