index_1based,timestamp,sut_version,value
1,2021-09-01 12:09:03,515218,55220.18
2,2021-09-01 12:09:33,515218,56920.55
3,2021-09-01 01:09:32,515219,56034.52
4,2021-09-01 01:09:41,515219,56366.9
5,2021-09-01 02:09:32,515219,56734.62
6,2021-09-01 02:09:34,515219,56349.16
7,2021-09-01 12:09:48,515219,56970.07
8,2021-09-01 04:09:47,515220,57464.31
9,2021-09-01 04:09:54,515220,56353.24
10,2021-09-01 05:09:11,515220,56654.77
11,2021-09-01 06:09:38,515220,56460.47
12,2021-09-01 08:09:47,515222,57248.35
13,2021-09-01 01:09:02,515224,56785.53
14,2021-09-01 01:09:33,515224,56745.17
15,2021-09-01 01:09:51,515224,53759.36
16,2021-09-01 01:09:51,515224,53509.46
17,2021-09-01 02:09:12,515224,55234.63
18,2021-09-01 02:09:42,515224,57277.67
19,2021-09-01 02:09:57,515224,53847.08
20,2021-09-01 11:09:14,515224,56561.7
21,2021-09-01 11:09:21,515224,57539.28
22,2021-09-01 11:09:56,515224,57191.9
23,2021-09-01 12:09:45,515224,56213.74
24,2021-09-01 12:09:46,515224,55843.94
25,2021-09-01 01:09:54,515225,56436.99
26,2021-09-01 02:09:07,515225,56896.72
27,2021-09-01 02:09:29,515225,56157.93
28,2021-09-01 03:09:26,515228,56348.93
29,2021-09-01 05:09:06,515230,56164.69
30,2021-09-01 10:09:08,515238,56539.1
31,2021-09-02 12:09:43,515240,56947.37
32,2021-09-02 05:09:47,515242,56126.98
33,2021-09-02 06:09:38,515242,57666.23
34,2021-09-02 06:09:52,515242,56744.12
35,2021-09-02 08:09:11,515243,57121.34
36,2021-09-02 09:09:40,515243,57308.3
37,2021-09-02 09:09:44,515243,56738.25
38,2021-09-02 10:09:19,515243,57358.82
39,2021-09-02 11:09:05,515243,56338.72
40,2021-09-02 12:09:27,515243,57146.98
41,2021-09-02 01:09:51,515244,57296.52
42,2021-09-02 12:09:05,515244,57169.34
43,2021-09-02 12:09:18,515244,56831.37
44,2021-09-02 12:09:24,515244,55297.24
45,2021-09-02 12:09:30,515244,57168.8
46,2021-09-02 12:09:36,515244,57836.68
47,2021-09-02 02:09:13,515246,56429.39
48,2021-09-02 03:09:09,515247,55565.86
49,2021-09-02 04:09:49,515248,55987.32
50,2021-09-02 06:09:32,515251,56775.6
51,2021-09-02 07:09:14,515251,56154.6
52,2021-09-02 07:09:14,515252,56584.27
53,2021-09-02 07:09:34,515254,55905.77
54,2021-09-02 08:09:24,515254,56213.12
55,2021-09-02 09:09:48,515257,56261.43
56,2021-09-03 01:09:22,515260,56708.57
57,2021-09-03 01:09:24,515260,56602.05
58,2021-09-03 12:09:23,515260,57054.05
59,2021-09-03 06:09:06,515262,55564.72
60,2021-09-03 06:09:43,515262,55938.18
61,2021-09-03 07:09:09,515262,57039.38
62,2021-09-03 09:09:13,515263,57364.2
63,2021-09-03 09:09:36,515263,56370.68
64,2021-09-03 10:09:05,515263,57034.18
65,2021-09-03 10:09:09,515263,55700.37
66,2021-09-03 10:09:32,515264,56216.29
67,2021-09-03 12:09:53,515265,56620.94
68,2021-09-03 01:09:39,515266,56831.75
69,2021-09-03 02:09:22,515266,58336.47
70,2021-09-03 03:09:58,515268,56493.15
71,2021-09-03 04:09:20,515268,56147.0
72,2021-09-03 05:09:49,515269,56234.33
73,2021-09-03 06:09:14,515272,55970.69
74,2021-09-03 07:09:06,515272,54954.56
75,2021-09-03 10:09:29,515275,56225.97
76,2021-09-03 11:09:55,515277,57590.08
77,2021-09-04 01:09:01,515277,57187.52
78,2021-09-04 01:09:56,515277,56134.56
79,2021-09-04 12:09:17,515277,57671.77
80,2021-09-04 12:09:43,515277,57277.36
81,2021-09-04 02:09:20,515278,56551.49
82,2021-09-04 06:09:11,515279,56790.48
83,2021-09-04 06:09:42,515279,56561.25
84,2021-09-04 07:09:10,515279,54811.53
85,2021-09-04 10:09:44,515281,57657.65
86,2021-09-05 05:09:52,515282,57939.64
87,2021-09-05 07:09:27,515282,56787.92
88,2021-09-06 06:09:42,515282,57060.76
89,2021-09-06 08:09:09,515282,57155.82
90,2021-09-06 09:09:23,515282,57092.8
91,2021-09-06 09:09:51,515282,56607.62
92,2021-09-06 11:09:36,515282,56668.71
93,2021-09-06 11:09:41,515282,57174.83
94,2021-09-06 11:09:48,515282,56934.49
95,2021-09-06 12:09:08,515282,56407.32
96,2021-09-06 12:09:11,515282,55933.98
97,2021-09-06 12:09:50,515282,57007.89
98,2021-09-06 01:09:06,515283,57288.45
99,2021-09-06 02:09:06,515284,56292.17
100,2021-09-06 02:09:37,515284,55182.42
101,2021-09-06 02:09:56,515285,57042.54
102,2021-09-06 03:09:37,515286,56187.26
103,2021-09-06 04:09:04,515286,55378.55
104,2021-09-06 04:09:54,515286,56581.37
105,2021-09-06 04:09:56,515286,56473.91
106,2021-09-06 06:09:16,515290,56971.1
107,2021-09-06 06:09:59,515290,57502.56
108,2021-09-06 07:09:23,515291,56951.98
109,2021-09-06 08:09:47,515292,56277.43
110,2021-09-06 09:09:02,515293,56604.23
111,2021-09-06 09:09:24,515293,56812.83
112,2021-09-06 10:09:01,515294,57173.53
113,2021-09-06 10:09:07,515294,55134.46
114,2021-09-06 10:09:17,515294,56940.41
115,2021-09-06 10:09:59,515294,56894.36
116,2021-09-06 10:09:13,515295,56581.14
117,2021-09-06 11:09:00,515295,56871.26
118,2021-09-07 01:09:31,515295,55261.68
119,2021-09-07 01:09:45,515295,54484.75
120,2021-09-07 12:09:13,515295,56119.14
121,2021-09-07 12:09:07,515296,57421.34
122,2021-09-07 02:09:01,515297,57392.62
123,2021-09-07 06:09:23,515303,56935.22
124,2021-09-07 06:09:43,515304,56798.49
125,2021-09-07 07:09:09,515304,56484.94
126,2021-09-07 08:09:06,515304,54981.83
127,2021-09-07 08:09:33,515304,55620.28
128,2021-09-07 08:09:41,515304,57500.06
129,2021-09-07 08:09:57,515304,58180.57
130,2021-09-07 09:09:10,515304,55889.92
131,2021-09-07 10:09:34,515308,57409.73
132,2021-09-07 10:09:43,515308,57507.59
133,2021-09-07 12:09:05,515308,54918.5
134,2021-09-07 01:09:00,515309,57043.92
135,2021-09-07 01:09:21,515309,57295.43
136,2021-09-07 02:09:04,515309,57982.44
137,2021-09-07 02:09:05,515309,56809.7
138,2021-09-07 02:09:10,515309,56550.99
139,2021-09-07 03:09:39,515309,56696.63
140,2021-09-07 02:09:21,515310,56944.24
141,2021-09-07 02:09:30,515310,56884.72
142,2021-09-07 02:09:05,515311,56614.95
143,2021-09-07 03:09:48,515311,56036.07
144,2021-09-07 04:09:17,515311,56939.01
145,2021-09-07 04:09:32,515311,56565.37
146,2021-09-07 04:09:57,515311,57591.06
147,2021-09-07 05:09:46,515313,57591.96
148,2021-09-07 06:09:32,515313,56980.18
149,2021-09-07 06:09:37,515313,57308.42
150,2021-09-07 06:09:40,515313,56766.73
151,2021-09-07 08:09:04,515313,55342.18
152,2021-09-07 08:09:15,515313,56521.12
153,2021-09-07 08:09:31,515314,56938.26
154,2021-09-07 09:09:45,515314,56552.79
155,2021-09-07 09:09:54,515314,57176.38
156,2021-09-07 10:09:26,515314,57047.27
157,2021-09-07 11:09:17,515314,56811.64
158,2021-09-08 12:09:51,515317,56738.25
159,2021-09-08 01:09:48,515318,55442.14
160,2021-09-08 02:09:09,515318,56993.72
161,2021-09-08 02:09:14,515318,56029.71
162,2021-09-08 06:09:31,515318,56703.68
163,2021-09-08 07:09:08,515318,54892.32
164,2021-09-08 07:09:16,515318,56885.42
165,2021-09-08 07:09:19,515318,58192.69
166,2021-09-08 07:09:35,515318,57569.96
167,2021-09-08 07:09:38,515318,56174.87
168,2021-09-08 07:09:46,515318,57293.61
169,2021-09-08 11:09:26,515318,56739.69
170,2021-09-08 11:09:49,515318,56343.65
171,2021-09-08 11:09:54,515318,56538.45
172,2021-09-08 12:09:18,515318,55939.53
173,2021-09-08 12:09:21,515318,56635.04
174,2021-09-08 12:09:30,515318,56626.13
175,2021-09-08 12:09:31,515318,56985.43
176,2021-09-08 02:09:22,515320,57942.16
177,2021-09-08 02:09:52,515320,56442.45
178,2021-09-08 03:09:10,515321,56144.88
179,2021-09-08 03:09:20,515321,57344.14
180,2021-09-08 03:09:25,515321,56552.91
181,2021-09-08 03:09:39,515321,57427.45
182,2021-09-08 03:09:54,515321,54921.18
183,2021-09-08 05:09:27,515323,56800.79
184,2021-09-08 05:09:36,515323,56553.76
185,2021-09-08 05:09:03,515324,56192.29
186,2021-09-08 06:09:21,515324,56498.55
187,2021-09-08 06:09:27,515324,56133.56
188,2021-09-08 06:09:10,515325,55697.81
189,2021-09-08 10:09:45,515325,55886.14
190,2021-09-08 11:09:53,515325,55548.85
191,2021-09-09 12:09:52,515325,55644.89
192,2021-09-08 11:09:26,515326,56851.83
193,2021-09-09 12:09:27,515326,57550.66
194,2021-09-09 12:09:46,515326,56400.87
195,2021-09-09 01:09:45,515327,56492.49
196,2021-09-09 12:09:46,515327,55991.33
197,2021-09-09 02:09:17,515334,56133.63
198,2021-09-09 03:09:44,515335,55016.83
199,2021-09-09 03:09:39,515336,56456.49
200,2021-09-09 04:09:35,515336,56498.52
201,2021-09-09 04:09:40,515336,57371.64
202,2021-09-09 06:09:03,515337,55822.75
203,2021-09-09 07:09:30,515338,56692.05
204,2021-09-09 01:09:54,515341,57393.36
205,2021-09-09 01:09:57,515341,56837.94
206,2021-09-09 09:09:19,515341,56513.91
207,2021-09-09 10:09:43,515341,56700.38
208,2021-09-09 10:09:43,515341,56783.2
209,2021-09-09 10:09:50,515341,57320.72
210,2021-09-09 11:09:47,515341,58358.16
211,2021-09-09 11:09:52,515341,56740.5
212,2021-09-09 11:09:53,515341,57448.09
213,2021-09-09 12:09:01,515341,54659.42
214,2021-09-09 12:09:16,515341,57170.8
215,2021-09-09 02:09:04,515342,57086.73
216,2021-09-09 04:09:02,515344,56356.03
217,2021-09-09 04:09:14,515344,56693.17
218,2021-09-09 04:09:28,515344,57198.55
219,2021-09-09 06:09:04,515345,57463.61
220,2021-09-09 07:09:45,515347,57385.47
221,2021-09-09 09:09:33,515348,56596.39
222,2021-09-09 11:09:12,515350,56789.76
223,2021-09-09 11:09:38,515350,56026.5
224,2021-09-09 11:09:03,515351,55165.67
225,2021-09-10 12:09:21,515351,56835.12
226,2021-09-10 12:09:55,515351,55934.62
227,2021-09-10 01:09:22,515352,57552.01
228,2021-09-10 01:09:25,515352,56014.26
229,2021-09-10 01:09:47,515352,57662.68
230,2021-09-10 03:09:49,515356,56399.16
231,2021-09-10 04:09:02,515356,56011.61
232,2021-09-10 04:09:41,515356,56550.35
233,2021-09-10 04:09:17,515357,55980.63
234,2021-09-10 05:09:40,515358,55930.12
235,2021-09-10 07:09:33,515362,56159.3
236,2021-09-10 07:09:05,515364,56805.52
237,2021-09-10 07:09:50,515364,56487.61
238,2021-09-10 01:09:17,515366,55275.91
239,2021-09-10 01:09:23,515366,57365.39
240,2021-09-10 02:09:01,515366,56553.01
241,2021-09-10 02:09:06,515366,56258.15
242,2021-09-10 02:09:17,515366,56001.1
243,2021-09-10 02:09:24,515366,56404.89
244,2021-09-10 02:09:30,515366,56840.94
245,2021-09-10 02:09:42,515366,56929.51
246,2021-09-10 09:09:06,515366,55994.66
247,2021-09-10 09:09:24,515366,57921.79
248,2021-09-10 11:09:11,515366,57197.19
249,2021-09-10 03:09:00,515367,55661.86
250,2021-09-10 03:09:21,515367,56805.1
251,2021-09-10 03:09:37,515367,57084.94
252,2021-09-10 03:09:29,515368,56979.63
253,2021-09-10 05:09:59,515369,56597.81
254,2021-09-10 06:09:52,515371,56853.75
255,2021-09-10 06:09:29,515373,56858.69
256,2021-09-13 05:09:34,515375,56857.79
257,2021-09-10 10:09:49,515377,56696.64
258,2021-09-11 12:09:54,515378,57000.4
259,2021-09-11 12:09:06,515379,56434.49
260,2021-09-11 12:09:59,515379,56171.44
261,2021-09-11 01:09:11,515380,55746.79
262,2021-09-11 01:09:31,515380,56592.45
263,2021-09-11 02:09:34,515381,56452.28
