index_1based,timestamp,sut_version,value
1,2021-09-01 01:09:25,515219,345450.26
2,2021-09-01 01:09:51,515219,308425.27
3,2021-09-01 12:09:32,515219,324704.88
4,2021-09-01 12:09:37,515219,307545.35
5,2021-09-01 12:09:49,515219,344610.18
6,2021-09-01 03:09:18,515220,314475.9
7,2021-09-01 04:09:44,515220,341539.78
8,2021-09-01 05:09:59,515220,331870.51
9,2021-09-01 06:09:22,515220,326109.11
10,2021-09-01 08:09:40,515222,327714.6
11,2021-09-01 09:09:57,515222,310378.64
12,2021-09-01 01:09:39,515224,348066.84
13,2021-09-01 02:09:41,515224,351164.7
14,2021-09-01 11:09:00,515224,336024.07
15,2021-09-01 11:09:11,515224,330703.16
16,2021-09-01 11:09:14,515224,353556.12
17,2021-09-01 11:09:52,515224,333099.07
18,2021-09-01 12:09:07,515224,323644.04
19,2021-09-01 12:09:08,515224,323360.2
20,2021-09-01 12:09:32,515224,324514.49
21,2021-09-01 01:09:12,515225,314982.8
22,2021-09-01 01:09:30,515225,346589.96
23,2021-09-01 01:09:55,515225,305458.69
24,2021-09-01 03:09:24,515228,314617.19
25,2021-09-01 04:09:33,515230,331299.11
26,2021-09-01 09:09:04,515238,345244.26
27,2021-09-01 11:09:40,515240,309770.44
28,2021-09-02 05:09:42,515242,322126.03
29,2021-09-02 06:09:00,515242,340246.96
30,2021-09-02 06:09:42,515242,336874.34
31,2021-09-02 08:09:35,515243,344721.32
32,2021-09-02 09:09:08,515243,313366.88
33,2021-09-02 09:09:20,515243,341309.28
34,2021-09-02 11:09:26,515243,333191.98
35,2021-09-02 11:09:49,515243,328987.95
36,2021-09-02 11:09:32,515244,337702.57
37,2021-09-02 12:09:03,515244,324612.25
38,2021-09-02 12:09:30,515244,316984.61
39,2021-09-02 12:09:45,515244,307092.8
40,2021-09-02 12:09:58,515244,316978.9
41,2021-09-02 02:09:37,515246,315218.99
42,2021-09-02 03:09:31,515247,321848.78
43,2021-09-02 03:09:41,515248,333202.49
44,2021-09-02 05:09:14,515251,339946.84
45,2021-09-02 05:09:19,515251,324394.86
46,2021-09-02 06:09:01,515252,337839.57
47,2021-09-02 07:09:15,515254,319751.56
48,2021-09-02 08:09:44,515254,307676.17
49,2021-09-02 08:09:10,515257,320248.05
50,2021-09-03 01:09:18,515260,344113.83
51,2021-09-03 01:09:53,515260,334100.67
52,2021-09-03 12:09:01,515260,321996.38
53,2021-09-03 12:09:39,515260,331156.98
54,2021-09-03 05:09:01,515262,325430.15
55,2021-09-03 07:09:47,515262,326490.23
56,2021-09-03 09:09:06,515263,314431.33
57,2021-09-03 09:09:20,515263,333345.54
58,2021-09-03 09:09:42,515263,330364.23
59,2021-09-03 09:09:56,515263,325805.26
60,2021-09-03 10:09:16,515264,333106.22
61,2021-09-03 12:09:16,515265,344606.13
62,2021-09-03 01:09:09,515266,326212.67
63,2021-09-03 01:09:41,515266,355160.93
64,2021-09-03 03:09:15,515268,300231.31
65,2021-09-03 04:09:36,515268,346553.11
66,2021-09-03 04:09:38,515269,331156.98
67,2021-09-03 06:09:24,515272,338797.3
68,2021-09-03 10:09:55,515275,338578.74
69,2021-09-03 11:09:25,515277,324001.12
70,2021-09-04 01:09:06,515277,345017.76
71,2021-09-04 01:09:43,515277,331282.89
72,2021-09-04 01:09:43,515277,323192.36
73,2021-09-04 01:09:48,515277,330293.55
74,2021-09-04 02:09:44,515277,336038.61
75,2021-09-04 02:09:45,515277,327208.5
76,2021-09-04 12:09:05,515277,294871.25
77,2021-09-04 12:09:19,515277,339138.51
78,2021-09-04 02:09:05,515278,343660.95
79,2021-09-04 03:09:25,515278,306752.74
80,2021-09-04 05:09:12,515279,307622.04
81,2021-09-04 06:09:40,515279,339172.5
82,2021-09-04 10:09:36,515281,306136.65
83,2021-09-05 04:09:51,515282,309159.92
84,2021-09-05 07:09:16,515282,332029.11
85,2021-09-06 05:09:29,515282,338265.52
86,2021-09-06 08:09:17,515282,310008.7
87,2021-09-06 08:09:38,515282,339902.2
88,2021-09-06 09:09:04,515282,327157.82
89,2021-09-06 09:09:04,515282,329402.96
90,2021-09-06 10:09:52,515282,331509.61
91,2021-09-06 11:09:34,515282,329596.66
92,2021-09-06 11:09:53,515282,360899.79
93,2021-09-06 11:09:58,515282,316966.34
94,2021-09-06 12:09:12,515282,330645.17
95,2021-09-06 01:09:31,515283,327703.21
96,2021-09-06 12:09:02,515283,322891.15
97,2021-09-06 01:09:38,515284,337518.22
98,2021-09-06 01:09:18,515285,313026.9
99,2021-09-06 03:09:03,515286,356502.87
100,2021-09-06 03:09:39,515286,318701.63
101,2021-09-06 03:09:44,515286,327296.12
102,2021-09-06 06:09:31,515290,321287.1
103,2021-09-06 06:09:34,515290,327601.95
104,2021-09-06 07:09:04,515290,310186.45
105,2021-09-06 07:09:43,515291,348250.96
106,2021-09-06 08:09:12,515292,316822.94
107,2021-09-06 08:09:54,515293,346388.51
108,2021-09-06 09:09:44,515293,353062.01
109,2021-09-06 09:09:21,515294,335330.92
110,2021-09-06 09:09:33,515294,340984.83
111,2021-09-06 10:09:30,515294,314264.02
112,2021-09-06 11:09:32,515294,307211.08
113,2021-09-06 10:09:46,515295,340394.37
114,2021-09-06 11:09:20,515295,319164.37
115,2021-09-07 12:09:36,515296,312766.19
116,2021-09-07 02:09:11,515297,346617.26
117,2021-09-07 05:09:19,515303,346663.24
118,2021-09-07 05:09:37,515304,335475.38
119,2021-09-07 06:09:07,515304,305020.71
120,2021-09-07 08:09:33,515304,307437.54
121,2021-09-07 10:09:24,515308,331690.79
122,2021-09-07 10:09:55,515308,339454.66
123,2021-09-07 01:09:08,515309,345897.45
124,2021-09-07 01:09:27,515309,331904.72
125,2021-09-07 02:09:26,515309,342392.02
126,2021-09-07 02:09:29,515309,317412.61
127,2021-09-07 02:09:55,515309,317790.49
128,2021-09-07 02:09:22,515310,302652.68
129,2021-09-07 02:09:44,515310,307093.51
130,2021-09-07 02:09:48,515311,319497.71
131,2021-09-07 02:09:56,515311,320400.4
132,2021-09-07 03:09:03,515311,359249.66
