index_1based,timestamp,sut_version,value
1,2021-09-01 01:09:01,515219,285.0
2,2021-09-01 12:09:16,515219,301.0
3,2021-09-01 12:09:18,515219,288.0
4,2021-09-01 03:09:22,515220,298.0
5,2021-09-01 04:09:59,515220,288.0
6,2021-09-01 05:09:28,515220,295.0
7,2021-09-01 08:09:44,515222,287.0
8,2021-09-01 01:09:19,515224,294.0
9,2021-09-01 10:09:00,515224,305.0
10,2021-09-01 10:09:42,515224,293.0
11,2021-09-01 11:09:21,515224,285.0
12,2021-09-01 11:09:44,515224,289.0
13,2021-09-01 11:09:44,515224,291.0
14,2021-09-01 12:09:13,515224,293.0
15,2021-09-01 12:09:14,515224,296.0
16,2021-09-01 12:09:14,515224,284.0
17,2021-09-01 01:09:49,515225,300.0
18,2021-09-01 01:09:55,515225,292.0
19,2021-09-01 01:09:58,515225,283.0
20,2021-09-01 02:09:28,515228,296.0
21,2021-09-01 04:09:27,515230,286.0
22,2021-09-01 09:09:40,515238,303.0
23,2021-09-01 11:09:03,515240,290.0
24,2021-09-02 05:09:07,515242,295.0
25,2021-09-02 05:09:27,515242,291.0
26,2021-09-02 05:09:58,515242,295.0
27,2021-09-02 07:09:15,515243,297.0
28,2021-09-02 09:09:23,515243,285.0
29,2021-09-02 09:09:37,515243,282.0
30,2021-09-02 11:09:25,515243,289.0
31,2021-09-02 11:09:43,515243,286.0
32,2021-09-02 12:09:33,515243,295.0
33,2021-09-02 11:09:10,515244,295.0
34,2021-09-02 11:09:19,515244,302.0
35,2021-09-02 11:09:31,515244,302.0
36,2021-09-02 12:09:02,515244,289.0
37,2021-09-02 12:09:26,515244,284.0
38,2021-09-02 12:09:41,515244,293.0
39,2021-09-02 02:09:04,515246,294.0
40,2021-09-02 02:09:02,515247,289.0
41,2021-09-02 03:09:00,515248,287.0
42,2021-09-02 05:09:38,515251,294.0
43,2021-09-02 05:09:40,515251,288.0
44,2021-09-02 06:09:47,515252,303.0
45,2021-09-02 07:09:07,515254,291.0
46,2021-09-02 08:09:20,515257,301.0
47,2021-09-03 12:09:26,515260,304.0
48,2021-09-03 12:09:48,515260,309.0
49,2021-09-03 12:09:51,515260,291.0
50,2021-09-03 05:09:52,515262,288.0
51,2021-09-03 06:09:42,515262,298.0
52,2021-09-03 08:09:00,515263,287.0
53,2021-09-03 09:09:29,515263,297.0
54,2021-09-03 09:09:29,515263,302.0
55,2021-09-03 09:09:40,515263,290.0
56,2021-09-03 09:09:44,515264,287.0
57,2021-09-03 12:09:25,515265,300.0
58,2021-09-03 01:09:26,515266,288.0
59,2021-09-03 12:09:18,515266,302.0
60,2021-09-03 03:09:39,515268,299.0
61,2021-09-03 03:09:49,515268,292.0
62,2021-09-03 04:09:12,515268,293.0
63,2021-09-03 04:09:28,515269,304.0
64,2021-09-03 05:09:22,515272,289.0
65,2021-09-03 10:09:06,515275,316.0
66,2021-09-03 11:09:32,515277,294.0
67,2021-09-03 11:09:41,515277,301.0
68,2021-09-04 01:09:33,515277,300.0
69,2021-09-04 12:09:03,515277,291.0
70,2021-09-04 12:09:38,515277,302.0
71,2021-09-04 02:09:31,515278,299.0
72,2021-09-04 05:09:31,515279,287.0
73,2021-09-04 05:09:38,515279,294.0
74,2021-09-04 09:09:50,515281,290.0
75,2021-09-04 11:09:37,515281,296.0
76,2021-09-05 04:09:41,515282,290.0
77,2021-09-05 07:09:02,515282,286.0
78,2021-09-06 05:09:57,515282,292.0
79,2021-09-06 08:09:19,515282,306.0
80,2021-09-06 08:09:20,515282,313.0
81,2021-09-06 08:09:23,515282,289.0
82,2021-09-06 09:09:13,515282,306.0
83,2021-09-06 10:09:04,515282,298.0
84,2021-09-06 11:09:32,515282,289.0
85,2021-09-06 11:09:43,515282,296.0
86,2021-09-06 11:09:55,515282,288.0
87,2021-09-06 12:09:18,515282,293.0
88,2021-09-06 12:09:37,515283,298.0
89,2021-09-06 01:09:17,515284,288.0
90,2021-09-06 01:09:33,515285,303.0
91,2021-09-06 03:09:04,515286,299.0
92,2021-09-06 03:09:22,515286,293.0
93,2021-09-06 03:09:51,515286,301.0
94,2021-09-06 05:09:04,515290,295.0
95,2021-09-06 05:09:45,515290,293.0
96,2021-09-06 07:09:23,515291,289.0
97,2021-09-06 08:09:21,515292,299.0
98,2021-09-06 09:09:08,515293,292.0
99,2021-09-06 09:09:39,515293,287.0
100,2021-09-06 09:09:02,515294,294.0
101,2021-09-06 09:09:47,515294,303.0
102,2021-09-06 09:09:58,515294,307.0
103,2021-09-06 10:09:04,515295,299.0
104,2021-09-06 11:09:34,515295,295.0
105,2021-09-07 12:09:10,515296,289.0
106,2021-09-07 01:09:22,515297,293.0
107,2021-09-07 05:09:24,515303,298.0
108,2021-09-07 05:09:27,515304,301.0
109,2021-09-07 06:09:09,515304,288.0
110,2021-09-07 08:09:07,515304,307.0
111,2021-09-07 09:09:04,515304,300.0
112,2021-09-07 10:09:27,515308,290.0
113,2021-09-07 10:09:41,515308,299.0
