index_1based,timestamp,sut_version,value
1,2021-09-01 12:09:07,515218,0.0
2,2021-09-01 12:09:39,515218,0.0
3,2021-09-01 01:09:37,515219,0.0
4,2021-09-01 01:09:46,515219,0.0
5,2021-09-01 02:09:38,515219,0.0
6,2021-09-01 02:09:40,515219,0.0
7,2021-09-01 12:09:54,515219,0.0
8,2021-09-01 04:09:00,515220,0.0
9,2021-09-01 04:09:54,515220,0.0
10,2021-09-01 05:09:16,515220,0.0
11,2021-09-01 06:09:44,515220,0.0
12,2021-09-01 08:09:54,515222,0.0
13,2021-09-01 01:09:07,515224,0.0
14,2021-09-01 01:09:39,515224,0.0
15,2021-09-01 01:09:54,515224,0.0
16,2021-09-01 01:09:54,515224,0.0
17,2021-09-01 02:09:00,515224,0.0
18,2021-09-01 02:09:17,515224,0.0
19,2021-09-01 02:09:48,515224,0.0
20,2021-09-01 11:09:02,515224,0.0
21,2021-09-01 11:09:19,515224,0.0
22,2021-09-01 11:09:27,515224,0.0
23,2021-09-01 12:09:49,515224,0.0
24,2021-09-01 12:09:50,515224,0.0
25,2021-09-01 01:09:13,515225,0.0
26,2021-09-01 01:09:58,515225,0.0
27,2021-09-01 02:09:33,515225,0.0
28,2021-09-01 03:09:32,515228,0.0
29,2021-09-01 05:09:11,515230,0.0
30,2021-09-01 10:09:13,515238,0.0
31,2021-09-02 12:09:49,515240,0.0
32,2021-09-02 05:09:51,515242,0.0
33,2021-09-02 06:09:45,515242,0.0
34,2021-09-02 06:09:57,515242,0.0
35,2021-09-02 08:09:16,515243,0.0
36,2021-09-02 09:09:25,515243,0.0
37,2021-09-02 09:09:46,515243,0.0
38,2021-09-02 09:09:50,515243,0.0
39,2021-09-02 11:09:10,515243,0.0
40,2021-09-02 12:09:32,515243,0.0
41,2021-09-02 01:09:58,515244,0.0
42,2021-09-02 12:09:11,515244,0.0
43,2021-09-02 12:09:24,515244,0.0
44,2021-09-02 12:09:28,515244,0.0
45,2021-09-02 12:09:36,515244,0.0
46,2021-09-02 12:09:42,515244,0.0
47,2021-09-02 02:09:19,515246,0.0
48,2021-09-02 03:09:13,515247,0.0
49,2021-09-02 04:09:54,515248,0.0
50,2021-09-02 06:09:38,515251,0.0
51,2021-09-02 07:09:19,515251,0.0
52,2021-09-02 07:09:19,515252,0.0
53,2021-09-02 07:09:39,515254,0.0
54,2021-09-02 08:09:29,515254,0.0
55,2021-09-02 09:09:53,515257,0.0
56,2021-09-03 01:09:27,515260,0.0
57,2021-09-03 01:09:30,515260,0.0
58,2021-09-03 12:09:29,515260,0.0
59,2021-09-03 06:09:10,515262,0.0
60,2021-09-03 06:09:47,515262,0.0
61,2021-09-03 07:09:15,515262,0.0
62,2021-09-03 09:09:18,515263,0.0
63,2021-09-03 09:09:41,515263,0.0
64,2021-09-03 10:09:11,515263,0.0
65,2021-09-03 10:09:13,515263,0.0
66,2021-09-03 10:09:38,515264,0.0
67,2021-09-03 12:09:00,515265,0.0
68,2021-09-03 01:09:45,515266,0.0
69,2021-09-03 02:09:29,515266,0.0
70,2021-09-03 03:09:03,515268,0.0
71,2021-09-03 04:09:26,515268,0.0
72,2021-09-03 05:09:55,515269,0.0
73,2021-09-03 06:09:18,515272,0.0
74,2021-09-03 07:09:10,515272,0.0
75,2021-09-03 10:09:33,515275,0.0
76,2021-09-03 11:09:01,515277,0.0
77,2021-09-04 01:09:02,515277,0.0
78,2021-09-04 01:09:07,515277,0.0
79,2021-09-04 12:09:24,515277,0.0
80,2021-09-04 12:09:49,515277,0.0
81,2021-09-04 02:09:26,515278,0.0
82,2021-09-04 06:09:17,515279,0.0
83,2021-09-04 06:09:47,515279,0.0
84,2021-09-04 07:09:13,515279,0.0
85,2021-09-04 10:09:50,515281,0.0
86,2021-09-05 05:09:00,515282,0.0
87,2021-09-05 07:09:33,515282,0.0
88,2021-09-06 06:09:49,515282,0.0
89,2021-09-06 08:09:15,515282,0.0
90,2021-09-06 09:09:29,515282,0.0
91,2021-09-06 09:09:57,515282,0.0
92,2021-09-06 11:09:42,515282,0.0
93,2021-09-06 11:09:48,515282,0.0
94,2021-09-06 11:09:54,515282,0.0
95,2021-09-06 12:09:14,515282,0.0
96,2021-09-06 12:09:17,515282,0.0
97,2021-09-06 12:09:56,515282,0.0
98,2021-09-06 01:09:13,515283,0.0
99,2021-09-06 02:09:13,515284,0.0
100,2021-09-06 02:09:43,515284,0.0
101,2021-09-06 02:09:03,515285,0.0
102,2021-09-06 03:09:43,515286,0.0
103,2021-09-06 04:09:00,515286,0.0
104,2021-09-06 04:09:02,515286,0.0
105,2021-09-06 04:09:08,515286,0.0
106,2021-09-06 06:09:05,515290,0.0
107,2021-09-06 06:09:22,515290,0.0
108,2021-09-06 07:09:29,515291,0.0
109,2021-09-06 08:09:52,515292,0.0
110,2021-09-06 09:09:08,515293,0.0
111,2021-09-06 09:09:30,515293,0.0
112,2021-09-06 10:09:05,515294,0.0
113,2021-09-06 10:09:08,515294,0.0
114,2021-09-06 10:09:11,515294,0.0
115,2021-09-06 10:09:23,515294,0.0
116,2021-09-06 10:09:19,515295,0.0
117,2021-09-06 11:09:06,515295,0.0
118,2021-09-07 01:09:35,515295,0.0
119,2021-09-07 01:09:48,515295,0.0
120,2021-09-07 12:09:18,515295,0.0
121,2021-09-07 12:09:14,515296,0.0
122,2021-09-07 02:09:06,515297,0.0
123,2021-09-07 06:09:29,515303,0.0
124,2021-09-07 06:09:49,515304,0.0
125,2021-09-07 07:09:15,515304,0.0
126,2021-09-07 08:09:05,515304,0.0
127,2021-09-07 08:09:10,515304,0.0
128,2021-09-07 08:09:38,515304,0.0
129,2021-09-07 08:09:48,515304,0.0
130,2021-09-07 09:09:16,515304,0.0
131,2021-09-07 10:09:42,515308,0.0
132,2021-09-07 10:09:50,515308,0.0
133,2021-09-07 12:09:09,515308,0.0
134,2021-09-07 01:09:06,515309,0.0
135,2021-09-07 01:09:28,515309,0.0
136,2021-09-07 02:09:11,515309,0.0
137,2021-09-07 02:09:11,515309,0.0
138,2021-09-07 02:09:16,515309,0.0
139,2021-09-07 03:09:45,515309,0.0
140,2021-09-07 02:09:26,515310,0.0
141,2021-09-07 02:09:35,515310,0.0
142,2021-09-07 02:09:10,515311,0.0
143,2021-09-07 03:09:53,515311,0.0
144,2021-09-07 04:09:03,515311,0.0
145,2021-09-07 04:09:23,515311,0.0
146,2021-09-07 04:09:38,515311,0.0
147,2021-09-07 05:09:53,515313,0.0
148,2021-09-07 06:09:38,515313,0.0
149,2021-09-07 06:09:43,515313,0.0
150,2021-09-07 06:09:46,515313,0.0
151,2021-09-07 08:09:09,515313,0.0
152,2021-09-07 08:09:21,515313,0.0
153,2021-09-07 08:09:37,515314,0.0
154,2021-09-07 09:09:01,515314,0.0
155,2021-09-07 09:09:50,515314,0.0
156,2021-09-07 10:09:31,515314,0.0
157,2021-09-07 11:09:22,515314,0.0
158,2021-09-08 12:09:57,515317,0.0
159,2021-09-08 01:09:53,515318,0.0
160,2021-09-08 02:09:16,515318,0.0
161,2021-09-08 02:09:19,515318,0.0
162,2021-09-08 06:09:37,515318,0.0
163,2021-09-08 07:09:13,515318,0.0
164,2021-09-08 07:09:22,515318,0.0
165,2021-09-08 07:09:27,515318,0.0
166,2021-09-08 07:09:41,515318,0.0
167,2021-09-08 07:09:43,515318,0.0
168,2021-09-08 07:09:52,515318,0.0
169,2021-09-08 11:09:00,515318,0.0
170,2021-09-08 11:09:32,515318,0.0
171,2021-09-08 11:09:54,515318,0.0
172,2021-09-08 12:09:23,515318,0.0
173,2021-09-08 12:09:26,515318,0.0
174,2021-09-08 12:09:35,515318,0.0
175,2021-09-08 12:09:37,515318,0.0
176,2021-09-08 02:09:29,515320,0.0
177,2021-09-08 02:09:58,515320,0.0
178,2021-09-08 02:09:26,515321,0.0
179,2021-09-08 03:09:15,515321,0.0
180,2021-09-08 03:09:30,515321,0.0
181,2021-09-08 03:09:45,515321,0.0
182,2021-09-08 03:09:58,515321,0.0
183,2021-09-08 05:09:33,515323,0.0
184,2021-09-08 05:09:42,515323,0.0
185,2021-09-08 05:09:08,515324,0.0
186,2021-09-08 06:09:26,515324,0.0
187,2021-09-08 06:09:33,515324,0.0
188,2021-09-08 06:09:15,515325,0.0
189,2021-09-08 10:09:50,515325,0.0
190,2021-09-08 11:09:57,515325,0.0
191,2021-09-09 12:09:56,515325,0.0
192,2021-09-08 11:09:32,515326,0.0
193,2021-09-09 12:09:34,515326,0.0
194,2021-09-09 12:09:52,515326,0.0
195,2021-09-09 01:09:50,515327,0.0
196,2021-09-09 12:09:51,515327,0.0
197,2021-09-09 02:09:22,515334,0.0
198,2021-09-09 03:09:48,515335,0.0
199,2021-09-09 03:09:45,515336,0.0
200,2021-09-09 04:09:42,515336,0.0
201,2021-09-09 04:09:46,515336,0.0
202,2021-09-09 06:09:09,515337,0.0
203,2021-09-09 07:09:36,515338,0.0
204,2021-09-09 01:09:00,515341,0.0
205,2021-09-09 01:09:03,515341,0.0
206,2021-09-09 09:09:25,515341,0.0
207,2021-09-09 10:09:48,515341,0.0
208,2021-09-09 10:09:49,515341,0.0
209,2021-09-09 10:09:56,515341,0.0
210,2021-09-09 11:09:00,515341,0.0
211,2021-09-09 11:09:55,515341,0.0
212,2021-09-09 11:09:58,515341,0.0
213,2021-09-09 12:09:06,515341,0.0
214,2021-09-09 12:09:21,515341,0.0
215,2021-09-09 02:09:10,515342,0.0
