index_1based,timestamp,sut_version,value
1,2021-09-01 01:09:57,531193,4789.0
2,2021-09-01 02:09:51,531193,4780.0
3,2021-09-01 05:09:37,531193,4891.0
4,2021-09-01 06:09:12,531193,4791.0
5,2021-09-01 06:09:37,531193,4831.0
6,2021-09-01 06:09:48,531193,4860.0
7,2021-09-01 07:09:11,531193,4939.0
8,2021-09-01 07:09:30,531193,4820.0
9,2021-09-01 08:09:28,531194,4840.0
10,2021-09-01 09:09:29,531194,4840.0
11,2021-09-01 11:09:37,531195,4850.0
12,2021-09-01 02:09:57,531197,4890.0
13,2021-09-01 02:09:58,531197,4720.0
14,2021-09-01 03:09:13,531197,4750.0
15,2021-09-01 03:09:15,531197,4901.0
16,2021-09-01 04:09:05,531199,4801.0
17,2021-09-01 04:09:11,531199,4869.0
18,2021-09-01 05:09:10,531199,4710.0
19,2021-09-01 05:09:39,531199,4961.0
20,2021-09-01 09:09:25,531204,4850.0
21,2021-09-01 10:09:00,531204,4748.0
22,2021-09-01 11:09:18,531205,4801.0
23,2021-09-02 12:09:30,531205,4780.0
24,2021-09-02 06:09:28,531206,4889.0
25,2021-09-02 06:09:41,531206,4810.0
26,2021-09-02 07:09:09,531206,4731.0
27,2021-09-02 07:09:41,531206,4970.0
28,2021-09-02 08:09:23,531206,4940.0
29,2021-09-02 08:09:26,531206,4930.0
30,2021-09-02 09:09:46,531206,4811.0
31,2021-09-02 01:09:03,531208,4879.0
32,2021-09-02 01:09:55,531208,4781.0
33,2021-09-02 02:09:40,531208,4840.0
34,2021-09-02 09:09:31,531208,4850.0
35,2021-09-02 10:09:35,531208,4828.0
36,2021-09-02 12:09:58,531208,4850.0
37,2021-09-02 02:09:47,531209,4689.0
38,2021-09-02 03:09:03,531209,4710.0
39,2021-09-02 02:09:24,531210,4820.0
40,2021-09-02 04:09:15,531210,4811.0
41,2021-09-02 04:09:17,531212,4799.0
42,2021-09-02 04:09:31,531212,4868.0
43,2021-09-02 04:09:45,531212,4910.0
44,2021-09-02 05:09:36,531212,4719.0
45,2021-09-02 06:09:47,531212,4729.0
46,2021-09-02 05:09:01,531213,4779.0
47,2021-09-02 06:09:15,531213,4730.0
48,2021-09-02 06:09:27,531213,4841.0
49,2021-09-02 11:09:04,531217,4911.0
50,2021-09-03 01:09:59,531217,4819.0
51,2021-09-03 02:09:09,531217,4771.0
52,2021-09-03 02:09:14,531217,4789.0
53,2021-09-03 03:09:27,531217,4892.0
54,2021-09-03 07:09:05,531218,4880.0
55,2021-09-03 08:09:32,531218,4760.0
56,2021-09-03 09:09:28,531218,4840.0
57,2021-09-03 09:09:33,531218,4911.0
58,2021-09-03 10:09:42,531218,4999.0
59,2021-09-03 10:09:43,531218,4791.0
60,2021-09-03 10:09:47,531218,4819.0
61,2021-09-03 11:09:44,531218,4771.0
62,2021-09-03 11:09:59,531218,4910.0
63,2021-09-03 01:09:36,531221,4879.0
64,2021-09-03 03:09:22,531221,4900.0
65,2021-09-03 04:09:35,531221,4889.0
66,2021-09-03 04:09:40,531221,4830.0
67,2021-09-03 04:09:46,531221,4861.0
68,2021-09-03 12:09:20,531221,4701.0
69,2021-09-03 12:09:44,531221,4850.0
70,2021-09-03 02:09:26,531223,4810.0
71,2021-09-03 07:09:49,531230,4781.0
72,2021-09-03 08:09:48,531230,4811.0
73,2021-09-03 08:09:54,531230,4732.0
74,2021-09-03 11:09:15,531234,4890.0
75,2021-09-04 01:09:27,531234,4740.0
76,2021-09-04 02:09:25,531234,4740.0
77,2021-09-05 05:09:12,531234,4681.0
78,2021-09-05 06:09:46,531234,4760.0
79,2021-09-05 08:09:53,531234,4700.0
80,2021-09-05 09:09:41,531234,4699.0
81,2021-09-06 07:09:43,531234,4829.0
82,2021-09-06 08:09:49,531234,4740.0
83,2021-09-06 08:09:17,531236,4839.0
84,2021-09-06 08:09:18,531236,4761.0
85,2021-09-06 09:09:20,531236,4840.0
86,2021-09-06 09:09:35,531236,4720.0
87,2021-09-06 11:09:20,531237,4840.0
88,2021-09-06 12:09:02,531237,4739.0
89,2021-09-06 11:09:12,531238,4710.0
90,2021-09-06 12:09:16,531238,4683.0
91,2021-09-06 01:09:54,531239,4720.0
92,2021-09-06 03:09:14,531240,4770.0
93,2021-09-06 03:09:48,531240,4680.0
94,2021-09-06 03:09:55,531240,4760.0
95,2021-09-06 05:09:48,531244,4749.0
96,2021-09-06 06:09:01,531244,4680.0
97,2021-09-06 07:09:05,531244,4750.0
98,2021-09-06 08:09:10,531244,4880.0
99,2021-09-06 08:09:51,531244,4760.0
100,2021-09-06 09:09:11,531244,4630.0
101,2021-09-06 11:09:28,531246,4730.0
102,2021-09-06 11:09:40,531246,4800.0
103,2021-09-07 12:09:55,531246,4640.0
104,2021-09-07 06:09:43,531247,4790.0
105,2021-09-07 06:09:48,531247,4760.0
106,2021-09-07 06:09:50,531247,4780.0
107,2021-09-07 07:09:54,531247,4820.0
108,2021-09-07 08:09:10,531247,4750.0
109,2021-09-07 08:09:43,531247,4831.0
110,2021-09-07 09:09:34,531247,4721.0
111,2021-09-07 09:09:42,531247,4670.0
112,2021-09-07 10:09:35,531248,4689.0
113,2021-09-07 11:09:15,531248,4671.0
114,2021-09-07 01:09:04,531249,4722.0
115,2021-09-07 02:09:35,531249,4870.0
116,2021-09-07 12:09:16,531249,4660.0
117,2021-09-07 12:09:25,531249,4710.0
118,2021-09-07 01:09:29,531250,4753.0
119,2021-09-07 01:09:49,531250,4691.0
120,2021-09-07 02:09:18,531250,4669.0
121,2021-09-07 03:09:45,531251,4680.0
122,2021-09-07 03:09:14,531252,4740.0
123,2021-09-07 03:09:17,531252,4780.0
124,2021-09-07 07:09:35,531257,4810.0
125,2021-09-07 08:09:16,531257,4702.0
126,2021-09-07 08:09:40,531257,4740.0
127,2021-09-07 10:09:03,531258,4729.0
128,2021-09-07 10:09:05,531258,4720.0
129,2021-09-07 11:09:14,531258,4800.0
130,2021-09-07 11:09:19,531258,4720.0
131,2021-09-07 11:09:35,531258,4730.0
132,2021-09-07 11:09:56,531258,4670.0
133,2021-09-08 01:09:46,531259,4659.0
134,2021-09-08 12:09:10,531259,4660.0
135,2021-09-08 06:09:06,531260,4721.0
136,2021-09-08 06:09:49,531260,4691.0
137,2021-09-08 06:09:59,531260,4790.0
138,2021-09-08 07:09:54,531260,4799.0
139,2021-09-08 01:09:12,531264,4731.0
140,2021-09-08 01:09:32,531264,4740.0
141,2021-09-08 01:09:38,531264,4920.0
142,2021-09-08 01:09:50,531264,4810.0
143,2021-09-08 04:09:35,531267,4820.0
144,2021-09-08 04:09:57,531267,4761.0
145,2021-09-08 05:09:02,531267,4830.0
146,2021-09-08 05:09:36,531267,4800.0
147,2021-09-08 10:09:18,531267,4710.0
148,2021-09-08 11:09:17,531269,4661.0
149,2021-09-08 11:09:17,531269,4760.0
150,2021-09-08 11:09:21,531269,4761.0
151,2021-09-08 11:09:26,531269,4770.0
152,2021-09-09 01:09:44,531269,4840.0
153,2021-09-09 12:09:05,531269,4790.0
154,2021-09-09 12:09:44,531269,4771.0
155,2021-09-09 02:09:53,531270,4870.0
156,2021-09-09 06:09:36,531270,4670.0
157,2021-09-09 10:09:45,531270,4840.0
158,2021-09-09 11:09:05,531270,4670.0
159,2021-09-09 11:09:09,531270,4610.0
160,2021-09-09 11:09:24,531270,4789.0
161,2021-09-09 01:09:18,531271,4751.0
162,2021-09-09 01:09:50,531272,4719.0
163,2021-09-09 02:09:01,531272,4720.0
164,2021-09-09 02:09:48,531272,4809.0
165,2021-09-09 03:09:04,531272,4750.0
166,2021-09-09 04:09:30,531274,4760.0
167,2021-09-09 05:09:25,531274,4719.0
168,2021-09-09 05:09:33,531275,4740.0
169,2021-09-09 06:09:50,531275,4730.0
170,2021-09-09 05:09:02,531276,4699.0
171,2021-09-09 06:09:32,531276,4740.0
172,2021-09-09 07:09:54,531278,4810.0
173,2021-09-09 08:09:45,531278,4760.0
174,2021-09-09 08:09:02,531279,4729.0
175,2021-09-09 08:09:43,531280,4830.0
176,2021-09-09 08:09:53,531280,4800.0
177,2021-09-09 09:09:45,531280,4710.0
178,2021-09-09 11:09:01,531284,4709.0
179,2021-09-10 12:09:36,531284,4710.0
180,2021-09-10 02:09:15,531285,4749.0
181,2021-09-10 02:09:39,531285,4720.0
182,2021-09-10 01:09:15,531286,4750.0
183,2021-09-10 01:09:35,531286,4710.0
184,2021-09-10 02:09:10,531286,4699.0
185,2021-09-10 02:09:22,531286,4800.0
186,2021-09-10 02:09:23,531286,4680.0
