index_1based,timestamp,sut_version,value
1,2021-09-01 01:09:10,531193,23.0
2,2021-09-01 05:09:07,531193,20.0
3,2021-09-01 06:09:02,531193,25.0
4,2021-09-01 06:09:15,531193,24.0
5,2021-09-01 06:09:51,531193,23.0
6,2021-09-01 07:09:16,531193,22.0
7,2021-09-01 08:09:38,531194,25.0
8,2021-09-01 10:09:51,531195,25.0
9,2021-09-01 02:09:37,531197,22.0
10,2021-09-01 02:09:38,531197,22.0
11,2021-09-01 03:09:59,531199,23.0
12,2021-09-01 04:09:39,531199,23.0
13,2021-09-01 08:09:07,531204,25.0
14,2021-09-01 11:09:50,531205,23.0
15,2021-09-02 12:09:22,531205,24.0
16,2021-09-02 05:09:36,531206,23.0
17,2021-09-02 06:09:10,531206,24.0
18,2021-09-02 06:09:46,531206,23.0
19,2021-09-02 08:09:27,531206,22.0
20,2021-09-02 01:09:57,531208,22.0
21,2021-09-02 02:09:58,531208,24.0
22,2021-09-02 09:09:27,531208,23.0
23,2021-09-02 10:09:03,531208,23.0
24,2021-09-02 12:09:14,531208,23.0
25,2021-09-02 01:09:29,531209,22.0
26,2021-09-02 02:09:51,531210,22.0
27,2021-09-02 04:09:17,531212,23.0
28,2021-09-02 04:09:27,531212,24.0
29,2021-09-02 04:09:59,531212,22.0
30,2021-09-02 05:09:07,531213,24.0
31,2021-09-02 06:09:45,531213,23.0
32,2021-09-02 11:09:53,531217,25.0
33,2021-09-03 01:09:50,531217,23.0
34,2021-09-03 02:09:56,531217,25.0
35,2021-09-03 06:09:12,531218,22.0
36,2021-09-03 07:09:39,531218,23.0
37,2021-09-03 09:09:46,531218,22.0
38,2021-09-03 09:09:50,531218,22.0
39,2021-09-03 09:09:52,531218,25.0
40,2021-09-03 01:09:46,531221,23.0
41,2021-09-03 02:09:40,531221,24.0
42,2021-09-03 03:09:44,531221,23.0
43,2021-09-03 12:09:13,531221,26.0
44,2021-09-03 12:09:35,531221,24.0
45,2021-09-03 12:09:43,531221,24.0
46,2021-09-03 02:09:32,531223,23.0
47,2021-09-03 07:09:22,531230,26.0
48,2021-09-03 08:09:31,531230,23.0
49,2021-09-03 08:09:33,531230,26.0
50,2021-09-03 09:09:27,531230,24.0
51,2021-09-03 10:09:28,531234,22.0
