index_1based,timestamp,sut_version,value
1,2021-09-01 01:09:28,531193,1.15
2,2021-09-01 05:09:47,531193,1.06
3,2021-09-01 06:09:00,531193,1.09
4,2021-09-01 06:09:06,531193,1.09
5,2021-09-01 07:09:29,531193,1.07
6,2021-09-01 07:09:56,531193,1.09
7,2021-09-01 08:09:44,531193,1.07
8,2021-09-01 08:09:09,531194,1.08
9,2021-09-01 11:09:56,531195,1.1
10,2021-09-01 02:09:02,531197,1.17
11,2021-09-01 02:09:15,531197,1.14
12,2021-09-01 04:09:12,531199,1.06
13,2021-09-01 04:09:18,531199,1.03
14,2021-09-01 05:09:24,531199,1.19
15,2021-09-01 09:09:28,531204,1.06
16,2021-09-01 11:09:25,531205,1.11
17,2021-09-02 06:09:35,531206,1.09
18,2021-09-02 06:09:45,531206,1.15
19,2021-09-02 07:09:26,531206,1.16
20,2021-09-02 08:09:17,531206,1.1
21,2021-09-02 01:09:13,531208,1.04
22,2021-09-02 02:09:18,531208,1.14
23,2021-09-02 09:09:40,531208,1.09
24,2021-09-02 10:09:01,531208,1.09
25,2021-09-02 12:09:28,531208,1.07
26,2021-09-02 02:09:20,531209,1.08
27,2021-09-02 02:09:24,531210,1.08
28,2021-09-02 04:09:00,531212,1.05
29,2021-09-02 04:09:14,531212,1.05
30,2021-09-02 04:09:28,531212,0.99
31,2021-09-02 05:09:16,531213,1.04
32,2021-09-02 06:09:48,531213,1.02
33,2021-09-02 11:09:04,531217,1.03
34,2021-09-03 01:09:41,531217,1.03
35,2021-09-03 02:09:06,531217,1.05
36,2021-09-03 02:09:24,531217,1.09
37,2021-09-03 12:09:56,531217,1.01
38,2021-09-03 07:09:47,531218,1.02
39,2021-09-03 09:09:06,531218,1.04
40,2021-09-03 09:09:43,531218,1.04
41,2021-09-03 10:09:13,531218,1.03
42,2021-09-03 01:09:45,531221,1.04
43,2021-09-03 02:09:24,531221,1.01
44,2021-09-03 12:09:15,531221,1.02
45,2021-09-03 12:09:23,531221,1.07
46,2021-09-03 02:09:32,531223,1.02
47,2021-09-03 07:09:56,531230,1.0
