series_id,unit,category
1,s,cpu time
2,s,cpu time
3,s,cpu time
4,s,cpu time
5,ms,cpu time
6,s,cpu time
7,s,cpu time
8,s,runtime
9,s,runtime
10,s,cpu time
11,s,cpu time
12,s,runtime
13,s,runtime
14,ms,cpu time
15,s,elapsed time
16,ms,cpu time
17,s,cpu time
18,ms,cpu time
19,s,cpu time
20,s,elapsed time
21,s,elapsed time
22,s,elapsed time
23,s,elapsed time
24,s,elapsed time
25,s,cpu time
26,s,elapsed time
27,s,cpu time
28,ms,cpu time
29,ms,avg. dialogue step time
30,ms,avg. dialogue step time
31,ms,sum of lookup time from all processes
32,ms,avg. dialogue step time
33,ms,elapsed time
34,ms,avg. dialogue step time
35,ms,cpu time
36,ms,cpu time
37,ms,cpu time
38,ms,elapsed time
39,ms,cpu time
40,ms,avg. lookup time
41,ms,avg. lookup time
42,ms,cpu time
43,ms,elapsed time
44,ms,cpu time
45,ms,avg. lookup time
46,ms,avg. lookup time
47,ms,cpu time
48,ms,cpu time
49,ms,sum of cpu time from all processes
50,ms,cpu time
51,ms,cpu time
52,ms,elapsed time
53,ms,elapsed time
54,ms,elapsed time
55,ms,cpu time
56,ms,elapsed time
57,ms,elapsed time
58,ms,cpu time
59,ms,cpu time
60,ms,cpu time
61,ms,cpu time
62,ms,cpu time
63,ms,cpu time
64,ms,elapsed time
65,ms,elapsed time
66,ms,elapsed time
67,ms,elapsed time
68,ms,elapsed time
69,ms,elapsed time
70,ms,cpu time
71,ms,elapsed time
72,ms,elapsed time
73,ms,elapsed time
74,ms,elapsed time
75,ms,elapsed time
76,ms,elapsed time
77,ms,avg. lookup time
78,ms,elapsed time
79,ms,elapsed time
80,s,elapsed time
81,ms,sum of cpu time from all processes
82,ms,elapsed time
83,ms,cpu time
84,s,cpu time
85,ms,cpu time
86,s,cpu time
87,s,cpu time
88,s,cpu time
89,s,cpu time
90,s,cpu time
91,s,cpu time
92,s,cpu time
93,s,cpu time
94,s,cpu time
95,s,cpu time
96,s,elapsed time
97,s,elapsed time
98,s,elapsed time
99,s,elapsed time
100,s,elapsed time
101,s,runtime
102,s,cpu time
103,s,runtime
104,s,elapsed time
105,s,elapsed time
106,s,runtime
107,s,runtime
108,s,runtime
109,s,runtime
110,ms,sum of lookup time from all processes
111,ms,elapsed time
112,ms,elapsed time
113,ms,sum of lookup time from all processes
114,ms,elapsed time
115,ms,elapsed time
116,ms,elapsed time
117,ms,cpu time
118,ms,elapsed time
119,ms,elapsed time
120,ms,cpu time
121,s,cpu time
122,s,elapsed time
123,s,cpu time
124,s,cpu time
125,s,elapsed time
126,s,elapsed time
127,ms,cpu time
128,s,cpu time
129,s,elapsed time
130,ms,cpu time
131,ms,cpu time
132,ms,elapsed time
133,ms,elapsed time
134,ms,cpu time
135,ms,elapsed time
136,ms,elapsed time
137,ms,elapsed time
138,ms,elapsed time
139,ms,elapsed time
140,ms,elapsed time
141,ms,elapsed time
142,ms,elapsed time
143,ms,elapsed time
144,ms,elapsed time
145,ms,elapsed time
146,ms,elapsed time
147,ms,elapsed time
148,ms,query cpu runtime
149,ms,elapsed time
150,ms,elapsed time
151,ms,elapsed time
152,ms,elapsed time
153,ms,elapsed time
154,ms,elapsed time
155,ms,query cpu runtime
156,ms,elapsed time
157,ms,elapsed time
158,ms,elapsed time
159,ms,elapsed time
160,ms,elapsed time
161,ms,elapsed time
162,ms,elapsed time
163,ms,elapsed time
164,ms,elapsed time
165,ms,cpu time
166,ms,elapsed time
167,ms,cpu time
168,ms,cpu time
169,ms,cpu time
170,ms,cpu time
171,ms,cpu time
172,ms,cpu time
173,ms,total cpu time
174,ms,cpu time
175,ms,total cpu time
176,ms,cpu time
177,ms,elapsed time
178,ms,avg. dialogue step time
179,ms,cpu time
180,ms,cpu time
181,ms,cpu time
182,ms,cpu time
183,ms,cpu time
184,ms,cpu time
185,ms,elapsed time
186,ms,elapsed time (cpu normalized)
187,ms,cpu time
188,ms,cpu time
189,ms,elapsed time
190,ms,cpu time
191,ms,cpu time
192,ms,cpu time
193,ms,cpu time
194,ms,cpu time
195,ms,cpu time
196,ms,elapsed time
197,ms,cpu time
198,ms,cpu time
199,ms,cpu time
200,ms,cpu time
201,ms,cpu time
202,ms,elapsed time
203,ms,elapsed time
204,ms,elapsed time
205,ms,cpu time
206,ms,cpu time
207,ms,cpu time
208,ms,cpu time
209,ms,cpu time
210,ms,avg. lookup time
211,s,cpu time
212,s,cpu time
213,s,cpu time
214,ms,elapsed time
215,s,cpu time
216,s,cpu time
217,s,cpu time
218,s,elapsed time
219,s,elapsed time
220,s,elapsed time
221,s,elapsed time
222,s,elapsed time
223,s,cpu time
224,s,cpu time
225,ms,cpu time
226,s,elapsed time
227,s,elapsed time
228,ms,cpu time
229,ms,elapsed time
230,ms,cpu time
231,ms,elapsed time
232,ms,elapsed time
233,ms,cpu time
234,ms,cpu time
235,s,cpu time
236,ms,elapsed time
237,ms,cpu time
238,s,cpu time
239,s,cpu time
240,s,cpu time
241,s,cpu time
242,s,elapsed time
243,s,elapsed time
244,s,elapsed time
245,s,cpu time
246,s,elapsed time
247,s,elapsed time
248,ms,elapsed time
249,ms,elapsed time
250,ms,elapsed time
251,ms,elapsed time
252,ms,elapsed time
253,ms,elapsed time
254,ms,elapsed time
255,ms,elapsed time
256,ms,elapsed time
257,ms,elapsed time
258,ms,cpu time
259,ms,cpu time
260,ms,avg. dialogue step time
261,ms,cpu time
262,ms,cpu time
263,ms,cpu time
264,ms,cpu time
265,ms,cpu time
266,ms,cpu time
267,ms,cpu time
268,s,cpu time
269,ms,cpu time
270,ms,cpu time
271,s,elapsed time
272,s,cpu time
273,ms,cpu time
274,ms,avg. dia db req. time
275,s,cpu time
276,s,cpu time
277,s,cpu time
278,s,cpu time
279,ms,elapsed time
280,s,elapsed time
281,s,elapsed time
282,s,elapsed time
283,s,elapsed time
284,s,elapsed time
285,ms,elapsed time
286,ms,elapsed time
287,ms,elapsed time
288,ms,cpu time
289,ms,cpu time
290,ms,elapsed time
291,ms,avg. dialogue step time
292,s,elapsed time
293,ms,cpu time
294,s,cpu time
295,s,elapsed time
296,s,cpu time
297,s,elapsed time
298,s,cpu time
299,s,elapsed time
300,s,elapsed time
301,s,elapsed time
302,s,cpu time
303,s,runtime
304,s,runtime
305,s,elapsed time
306,s,elapsed time
307,s,runtime
310,ms,elapsed time
311,ms,cpu time
312,ms,cpu time
313,ms,cpu time
314,ms,cpu time
315,ms,cpu time
316,ms,elapsed time
317,ms,cpu time
318,ms,elapsed time
319,ms,elapsed time
320,ms,elapsed time
321,ms,cpu time
322,ms,elapsed time
323,ms,elapsed time
324,ms,elapsed time
325,ms,elapsed time
326,ms,elapsed time
327,s,cpu time
328,s,cpu time
329,s,cpu time
330,ms,avg cpu time
331,s,cpu time
332,s,cpu time
333,s,cpu time
334,s,elapsed time
335,s,cpu time
336,s,cpu time
337,ms,cpu time
338,s,cpu time
339,s,cpu time
340,s,elapsed time
341,s,cpu time
342,s,cpu time
343,s,cpu time
344,s,elapsed time
345,s,elapsed time
346,s,elapsed time
347,s,elapsed time
348,s,cpu time
349,s,elapsed time
350,s,cpu time
351,s,elapsed time
352,s,cpu time
353,s,elapsed time
354,s,elapsed time
355,s,elapsed time
356,s,elapsed time
357,ms,elapsed time
358,ms,elapsed time
359,ms,cpu time
360,ms,cpu time
361,ms,cpu time
362,ms,cpu time
363,ms,cpu time
364,ms,cpu time
365,ms,cpu time
366,ms,elapsed time
367,ms,cpu time
368,ms,cpu time
369,ms,cpu time
370,ms,cpu time
371,ms,cpu time
372,ms,cpu time
373,ms,cpu time
374,ms,cpu time
375,ms,cpu time
376,ms,cpu time
377,ms,cpu time
378,ms,cpu time
379,ms,cpu time
380,ms,cpu time
381,ms,cpu time
382,ms,elapsed time
383,ms,cpu time
384,ms,elapsed time
385,ms,elapsed time
386,s,cpu time
387,s,cpu time
388,ms,elapsed time
389,s,elapsed time
390,s,elapsed time
391,s,elapsed time
392,s,elapsed time
393,s,cpu time
394,s,elapsed time
395,s,elapsed time
396,s,elapsed time
397,s,elapsed time
398,s,elapsed time
399,s,elapsed time
400,ms,cpu time/query
401,s,elapsed time
402,s,cpu time
403,s,cpu time
404,s,elapsed time
405,s,cpu time
406,s,elapsed time
407,ms,cpu time/query
408,s,elapsed time
409,ms,elapsed time
410,ms,elapsed time
411,ms,elapsed time
412,ms,cpu time
413,ms,cpu time
414,ms,elapsed time
415,ms,cpu time
416,ms,avg cpu time
417,ms,elapsed time
418,ms,elapsed time
419,ms,elapsed time
420,ms,cpu time
421,ms,elapsed time
422,ms,elapsed time
423,ms,elapsed time
424,ms,elapsed time
425,ms,elapsed time
426,ms,elapsed time
427,ms,elapsed time
428,ms,elapsed time
429,s,cpu time
430,ms,elapsed time
431,ms,elapsed time
432,ms,elapsed time
433,ms,elapsed time
434,ms,elapsed time
435,s,cpu time
436,ms,cpu time
437,ms,cpu time
438,s,elapsed time
439,ms,cpu time
440,s,elapsed time
441,ms,elapsed time
442,ms,elapsed time
443,s,elapsed time
444,s,cpu time
445,s,elapsed time
446,s,elapsed time
447,s,elapsed time
448,ms,cpu time/query
449,ms,cpu time/query
450,ms,cpu time/query
451,s,elapsed time
452,ms,cpu time/query
453,s,elapsed time
454,ms,cpu time
455,ms,cpu time
456,s,cpu time
457,s,cpu time
458,ms,cpu time
459,ms,cpu time
460,ms,cpu time
461,ms,cpu time
462,ms,cpu time
463,ms,cpu time
464,ms,cpu time
465,ms,cpu time
466,ms,cpu time
467,ms,elapsed time
468,ms,cpu time
469,ms,cpu time
470,ms,cpu time
471,ms,elapsed time
472,ms,cpu time
473,ms,elapsed time
474,ms,elapsed time
475,ms,elapsed time
476,ms,cpu time
477,ms,elapsed time
478,ms,elapsed time
479,ms,cpu time
480,ms,cpu time
481,ms,cpu time
482,ms,cpu time
483,ms,cpu time
484,ms,cpu time
485,ms,cpu time
486,ms,elapsed time
487,ms,elapsed time
488,ms,cpu time
489,ms,cpu time
490,ms,elapsed time
491,ms,elapsed time
492,s,elapsed time
493,s,elapsed time
494,ms,cpu time
495,ms,cpu time
496,ms,cpu time
497,ms,cpu time
498,ms,cpu time
499,ms,cpu time
500,ms,sum of cpu time from all processes
501,ms,cpu time
502,ms,cpu time
503,ms,cpu time
504,ms,cpu time
505,ms,elapsed time
506,ms,elapsed time
507,ms,elapsed time
508,ms,cpu time
509,ms,cpu time
510,ms,cpu time
511,ms,cpu time
512,ms,cpu time
513,ms,cpu time
514,ms,cpu time
515,ms,elapsed time
516,ms,elapsed time
517,ms,cpu time
518,s,elapsed time
519,ms,cpu time
520,ms,cpu time
521,ms,cpu time
522,ms,cpu time
523,ms,cpu time
524,ms,cpu time
525,ms,cpu time
526,s,cpu time
527,ms,cpu time
528,ms,cpu time
529,s,cpu time
530,s,cpu time
531,s,cpu time
532,ms,cpu time
533,ms,elapsed time
534,ms,elapsed time
535,s,cpu time
536,s,cpu time
537,s,elapsed time
538,s,elapsed time
539,s,elapsed time
540,s,elapsed time
541,s,cpu time
542,s,cpu time
543,s,elapsed time
544,s,cpu time
545,s,elapsed time
546,s,elapsed time
547,s,elapsed time
548,s,elapsed time
549,s,elapsed time
550,s,elapsed time
551,s,cpu time
552,s,cpu time
553,s,cpu time
554,s,cpu time
555,s,cpu time
556,s,elapsed time
557,s,elapsed time
558,s,elapsed time
559,s,runtime
560,s,cpu time
561,s,elapsed time
562,s,elapsed time
563,s,blocking time
564,s,blocking time
565,ms,cpu time
566,ms,avg. dialogue step time
567,ms,cpu time
568,ms,elapsed time
569,ms,elapsed time
570,ms,elapsed time
571,ms,query cpu runtime
572,ms,cpu time
573,ms,cpu time
574,ms,avg cpu time
575,ms,avg cpu time
576,s,TPS
577,ms,cpu time
578,ms,cpu time
579,s,cpu time
580,s,cpu time
581,s,cpu time
582,s,cpu time
583,s,elapsed time
584,s,elapsed time
585,s,cpu time
586,s,cpu time
587,s,cpu time
588,s,cpu time
589,s,elapsed time
590,s,elapsed time
591,s,elapsed time
592,s,cpu time
593,s,cpu time
594,s,cpu time
595,s,cpu time
596,s,cpu time
597,s,cpu time
598,ms,cpu time
599,ms,cpu time
600,s,cpu time
601,s,cpu time
602,s,cpu time
603,s,elapsed time
604,ms,cpu time
605,ms,elapsed time
606,ms,cpu time
607,s,elapsed time
608,s,elapsed time
609,s,elapsed time
610,s,elapsed time
611,ms,cpu time
612,ms,elapsed time
613,ms,elapsed time
614,s,cpu time
615,s,elapsed time
616,ms,cpu time
617,s,cpu time
618,ms,cpu time
619,s,elapsed time
620,s,elapsed time
621,s,elapsed time
622,s,elapsed time
623,ms,cpu time
624,ms,cpu time
625,ms,sum of lookup time from all processes
626,ms,elapsed time
627,ms,cpu time
628,ms,elapsed time
629,ms,elapsed time
630,s,cpu time
631,s,cpu time
632,s,cpu time
633,s,elapsed time
634,s,cpu time
635,s,cpu time
636,s,elapsed time
637,s,blocking time
638,s,elapsed time
639,ms,cpu time
640,s,elapsed time
641,s,cpu time
642,s,elapsed time
643,s,elapsed time
644,s,cpu time
645,ms,cpu time
646,ms,cpu time
647,s,elapsed time
648,s,cpu time
649,s,cpu time
650,s,elapsed time
651,s,elapsed time
652,s,elapsed time
653,ms,elapsed time
654,s,elapsed time
655,s,elapsed time
656,s,elapsed time
657,s,cpu time
658,ms,cpu time/query
659,ms,cpu time/query
660,ms,cpu time/query
661,ms,cpu time/query
662,ms,cpu time/query
663,ms,cpu time/query
664,s,elapsed time
665,s,elapsed time
666,s,elapsed time
667,s,elapsed time
668,ms,cpu time/query
669,ms,cpu time/query
670,s,elapsed time
671,s,runtime
672,s,elapsed time
673,s,cpu time
674,ms,elapsed time
675,ms,cpu time
676,ms,cpu time
677,s,elapsed time
678,ms,cpu time
679,ms,cpu time
680,ms,cpu time
681,ms,cpu time/query
682,ms,cpu time/query
683,ms,cpu time/query
684,s,elapsed time
685,s,elapsed time
686,ms,cpu time
687,ms,elapsed time
688,s,cpu time
689,s,elapsed time
690,s,cpu time
691,ms,elapsed time
692,ms,elapsed time
693,ms,cpu time
694,ms,elapsed time
695,s,elapsed time
696,ms,cpu time
697,ms,elapsed time
698,ms,cpu time
699,ms,cpu time
700,ms,cpu time
701,ms,elapsed time
702,ms,cpu time
703,s,elapsed time
704,ms,elapsed time
705,ms,cpu time
706,ms,cpu time
707,ms,elapsed time (cpu normalized)
708,ms,cpu time
709,ms,cpu time
710,ms,elapsed time
711,ms,elapsed time
712,s,cpu time
713,s,cpu time
714,ms,cpu time
715,s,runtime
716,s,runtime
717,s,runtime
718,s,elapsed time
719,s,elapsed time
720,s,cpu time
721,s,elapsed time
722,s,elapsed time
723,ms,cpu time
724,ms,cpu time
725,ms,elapsed time
726,s,cpu time
727,ms,cpu time
728,ms,elapsed time
729,ms,elapsed time
730,ms,elapsed time
731,s,cpu time
732,s,cpu time
733,ms,cpu time
734,ms,avg. dialogue step time
735,s,elapsed time
736,s,cpu time
737,s,cpu time
738,s,elapsed time
739,s,cpu time
740,ms,cpu time
741,ms,cpu time
742,ms,cpu time
743,ms,elapsed time
744,ms,cpu time
745,ms,cpu time
746,s,elapsed time
747,s,cpu time
750,ms,elapsed time
751,ms,cpu time
752,ms,avg cpu time
753,ms,cpu time
754,ms,cpu time
755,ms,cpu time
756,ms,cpu time
757,ms,cpu time
758,ms,cpu time
759,ms,cpu time
760,ms,cpu time
761,ms,cpu time
762,s,elapsed time
763,s,elapsed time
764,s,elapsed time
765,s,elapsed time
766,s,elapsed time
767,ms,elapsed time
768,ms,elapsed time
769,ms,cpu time
770,s,elapsed time
771,s,cpu time
772,ms,cpu time/query
773,ms,elapsed time
774,s,elapsed time
775,ms,elapsed time
776,ms,elapsed time
777,ms,elapsed time
778,ms,avg cpu time
779,ms,cpu time
780,ms,cpu time
