Index,GHC,Measurement
1,528237,3360.059977
2,528237,3428.10297
3,528237,3412.575006
4,528237,3362.579107
5,528237,3390.925169
6,528237,3375.359058
7,528237,3414.973974
8,528237,3443.707943
9,528237,3420.17293
10,528238,3464.928865
11,528238,3363.565207
12,528238,3374.036074
13,528238,3360.531092
14,528238,3414.268017
15,528239,3369.468927
16,528239,3385.48398
17,528241,3360.463858
18,528241,3379.593134
19,528242,3370.918036
20,528244,3412.832975
21,528244,3369.493008
22,528245,3375.020981
23,528245,3367.094994
24,528245,3428.362131
25,528245,3386.087894
26,528245,3384.577036
27,528245,3414.900064
28,528245,3378.214121
29,528247,3435.528994
30,528247,3394.853115
31,528247,3380.645037
32,528247,3402.311087
33,528247,3393.050909
34,528247,3437.728167
35,528247,3377.295971
36,528249,3425.736904
37,528250,3363.705873
38,528250,3401.051998
39,528250,3367.384911
40,528250,3378.43895
41,528250,3454.118013
42,528255,3383.054972
43,528255,3357.655048
44,528258,3372.59984
45,528258,3372.42794
46,528258,3402.930021
47,528258,3426.25308
48,528258,3425.957918
49,528259,3369.210005
50,528259,3399.968147
51,528259,3355.680943
52,528259,3390.293121
53,528261,3418.054104
54,528261,3367.779016
55,528261,3392.842054
56,528261,3375.433922
57,528261,3352.366924
58,528261,3464.494944
59,528261,3411.930084
60,528261,3444.658041
61,528263,3371.958971
62,528263,3485.508919
63,528264,3397.459984
64,528264,3425.848961
65,528266,3407.322884
66,528267,3380.13196
67,528267,3415.87019
68,528267,3381.128073
69,528267,3397.950888
70,528268,3365.917921
71,528269,3411.483049
72,528270,3391.236067
73,528270,3429.924011
74,528270,3400.228024
75,528270,3367.602825
76,528270,3385.077953
77,528270,3402.169943
78,528270,3355.808973
79,528270,3405.434847
80,528270,3402.291059
81,528270,3372.457981
82,528272,3388.217926
83,528273,3409.898996
84,528273,3367.573023
85,528273,3416.230917
86,528273,3414.349079
87,528276,3383.398056
88,528276,3380.596161
89,528276,3365.776062
90,528276,3372.381926
91,528276,3426.91803
92,528276,3386.080027
93,528276,3398.406982
94,528277,3390.048027
95,528277,3425.796986
96,528277,3379.521132
97,528277,3409.179926
98,528278,3356.059074
99,528278,3377.068043
100,528278,3366.822004
101,528278,3456.255913
102,528278,3380.818129
103,528278,3388.887882
104,528278,3372.033119
105,528278,3393.651962
106,528278,3367.214918
107,528278,3417.209864
108,528278,3362.138987
109,528278,3407.681942
110,528278,3479.039192
111,528281,3367.025137
112,528281,3438.483
113,528281,3383.552074
114,528281,3432.38306
115,528281,3400.872946
116,528283,3419.930935
117,528285,3382.030964
