Index,GHC,Measurement
1,508186,1.45
2,508186,1.431
3,508186,1.461
4,508186,1.46
5,508186,1.45
6,508186,1.43
7,508186,1.41
8,508186,1.44
9,508193,1.46
10,508193,1.43
11,508195,1.45
12,508195,1.42
13,508195,1.45
14,508195,1.42
15,508195,1.42
16,508195,1.44
17,508195,1.441
18,508196,1.44
19,508197,1.461
20,508197,1.41
21,508197,1.41
22,508197,1.43
23,508197,1.44
24,508198,1.441
25,508198,1.6
26,508198,1.44
27,508198,1.421
28,508198,1.451
29,508198,1.44
30,508198,1.42
31,508198,1.61
32,508198,1.459
33,508203,1.431
34,508203,1.429
35,508205,1.45
36,508205,1.46
37,508205,1.46
38,508205,1.42
39,508205,1.43
40,508206,1.43
41,508206,1.501
42,508206,1.42
43,508206,1.44
44,508206,1.461
45,508206,1.46
46,508206,1.44
47,508206,1.43
48,508215,1.449
49,508215,1.58
50,508215,1.41
51,508215,1.47
52,508223,1.411
53,508223,1.44
54,508224,1.459
55,508224,1.45
56,508224,1.591
57,508224,1.46
58,508224,1.45
59,508224,1.42
60,508224,1.41
61,508224,1.45
62,508224,1.47
63,508224,1.429
64,508224,1.42
65,508224,1.46
66,508224,1.42
67,508224,1.44
68,508224,1.43
69,508224,1.5
70,508224,1.41
71,508224,1.451
72,508224,1.45
73,508224,1.439
74,508224,1.411
75,508224,1.43
76,508226,1.41
77,508226,1.46
78,508226,1.45
79,508226,1.44
80,508226,1.42
81,508226,1.42
82,508226,1.43
83,508227,1.47
84,508227,1.45
85,508229,1.47
86,508229,1.43
87,508229,1.419
88,508229,1.43
89,508229,1.431
90,508229,1.46
91,508229,1.47
92,508229,1.45
93,508229,1.44
94,508229,1.59
95,508229,1.45
96,508229,1.42
97,508229,1.43
98,508229,1.43
99,508229,1.461
100,508229,1.43
101,508230,1.45
102,508230,1.43
103,508230,1.43
104,508230,1.441
105,508230,1.6
106,508230,1.46
107,508230,1.43
108,508230,1.46
109,508231,1.61
110,508231,1.44
111,508233,1.43
112,508233,1.42
113,508233,1.45
114,508233,1.42
115,508233,1.44
116,508235,1.44
117,508235,1.43
118,508235,1.459
119,508235,1.42
120,508235,1.461
121,508235,1.449
122,508237,1.449
123,508238,1.42
124,508238,1.48
125,508238,1.429
126,508238,1.45
127,508238,1.44
128,508238,1.48
129,508243,1.43
130,508243,1.46
131,508243,1.41
132,508243,1.44
133,508245,1.47
134,508245,1.46
135,508245,1.42
136,508247,1.441
137,508247,1.459
138,508247,1.41
139,508247,1.45
140,508248,1.46
141,508248,1.41
142,508249,1.43
143,508249,1.45
144,508249,1.61
145,508250,1.48
146,508250,1.451
147,508250,1.46
148,508252,1.45
149,508252,1.429
150,508253,1.42
151,508253,1.441
152,508254,1.45
153,508254,1.42
154,508254,1.42
155,508254,1.41
156,508254,1.46
157,508254,1.41
158,508254,1.409
159,508254,1.42
160,508257,1.45
161,508257,1.41
162,508257,1.43
163,508257,1.43
164,508257,1.42
165,508257,1.439
166,508257,1.42
